# Graph for Java/GraphStream
# Nodes: 32
# Edges: 318

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Daniel Aranzubia | Luis Prieto | 18 | 20 | 37
EDGE Daniel Aranzubia | Carlos Gurpegui | 18 | 20 | 33
EDGE Daniel Aranzubia | Unai Expósito | 13 | 20 | 23
EDGE Daniel Aranzubia | Mari Lacruz | 15 | 20 | 28
EDGE Daniel Aranzubia | Andoni Iraola | 17 | 20 | 37
EDGE Daniel Aranzubia | Pablo Orbaiz | 19 | 20 | 40
EDGE Daniel Aranzubia | Ibon Gutiérrez | 5 | 20 | 7
EDGE Daniel Aranzubia | Fran Yeste | 17 | 20 | 35
EDGE Daniel Aranzubia | Joseba Etxeberria | 16 | 20 | 26
EDGE Daniel Aranzubia | Fernando Llorente | 8 | 20 | 13
EDGE Daniel Aranzubia | Javi Casas | 13 | 20 | 25
EDGE Daniel Aranzubia | Tiko | 7 | 20 | 10
EDGE Daniel Aranzubia | Julen Guerrero | 3 | 20 | 8
EDGE Daniel Aranzubia | Mikel Dañobeitia | 7 | 20 | 11
EDGE Daniel Aranzubia | Aritz Aduriz | 2 | 20 | 15
EDGE Daniel Aranzubia | Fernando Amorebieta | 1 | 20 | 18
EDGE Daniel Aranzubia | Ander Murillo | 8 | 20 | 21
EDGE Daniel Aranzubia | Javi González | 4 | 20 | 6
EDGE Daniel Aranzubia | Ismael Urzaiz | 6 | 20 | 16
EDGE Daniel Aranzubia | Francisco Tarantino | 2 | 20 | 2
EDGE Daniel Aranzubia | Endika Bordas | 1 | 20 | 2
EDGE Luis Prieto | Carlos Gurpegui | 29 | 37 | 33
EDGE Luis Prieto | Unai Expósito | 18 | 37 | 23
EDGE Luis Prieto | Mari Lacruz | 24 | 37 | 28
EDGE Luis Prieto | Andoni Iraola | 33 | 37 | 37
EDGE Luis Prieto | Pablo Orbaiz | 35 | 37 | 40
EDGE Luis Prieto | Ibon Gutiérrez | 5 | 37 | 7
EDGE Luis Prieto | Fran Yeste | 33 | 37 | 35
EDGE Luis Prieto | Joseba Etxeberria | 22 | 37 | 26
EDGE Luis Prieto | Fernando Llorente | 13 | 37 | 13
EDGE Luis Prieto | Javi Casas | 22 | 37 | 25
EDGE Luis Prieto | Tiko | 6 | 37 | 10
EDGE Luis Prieto | Ander Murillo | 19 | 37 | 21
EDGE Luis Prieto | Javi González | 4 | 37 | 6
EDGE Luis Prieto | Ismael Urzaiz | 15 | 37 | 16
EDGE Luis Prieto | Iñaki Lafuente | 19 | 37 | 24
EDGE Luis Prieto | Fernando Amorebieta | 14 | 37 | 18
EDGE Luis Prieto | Ustaritz | 16 | 37 | 18
EDGE Luis Prieto | Aritz Aduriz | 11 | 37 | 15
EDGE Luis Prieto | Mikel Dañobeitia | 7 | 37 | 11
EDGE Luis Prieto | Julen Guerrero | 4 | 37 | 8
EDGE Luis Prieto | Francisco Tarantino | 2 | 37 | 2
EDGE Luis Prieto | Endika Bordas | 1 | 37 | 2
EDGE Carlos Gurpegui | Unai Expósito | 20 | 33 | 23
EDGE Carlos Gurpegui | Mari Lacruz | 21 | 33 | 28
EDGE Carlos Gurpegui | Andoni Iraola | 28 | 33 | 37
EDGE Carlos Gurpegui | Pablo Orbaiz | 31 | 33 | 40
EDGE Carlos Gurpegui | Ibon Gutiérrez | 5 | 33 | 7
EDGE Carlos Gurpegui | Fran Yeste | 29 | 33 | 35
EDGE Carlos Gurpegui | Joseba Etxeberria | 24 | 33 | 26
EDGE Carlos Gurpegui | Fernando Llorente | 10 | 33 | 13
EDGE Carlos Gurpegui | Javi Casas | 16 | 33 | 25
EDGE Carlos Gurpegui | Tiko | 7 | 33 | 10
EDGE Carlos Gurpegui | Julen Guerrero | 3 | 33 | 8
EDGE Carlos Gurpegui | Mikel Dañobeitia | 9 | 33 | 11
EDGE Carlos Gurpegui | Aritz Aduriz | 13 | 33 | 15
EDGE Carlos Gurpegui | Ander Murillo | 13 | 33 | 21
EDGE Carlos Gurpegui | Javi González | 4 | 33 | 6
EDGE Carlos Gurpegui | Ismael Urzaiz | 10 | 33 | 16
EDGE Carlos Gurpegui | Iñaki Lafuente | 15 | 33 | 24
EDGE Carlos Gurpegui | Fernando Amorebieta | 11 | 33 | 18
EDGE Carlos Gurpegui | Ustaritz | 10 | 33 | 18
EDGE Carlos Gurpegui | Francisco Tarantino | 2 | 33 | 2
EDGE Carlos Gurpegui | Endika Bordas | 2 | 33 | 2
EDGE Unai Expósito | Mari Lacruz | 11 | 23 | 28
EDGE Unai Expósito | Andoni Iraola | 18 | 23 | 37
EDGE Unai Expósito | Pablo Orbaiz | 22 | 23 | 40
EDGE Unai Expósito | Ibon Gutiérrez | 4 | 23 | 7
EDGE Unai Expósito | Fran Yeste | 18 | 23 | 35
EDGE Unai Expósito | Joseba Etxeberria | 17 | 23 | 26
EDGE Unai Expósito | Fernando Llorente | 7 | 23 | 13
EDGE Unai Expósito | Javi Casas | 13 | 23 | 25
EDGE Unai Expósito | Tiko | 7 | 23 | 10
EDGE Unai Expósito | Julen Guerrero | 3 | 23 | 8
EDGE Unai Expósito | Mikel Dañobeitia | 6 | 23 | 11
EDGE Unai Expósito | Aritz Aduriz | 9 | 23 | 15
EDGE Unai Expósito | Fernando Amorebieta | 6 | 23 | 18
EDGE Unai Expósito | Iñaki Lafuente | 10 | 23 | 24
EDGE Unai Expósito | Ander Murillo | 10 | 23 | 21
EDGE Unai Expósito | Javi González | 4 | 23 | 6
EDGE Unai Expósito | Ustaritz | 7 | 23 | 18
EDGE Unai Expósito | Ismael Urzaiz | 4 | 23 | 16
EDGE Unai Expósito | Francisco Tarantino | 1 | 23 | 2
EDGE Unai Expósito | Endika Bordas | 2 | 23 | 2
EDGE Mari Lacruz | Andoni Iraola | 23 | 28 | 37
EDGE Mari Lacruz | Pablo Orbaiz | 27 | 28 | 40
EDGE Mari Lacruz | Ibon Gutiérrez | 3 | 28 | 7
EDGE Mari Lacruz | Fran Yeste | 23 | 28 | 35
EDGE Mari Lacruz | Joseba Etxeberria | 16 | 28 | 26
EDGE Mari Lacruz | Fernando Llorente | 9 | 28 | 13
EDGE Mari Lacruz | Javi Casas | 14 | 28 | 25
EDGE Mari Lacruz | Tiko | 9 | 28 | 10
EDGE Mari Lacruz | Julen Guerrero | 4 | 28 | 8
EDGE Mari Lacruz | Mikel Dañobeitia | 9 | 28 | 11
EDGE Mari Lacruz | Aritz Aduriz | 7 | 28 | 15
EDGE Mari Lacruz | Fernando Amorebieta | 11 | 28 | 18
EDGE Mari Lacruz | Ander Murillo | 13 | 28 | 21
EDGE Mari Lacruz | Javi González | 2 | 28 | 6
EDGE Mari Lacruz | Ismael Urzaiz | 13 | 28 | 16
EDGE Mari Lacruz | Iñaki Lafuente | 13 | 28 | 24
EDGE Mari Lacruz | Ustaritz | 9 | 28 | 18
EDGE Mari Lacruz | Francisco Tarantino | 2 | 28 | 2
EDGE Mari Lacruz | Endika Bordas | 2 | 28 | 2
EDGE Andoni Iraola | Pablo Orbaiz | 35 | 37 | 40
EDGE Andoni Iraola | Ibon Gutiérrez | 4 | 37 | 7
EDGE Andoni Iraola | Fran Yeste | 30 | 37 | 35
EDGE Andoni Iraola | Joseba Etxeberria | 21 | 37 | 26
EDGE Andoni Iraola | Fernando Llorente | 11 | 37 | 13
EDGE Andoni Iraola | Tiko | 7 | 37 | 10
EDGE Andoni Iraola | Julen Guerrero | 6 | 37 | 8
EDGE Andoni Iraola | Mikel Dañobeitia | 9 | 37 | 11
EDGE Andoni Iraola | Aritz Aduriz | 15 | 37 | 15
EDGE Andoni Iraola | Fernando Amorebieta | 15 | 37 | 18
EDGE Andoni Iraola | Ander Murillo | 19 | 37 | 21
EDGE Andoni Iraola | Javi Casas | 20 | 37 | 25
EDGE Andoni Iraola | Javi González | 4 | 37 | 6
EDGE Andoni Iraola | Ismael Urzaiz | 16 | 37 | 16
