# Graph for Java/GraphStream
# Nodes: 23
# Edges: 226

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Daniel Aranzubia | Fernando Amorebieta | 16 | 28 | 22
EDGE Daniel Aranzubia | Ander Murillo | 24 | 28 | 33
EDGE Daniel Aranzubia | Josu Sarriegi | 27 | 28 | 38
EDGE Daniel Aranzubia | Unai Expósito | 24 | 28 | 30
EDGE Daniel Aranzubia | Andoni Iraola | 28 | 28 | 36
EDGE Daniel Aranzubia | Joseba Garmendia | 3 | 28 | 6
EDGE Daniel Aranzubia | Javi González | 8 | 28 | 8
EDGE Daniel Aranzubia | Fran Yeste | 21 | 28 | 32
EDGE Daniel Aranzubia | Aritz Aduriz | 18 | 28 | 28
EDGE Daniel Aranzubia | Ismael Urzaiz | 17 | 28 | 20
EDGE Daniel Aranzubia | Luis Prieto | 14 | 28 | 18
EDGE Daniel Aranzubia | Ustaritz | 4 | 28 | 11
EDGE Daniel Aranzubia | Javi Martínez | 22 | 28 | 32
EDGE Daniel Aranzubia | Javi Casas | 16 | 28 | 20
EDGE Daniel Aranzubia | Igor Gabilondo | 21 | 28 | 28
EDGE Daniel Aranzubia | Joseba Etxeberria | 13 | 28 | 19
EDGE Daniel Aranzubia | Pablo Orbaiz | 1 | 28 | 10
EDGE Daniel Aranzubia | Mikel Dañobeitia | 1 | 28 | 2
EDGE Daniel Aranzubia | Javier Iturriaga | 1 | 28 | 3
EDGE Daniel Aranzubia | Tiko | 1 | 28 | 1
EDGE Fernando Amorebieta | Ander Murillo | 20 | 22 | 33
EDGE Fernando Amorebieta | Josu Sarriegi | 20 | 22 | 38
EDGE Fernando Amorebieta | Unai Expósito | 16 | 22 | 30
EDGE Fernando Amorebieta | Andoni Iraola | 21 | 22 | 36
EDGE Fernando Amorebieta | Joseba Garmendia | 4 | 22 | 6
EDGE Fernando Amorebieta | Javi González | 5 | 22 | 8
EDGE Fernando Amorebieta | Fran Yeste | 17 | 22 | 32
EDGE Fernando Amorebieta | Aritz Aduriz | 18 | 22 | 28
EDGE Fernando Amorebieta | Ismael Urzaiz | 12 | 22 | 20
EDGE Fernando Amorebieta | Javi Casas | 7 | 22 | 20
EDGE Fernando Amorebieta | Igor Gabilondo | 16 | 22 | 28
EDGE Fernando Amorebieta | Iñaki Lafuente | 6 | 22 | 12
EDGE Fernando Amorebieta | Luis Prieto | 8 | 22 | 18
EDGE Fernando Amorebieta | Javi Martínez | 15 | 22 | 32
EDGE Fernando Amorebieta | Pablo Orbaiz | 4 | 22 | 10
EDGE Fernando Amorebieta | Joseba Etxeberria | 8 | 22 | 19
EDGE Fernando Amorebieta | Ustaritz | 3 | 22 | 11
EDGE Fernando Amorebieta | Mikel Dañobeitia | 1 | 22 | 2
EDGE Fernando Amorebieta | Javier Iturriaga | 2 | 22 | 3
EDGE Fernando Amorebieta | Tiko | 1 | 22 | 1
EDGE Ander Murillo | Josu Sarriegi | 31 | 33 | 38
EDGE Ander Murillo | Unai Expósito | 26 | 33 | 30
EDGE Ander Murillo | Andoni Iraola | 29 | 33 | 36
EDGE Ander Murillo | Joseba Garmendia | 5 | 33 | 6
EDGE Ander Murillo | Javi González | 7 | 33 | 8
EDGE Ander Murillo | Fran Yeste | 26 | 33 | 32
EDGE Ander Murillo | Aritz Aduriz | 23 | 33 | 28
EDGE Ander Murillo | Ismael Urzaiz | 19 | 33 | 20
EDGE Ander Murillo | Javi Casas | 16 | 33 | 20
EDGE Ander Murillo | Igor Gabilondo | 22 | 33 | 28
EDGE Ander Murillo | Iñaki Lafuente | 9 | 33 | 12
EDGE Ander Murillo | Luis Prieto | 14 | 33 | 18
EDGE Ander Murillo | Javi Martínez | 25 | 33 | 32
EDGE Ander Murillo | Pablo Orbaiz | 6 | 33 | 10
