# Graph for Java/GraphStream
# Nodes: 30
# Edges: 316

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gorka Iraizoz | Ustaritz | 4 | 14 | 17
EDGE Gorka Iraizoz | Aitor Ocio | 13 | 14 | 30
EDGE Gorka Iraizoz | Koikili | 8 | 14 | 26
EDGE Gorka Iraizoz | Andoni Iraola | 13 | 14 | 40
EDGE Gorka Iraizoz | Javi Martínez | 13 | 14 | 34
EDGE Gorka Iraizoz | Pablo Orbaiz | 9 | 14 | 22
EDGE Gorka Iraizoz | Joseba Etxeberria | 9 | 14 | 20
EDGE Gorka Iraizoz | Igor Gabilondo | 7 | 14 | 26
EDGE Gorka Iraizoz | Markel Susaeta | 9 | 14 | 27
EDGE Gorka Iraizoz | Aritz Aduriz | 13 | 14 | 23
EDGE Gorka Iraizoz | Fernando Amorebieta | 12 | 14 | 40
EDGE Gorka Iraizoz | Asier del Horno | 6 | 14 | 18
EDGE Gorka Iraizoz | Iñaki Muñoz | 2 | 14 | 8
EDGE Gorka Iraizoz | David López | 9 | 14 | 23
EDGE Gorka Iraizoz | Fran Yeste | 2 | 14 | 25
EDGE Gorka Iraizoz | Fernando Llorente | 4 | 14 | 29
EDGE Gorka Iraizoz | Ion Vélez | 2 | 14 | 2
EDGE Gorka Iraizoz | Ander Murillo | 1 | 14 | 2
EDGE Gorka Iraizoz | Tiko | 2 | 14 | 4
EDGE Gorka Iraizoz | Unai Expósito | 1 | 14 | 3
EDGE Gorka Iraizoz | Iban Zubiaurre | 1 | 14 | 1
EDGE Ustaritz | Aitor Ocio | 6 | 17 | 30
EDGE Ustaritz | Koikili | 8 | 17 | 26
EDGE Ustaritz | Andoni Iraola | 17 | 17 | 40
EDGE Ustaritz | Javi Martínez | 12 | 17 | 34
EDGE Ustaritz | Pablo Orbaiz | 9 | 17 | 22
EDGE Ustaritz | Joseba Etxeberria | 9 | 17 | 20
EDGE Ustaritz | Igor Gabilondo | 10 | 17 | 26
EDGE Ustaritz | Markel Susaeta | 11 | 17 | 27
EDGE Ustaritz | Aritz Aduriz | 7 | 17 | 23
EDGE Ustaritz | Daniel Aranzubia | 8 | 17 | 14
EDGE Ustaritz | Fernando Amorebieta | 13 | 17 | 40
EDGE Ustaritz | Fran Yeste | 11 | 17 | 25
EDGE Ustaritz | David López | 9 | 17 | 23
EDGE Ustaritz | Fernando Llorente | 10 | 17 | 29
EDGE Ustaritz | Joseba Garmendia | 3 | 17 | 9
EDGE Ustaritz | Tiko | 3 | 17 | 4
EDGE Ustaritz | Asier del Horno | 9 | 17 | 18
EDGE Ustaritz | Iñaki Muñoz | 3 | 17 | 8
EDGE Ustaritz | Armando Ribeiro | 5 | 17 | 16
EDGE Ustaritz | Carlos Gurpegui | 1 | 17 | 5
EDGE Ustaritz | Ander Murillo | 1 | 17 | 2
EDGE Ustaritz | Aitor Ramos | 1 | 17 | 3
EDGE Aitor Ocio | Koikili | 21 | 30 | 26
EDGE Aitor Ocio | Andoni Iraola | 26 | 30 | 40
EDGE Aitor Ocio | Javi Martínez | 25 | 30 | 34
EDGE Aitor Ocio | Pablo Orbaiz | 16 | 30 | 22
EDGE Aitor Ocio | Joseba Etxeberria | 15 | 30 | 20
EDGE Aitor Ocio | Igor Gabilondo | 17 | 30 | 26
EDGE Aitor Ocio | Markel Susaeta | 18 | 30 | 27
EDGE Aitor Ocio | Aritz Aduriz | 19 | 30 | 23
EDGE Aitor Ocio | Daniel Aranzubia | 8 | 30 | 14
EDGE Aitor Ocio | Fernando Amorebieta | 26 | 30 | 40
EDGE Aitor Ocio | Unai Expósito | 3 | 30 | 3
EDGE Aitor Ocio | David López | 16 | 30 | 23
EDGE Aitor Ocio | Fran Yeste | 16 | 30 | 25
EDGE Aitor Ocio | Fernando Llorente | 18 | 30 | 29
EDGE Aitor Ocio | Asier del Horno | 9 | 30 | 18
EDGE Aitor Ocio | Iñaki Muñoz | 6 | 30 | 8
EDGE Aitor Ocio | Ion Vélez | 2 | 30 | 2
EDGE Aitor Ocio | Armando Ribeiro | 9 | 30 | 16
EDGE Aitor Ocio | Joseba Garmendia | 4 | 30 | 9
EDGE Aitor Ocio | Ander Murillo | 1 | 30 | 2
EDGE Aitor Ocio | Aitor Ramos | 2 | 30 | 3
EDGE Aitor Ocio | Tiko | 1 | 30 | 4
EDGE Aitor Ocio | Iban Zubiaurre | 1 | 30 | 1
EDGE Aitor Ocio | Carlos Gurpegui | 1 | 30 | 5
EDGE Aitor Ocio | Urko Arroyo | 1 | 30 | 1
EDGE Koikili | Andoni Iraola | 22 | 26 | 40
EDGE Koikili | Javi Martínez | 21 | 26 | 34
EDGE Koikili | Pablo Orbaiz | 14 | 26 | 22
EDGE Koikili | Joseba Etxeberria | 14 | 26 | 20
EDGE Koikili | Igor Gabilondo | 17 | 26 | 26
EDGE Koikili | Markel Susaeta | 14 | 26 | 27
EDGE Koikili | Aritz Aduriz | 14 | 26 | 23
EDGE Koikili | Daniel Aranzubia | 9 | 26 | 14
EDGE Koikili | Fernando Amorebieta | 24 | 26 | 40
EDGE Koikili | Unai Expósito | 3 | 26 | 3
EDGE Koikili | David López | 14 | 26 | 23
EDGE Koikili | Fran Yeste | 16 | 26 | 25
EDGE Koikili | Fernando Llorente | 16 | 26 | 29
EDGE Koikili | Armando Ribeiro | 9 | 26 | 16
EDGE Koikili | Joseba Garmendia | 5 | 26 | 9
EDGE Koikili | Tiko | 2 | 26 | 4
EDGE Koikili | Iñaki Muñoz | 3 | 26 | 8
EDGE Koikili | Aitor Ramos | 2 | 26 | 3
EDGE Koikili | Iban Zubiaurre | 1 | 26 | 1
EDGE Koikili | Carlos Gurpegui | 2 | 26 | 5
EDGE Koikili | Urko Arroyo | 1 | 26 | 1
EDGE Andoni Iraola | Javi Martínez | 32 | 40 | 34
EDGE Andoni Iraola | Pablo Orbaiz | 21 | 40 | 22
EDGE Andoni Iraola | Joseba Etxeberria | 18 | 40 | 20
EDGE Andoni Iraola | Igor Gabilondo | 23 | 40 | 26
EDGE Andoni Iraola | Markel Susaeta | 26 | 40 | 27
EDGE Andoni Iraola | Aritz Aduriz | 21 | 40 | 23
EDGE Andoni Iraola | Fernando Amorebieta | 36 | 40 | 40
EDGE Andoni Iraola | Asier del Horno | 18 | 40 | 18
EDGE Andoni Iraola | Iñaki Muñoz | 7 | 40 | 8
EDGE Andoni Iraola | David López | 21 | 40 | 23
EDGE Andoni Iraola | Fran Yeste | 23 | 40 | 25
EDGE Andoni Iraola | Fernando Llorente | 25 | 40 | 29
EDGE Andoni Iraola | Ion Vélez | 2 | 40 | 2
EDGE Andoni Iraola | Daniel Aranzubia | 12 | 40 | 14
EDGE Andoni Iraola | Armando Ribeiro | 15 | 40 | 16
EDGE Andoni Iraola | Joseba Garmendia | 8 | 40 | 9
EDGE Andoni Iraola | Ander Murillo | 2 | 40 | 2
EDGE Andoni Iraola | Tiko | 3 | 40 | 4
EDGE Andoni Iraola | Carlos Gurpegui | 4 | 40 | 5
EDGE Andoni Iraola | Luis Prieto | 1 | 40 | 1
EDGE Andoni Iraola | David Cuéllar | 1 | 40 | 1
EDGE Andoni Iraola | Aitor Ramos | 2 | 40 | 3
EDGE Andoni Iraola | Iban Zubiaurre | 1 | 40 | 1
EDGE Javi Martínez | Pablo Orbaiz | 15 | 34 | 22
EDGE Javi Martínez | Joseba Etxeberria | 15 | 34 | 20
EDGE Javi Martínez | Igor Gabilondo | 17 | 34 | 26
EDGE Javi Martínez | Markel Susaeta | 21 | 34 | 27
EDGE Javi Martínez | Aritz Aduriz | 19 | 34 | 23
EDGE Javi Martínez | Fernando Amorebieta | 30 | 34 | 40
EDGE Javi Martínez | Asier del Horno | 13 | 34 | 18
EDGE Javi Martínez | Iñaki Muñoz | 4 | 34 | 8
EDGE Javi Martínez | David López | 18 | 34 | 23
EDGE Javi Martínez | Fran Yeste | 18 | 34 | 25
EDGE Javi Martínez | Fernando Llorente | 22 | 34 | 29
EDGE Javi Martínez | Ion Vélez | 2 | 34 | 2
