# Graph for Java/GraphStream
# Nodes: 28
# Edges: 293

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gorka Iraizoz | Fernando Amorebieta | 45 | 51 | 47
EDGE Gorka Iraizoz | Mikel San José | 27 | 51 | 28
EDGE Gorka Iraizoz | Xabier Castillo | 29 | 51 | 29
EDGE Gorka Iraizoz | Andoni Iraola | 49 | 51 | 52
EDGE Gorka Iraizoz | Javi Martínez | 43 | 51 | 45
EDGE Gorka Iraizoz | Pablo Orbaiz | 23 | 51 | 25
EDGE Gorka Iraizoz | Carlos Gurpegui | 37 | 51 | 38
EDGE Gorka Iraizoz | Iker Muniain | 7 | 51 | 8
EDGE Gorka Iraizoz | Gaizka Toquero | 32 | 51 | 33
EDGE Gorka Iraizoz | Fernando Llorente | 46 | 51 | 49
EDGE Gorka Iraizoz | Ustaritz | 19 | 51 | 21
EDGE Gorka Iraizoz | Igor Gabilondo | 21 | 51 | 21
EDGE Gorka Iraizoz | David López | 9 | 51 | 10
EDGE Gorka Iraizoz | Joseba Etxeberria | 5 | 51 | 7
EDGE Gorka Iraizoz | Aitor Ocio | 10 | 51 | 10
EDGE Gorka Iraizoz | Fran Yeste | 24 | 51 | 24
EDGE Gorka Iraizoz | Markel Susaeta | 31 | 51 | 33
EDGE Gorka Iraizoz | Koikili | 21 | 51 | 24
EDGE Gorka Iraizoz | Óscar de Marcos | 14 | 51 | 15
EDGE Gorka Iraizoz | Xabier Etxebarria | 1 | 51 | 1
EDGE Gorka Iraizoz | Iñigo Díaz de Cerio | 2 | 51 | 2
EDGE Gorka Iraizoz | Ander Iturraspe | 11 | 51 | 12
EDGE Gorka Iraizoz | Ion Vélez | 1 | 51 | 1
EDGE Gorka Iraizoz | Xabi Etxeita | 2 | 51 | 3
EDGE Gorka Iraizoz | Jon Aurtenetxe | 1 | 51 | 1
EDGE Fernando Amorebieta | Mikel San José | 24 | 47 | 28
EDGE Fernando Amorebieta | Xabier Castillo | 26 | 47 | 29
EDGE Fernando Amorebieta | Andoni Iraola | 45 | 47 | 52
EDGE Fernando Amorebieta | Javi Martínez | 40 | 47 | 45
EDGE Fernando Amorebieta | Pablo Orbaiz | 21 | 47 | 25
EDGE Fernando Amorebieta | Carlos Gurpegui | 32 | 47 | 38
EDGE Fernando Amorebieta | Iker Muniain | 7 | 47 | 8
EDGE Fernando Amorebieta | Gaizka Toquero | 30 | 47 | 33
EDGE Fernando Amorebieta | Fernando Llorente | 43 | 47 | 49
EDGE Fernando Amorebieta | Ustaritz | 14 | 47 | 21
EDGE Fernando Amorebieta | Igor Gabilondo | 18 | 47 | 21
EDGE Fernando Amorebieta | David López | 9 | 47 | 10
EDGE Fernando Amorebieta | Joseba Etxeberria | 5 | 47 | 7
EDGE Fernando Amorebieta | Aitor Ocio | 8 | 47 | 10
EDGE Fernando Amorebieta | Fran Yeste | 21 | 47 | 24
EDGE Fernando Amorebieta | Markel Susaeta | 30 | 47 | 33
EDGE Fernando Amorebieta | Koikili | 20 | 47 | 24
EDGE Fernando Amorebieta | Óscar de Marcos | 13 | 47 | 15
EDGE Fernando Amorebieta | Ander Iturraspe | 10 | 47 | 12
EDGE Fernando Amorebieta | Ion Vélez | 1 | 47 | 1
EDGE Fernando Amorebieta | Armando Ribeiro | 2 | 47 | 3
EDGE Fernando Amorebieta | Xabi Etxeita | 3 | 47 | 3
EDGE Fernando Amorebieta | Iñigo Pérez | 1 | 47 | 1
EDGE Fernando Amorebieta | Jon Aurtenetxe | 1 | 47 | 1
EDGE Fernando Amorebieta | Iñigo Díaz de Cerio | 1 | 47 | 2
EDGE Mikel San José | Xabier Castillo | 16 | 28 | 29
EDGE Mikel San José | Andoni Iraola | 26 | 28 | 52
EDGE Mikel San José | Javi Martínez | 26 | 28 | 45
EDGE Mikel San José | Pablo Orbaiz | 14 | 28 | 25
EDGE Mikel San José | Carlos Gurpegui | 21 | 28 | 38
EDGE Mikel San José | Iker Muniain | 4 | 28 | 8
EDGE Mikel San José | Gaizka Toquero | 19 | 28 | 33
EDGE Mikel San José | Fernando Llorente | 26 | 28 | 49
EDGE Mikel San José | Markel Susaeta | 14 | 28 | 33
EDGE Mikel San José | Fran Yeste | 11 | 28 | 24
EDGE Mikel San José | Ustaritz | 5 | 28 | 21
EDGE Mikel San José | Óscar de Marcos | 5 | 28 | 15
EDGE Mikel San José | Igor Gabilondo | 12 | 28 | 21
EDGE Mikel San José | Koikili | 11 | 28 | 24
EDGE Mikel San José | Ander Iturraspe | 10 | 28 | 12
EDGE Mikel San José | David López | 4 | 28 | 10
EDGE Mikel San José | Armando Ribeiro | 1 | 28 | 3
EDGE Mikel San José | Joseba Etxeberria | 1 | 28 | 7
EDGE Mikel San José | Jon Aurtenetxe | 1 | 28 | 1
EDGE Mikel San José | Xabi Etxeita | 1 | 28 | 3
EDGE Mikel San José | Iñigo Díaz de Cerio | 1 | 28 | 2
EDGE Xabier Castillo | Andoni Iraola | 29 | 29 | 52
EDGE Xabier Castillo | Javi Martínez | 25 | 29 | 45
EDGE Xabier Castillo | Pablo Orbaiz | 13 | 29 | 25
EDGE Xabier Castillo | Carlos Gurpegui | 19 | 29 | 38
EDGE Xabier Castillo | Iker Muniain | 6 | 29 | 8
EDGE Xabier Castillo | Gaizka Toquero | 17 | 29 | 33
EDGE Xabier Castillo | Fernando Llorente | 27 | 29 | 49
EDGE Xabier Castillo | Ustaritz | 8 | 29 | 21
EDGE Xabier Castillo | Igor Gabilondo | 13 | 29 | 21
EDGE Xabier Castillo | David López | 2 | 29 | 10
EDGE Xabier Castillo | Joseba Etxeberria | 4 | 29 | 7
EDGE Xabier Castillo | Aitor Ocio | 8 | 29 | 10
EDGE Xabier Castillo | Fran Yeste | 14 | 29 | 24
EDGE Xabier Castillo | Markel Susaeta | 17 | 29 | 33
EDGE Xabier Castillo | Óscar de Marcos | 10 | 29 | 15
EDGE Xabier Castillo | Ander Iturraspe | 6 | 29 | 12
EDGE Xabier Castillo | Ion Vélez | 1 | 29 | 1
EDGE Andoni Iraola | Javi Martínez | 43 | 52 | 45
EDGE Andoni Iraola | Pablo Orbaiz | 25 | 52 | 25
EDGE Andoni Iraola | Carlos Gurpegui | 37 | 52 | 38
EDGE Andoni Iraola | Iker Muniain | 7 | 52 | 8
EDGE Andoni Iraola | Gaizka Toquero | 31 | 52 | 33
EDGE Andoni Iraola | Fernando Llorente | 48 | 52 | 49
