# Graph for Java/GraphStream
# Nodes: 26
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gorka Iraizoz | Borja Ekiza | 23 | 41 | 26
EDGE Gorka Iraizoz | Mikel San José | 23 | 41 | 29
EDGE Gorka Iraizoz | Jon Aurtenetxe | 24 | 41 | 28
EDGE Gorka Iraizoz | Andoni Iraola | 37 | 41 | 42
EDGE Gorka Iraizoz | Carlos Gurpegui | 28 | 41 | 31
EDGE Gorka Iraizoz | Óscar de Marcos | 39 | 41 | 45
EDGE Gorka Iraizoz | Ander Herrera | 30 | 41 | 34
EDGE Gorka Iraizoz | Iker Muniain | 29 | 41 | 34
EDGE Gorka Iraizoz | Markel Susaeta | 39 | 41 | 45
EDGE Gorka Iraizoz | Aritz Aduriz | 34 | 41 | 38
EDGE Gorka Iraizoz | Jonás Ramalho | 5 | 41 | 8
EDGE Gorka Iraizoz | Ander Iturraspe | 30 | 41 | 37
EDGE Gorka Iraizoz | Fernando Amorebieta | 13 | 41 | 16
EDGE Gorka Iraizoz | Iñigo Pérez | 8 | 41 | 8
EDGE Gorka Iraizoz | Isma López | 8 | 41 | 12
EDGE Gorka Iraizoz | Aymeric Laporte | 12 | 41 | 16
EDGE Gorka Iraizoz | Ibai Gómez | 18 | 41 | 23
EDGE Gorka Iraizoz | Fernando Llorente | 4 | 41 | 8
EDGE Gorka Iraizoz | Gaizka Toquero | 3 | 41 | 7
EDGE Gorka Iraizoz | Xabier Castillo | 3 | 41 | 8
EDGE Borja Ekiza | Mikel San José | 16 | 26 | 29
EDGE Borja Ekiza | Jon Aurtenetxe | 14 | 26 | 28
EDGE Borja Ekiza | Andoni Iraola | 21 | 26 | 42
EDGE Borja Ekiza | Carlos Gurpegui | 13 | 26 | 31
EDGE Borja Ekiza | Óscar de Marcos | 24 | 26 | 45
EDGE Borja Ekiza | Ander Herrera | 19 | 26 | 34
EDGE Borja Ekiza | Iker Muniain | 20 | 26 | 34
EDGE Borja Ekiza | Markel Susaeta | 23 | 26 | 45
EDGE Borja Ekiza | Aritz Aduriz | 19 | 26 | 38
EDGE Borja Ekiza | Aymeric Laporte | 9 | 26 | 16
EDGE Borja Ekiza | Ibai Gómez | 14 | 26 | 23
EDGE Borja Ekiza | Fernando Llorente | 5 | 26 | 8
EDGE Borja Ekiza | Fernando Amorebieta | 6 | 26 | 16
EDGE Borja Ekiza | Jonás Ramalho | 4 | 26 | 8
EDGE Borja Ekiza | Raúl Fernández | 3 | 26 | 9
EDGE Borja Ekiza | Xabier Castillo | 3 | 26 | 8
EDGE Borja Ekiza | Ander Iturraspe | 15 | 26 | 37
EDGE Borja Ekiza | Isma López | 3 | 26 | 12
EDGE Borja Ekiza | Iñigo Pérez | 3 | 26 | 8
EDGE Borja Ekiza | Iñigo Ruiz de Galarreta | 1 | 26 | 1
EDGE Borja Ekiza | Gaizka Toquero | 2 | 26 | 7
EDGE Mikel San José | Jon Aurtenetxe | 19 | 29 | 28
EDGE Mikel San José | Andoni Iraola | 22 | 29 | 42
EDGE Mikel San José | Carlos Gurpegui | 13 | 29 | 31
EDGE Mikel San José | Óscar de Marcos | 24 | 29 | 45
EDGE Mikel San José | Ander Herrera | 23 | 29 | 34
EDGE Mikel San José | Iker Muniain | 17 | 29 | 34
EDGE Mikel San José | Markel Susaeta | 24 | 29 | 45
EDGE Mikel San José | Aritz Aduriz | 21 | 29 | 38
EDGE Mikel San José | Jonás Ramalho | 6 | 29 | 8
EDGE Mikel San José | Ander Iturraspe | 17 | 29 | 37
EDGE Mikel San José | Iñigo Pérez | 3 | 29 | 8
EDGE Mikel San José | Isma López | 5 | 29 | 12
EDGE Mikel San José | Aymeric Laporte | 13 | 29 | 16
EDGE Mikel San José | Ibai Gómez | 15 | 29 | 23
EDGE Mikel San José | Fernando Llorente | 6 | 29 | 8
EDGE Mikel San José | Raúl Fernández | 6 | 29 | 9
EDGE Mikel San José | Fernando Amorebieta | 4 | 29 | 16
EDGE Mikel San José | Gaizka Toquero | 5 | 29 | 7
EDGE Mikel San José | Xabier Castillo | 3 | 29 | 8
EDGE Mikel San José | Igor Martínez | 2 | 29 | 2
EDGE Mikel San José | Iñigo Ruiz de Galarreta | 1 | 29 | 1
EDGE Mikel San José | Erik Morán | 1 | 29 | 1
EDGE Mikel San José | Álvaro Peña | 1 | 29 | 1
EDGE Jon Aurtenetxe | Andoni Iraola | 23 | 28 | 42
EDGE Jon Aurtenetxe | Carlos Gurpegui | 15 | 28 | 31
EDGE Jon Aurtenetxe | Óscar de Marcos | 25 | 28 | 45
EDGE Jon Aurtenetxe | Ander Herrera | 23 | 28 | 34
EDGE Jon Aurtenetxe | Iker Muniain | 20 | 28 | 34
