# Graph for Java/GraphStream
# Nodes: 23
# Edges: 218

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gorka Iraizoz | Xabi Etxeita | 1 | 33 | 2
EDGE Gorka Iraizoz | Mikel San José | 18 | 33 | 24
EDGE Gorka Iraizoz | Mikel Balenziaga | 28 | 33 | 37
EDGE Gorka Iraizoz | Óscar de Marcos | 18 | 33 | 21
EDGE Gorka Iraizoz | Ander Iturraspe | 28 | 33 | 36
EDGE Gorka Iraizoz | Mikel Rico | 28 | 33 | 37
EDGE Gorka Iraizoz | Ander Herrera | 28 | 33 | 35
EDGE Gorka Iraizoz | Iker Muniain | 27 | 33 | 35
EDGE Gorka Iraizoz | Markel Susaeta | 29 | 33 | 38
EDGE Gorka Iraizoz | Aritz Aduriz | 23 | 33 | 29
EDGE Gorka Iraizoz | Aymeric Laporte | 28 | 33 | 36
EDGE Gorka Iraizoz | Carlos Gurpegui | 23 | 33 | 31
EDGE Gorka Iraizoz | Andoni Iraola | 24 | 33 | 34
EDGE Gorka Iraizoz | Beñat Etxebarria | 8 | 33 | 13
EDGE Gorka Iraizoz | Ibai Gómez | 6 | 33 | 10
EDGE Gorka Iraizoz | Gaizka Toquero | 4 | 33 | 6
EDGE Gorka Iraizoz | Erik Morán | 2 | 33 | 5
EDGE Gorka Iraizoz | Guillermo Fernández | 3 | 33 | 4
EDGE Gorka Iraizoz | Kike Sola | 2 | 33 | 4
EDGE Gorka Iraizoz | Borja Ekiza | 1 | 33 | 1
EDGE Gorka Iraizoz | Enric Saborit | 1 | 33 | 2
EDGE Xabi Etxeita | Mikel San José | 1 | 2 | 24
EDGE Xabi Etxeita | Mikel Balenziaga | 2 | 2 | 37
EDGE Xabi Etxeita | Óscar de Marcos | 2 | 2 | 21
EDGE Xabi Etxeita | Ander Iturraspe | 1 | 2 | 36
EDGE Xabi Etxeita | Mikel Rico | 2 | 2 | 37
EDGE Xabi Etxeita | Ander Herrera | 1 | 2 | 35
EDGE Xabi Etxeita | Iker Muniain | 2 | 2 | 35
EDGE Xabi Etxeita | Markel Susaeta | 2 | 2 | 38
EDGE Xabi Etxeita | Aritz Aduriz | 1 | 2 | 29
EDGE Xabi Etxeita | Iago Herrerín | 1 | 2 | 11
EDGE Xabi Etxeita | Aymeric Laporte | 1 | 2 | 36
EDGE Xabi Etxeita | Erik Morán | 1 | 2 | 5
EDGE Xabi Etxeita | Beñat Etxebarria | 1 | 2 | 13
EDGE Xabi Etxeita | Guillermo Fernández | 1 | 2 | 4
EDGE Mikel San José | Mikel Balenziaga | 20 | 24 | 37
EDGE Mikel San José | Óscar de Marcos | 9 | 24 | 21
EDGE Mikel San José | Ander Iturraspe | 18 | 24 | 36
EDGE Mikel San José | Mikel Rico | 21 | 24 | 37
EDGE Mikel San José | Ander Herrera | 19 | 24 | 35
EDGE Mikel San José | Iker Muniain | 18 | 24 | 35
EDGE Mikel San José | Markel Susaeta | 19 | 24 | 38
EDGE Mikel San José | Aritz Aduriz | 18 | 24 | 29
EDGE Mikel San José | Carlos Gurpegui | 12 | 24 | 31
EDGE Mikel San José | Aymeric Laporte | 17 | 24 | 36
EDGE Mikel San José | Andoni Iraola | 21 | 24 | 34
EDGE Mikel San José | Beñat Etxebarria | 6 | 24 | 13
EDGE Mikel San José | Ibai Gómez | 7 | 24 | 10
EDGE Mikel San José | Gaizka Toquero | 3 | 24 | 6
EDGE Mikel San José | Erik Morán | 4 | 24 | 5
EDGE Mikel San José | Iago Herrerín | 6 | 24 | 11
EDGE Mikel San José | Guillermo Fernández | 1 | 24 | 4
EDGE Mikel San José | Kike Sola | 2 | 24 | 4
EDGE Mikel Balenziaga | Óscar de Marcos | 18 | 37 | 21
EDGE Mikel Balenziaga | Ander Iturraspe | 33 | 37 | 36
EDGE Mikel Balenziaga | Mikel Rico | 33 | 37 | 37
EDGE Mikel Balenziaga | Ander Herrera | 30 | 37 | 35
EDGE Mikel Balenziaga | Iker Muniain | 30 | 37 | 35
EDGE Mikel Balenziaga | Markel Susaeta | 32 | 37 | 38
EDGE Mikel Balenziaga | Aritz Aduriz | 24 | 37 | 29
EDGE Mikel Balenziaga | Iago Herrerín | 9 | 37 | 11
EDGE Mikel Balenziaga | Aymeric Laporte | 29 | 37 | 36
EDGE Mikel Balenziaga | Carlos Gurpegui | 24 | 37 | 31
EDGE Mikel Balenziaga | Andoni Iraola | 27 | 37 | 34
EDGE Mikel Balenziaga | Beñat Etxebarria | 6 | 37 | 13
EDGE Mikel Balenziaga | Erik Morán | 4 | 37 | 5
EDGE Mikel Balenziaga | Guillermo Fernández | 3 | 37 | 4
EDGE Mikel Balenziaga | Gaizka Toquero | 6 | 37 | 6
EDGE Mikel Balenziaga | Ibai Gómez | 7 | 37 | 10
EDGE Mikel Balenziaga | Kike Sola | 4 | 37 | 4
EDGE Mikel Balenziaga | Borja Ekiza | 1 | 37 | 1
EDGE Óscar de Marcos | Ander Iturraspe | 18 | 21 | 36
EDGE Óscar de Marcos | Mikel Rico | 19 | 21 | 37
EDGE Óscar de Marcos | Ander Herrera | 15 | 21 | 35
EDGE Óscar de Marcos | Iker Muniain | 17 | 21 | 35
