# Graph for Java/GraphStream
# Nodes: 25
# Edges: 263

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gorka Iraizoz | Aymeric Laporte | 36 | 42 | 48
EDGE Gorka Iraizoz | Xabi Etxeita | 21 | 42 | 32
EDGE Gorka Iraizoz | Mikel Balenziaga | 38 | 42 | 48
EDGE Gorka Iraizoz | Andoni Iraola | 16 | 42 | 25
EDGE Gorka Iraizoz | Ander Iturraspe | 25 | 42 | 30
EDGE Gorka Iraizoz | Mikel Rico | 37 | 42 | 48
EDGE Gorka Iraizoz | Unai López | 11 | 42 | 12
EDGE Gorka Iraizoz | Óscar de Marcos | 35 | 42 | 48
EDGE Gorka Iraizoz | Borja Viguera | 9 | 42 | 14
EDGE Gorka Iraizoz | Guillermo Fernández | 8 | 42 | 9
EDGE Gorka Iraizoz | Carlos Gurpegui | 19 | 42 | 25
EDGE Gorka Iraizoz | Mikel San José | 24 | 42 | 36
EDGE Gorka Iraizoz | Beñat Etxebarria | 23 | 42 | 33
EDGE Gorka Iraizoz | Ibai Gómez | 13 | 42 | 17
EDGE Gorka Iraizoz | Markel Susaeta | 26 | 42 | 31
EDGE Gorka Iraizoz | Iker Muniain | 30 | 42 | 38
EDGE Gorka Iraizoz | Aritz Aduriz | 32 | 42 | 41
EDGE Gorka Iraizoz | Jon Aurtenetxe | 3 | 42 | 6
EDGE Gorka Iraizoz | Iñaki Williams | 11 | 42 | 20
EDGE Gorka Iraizoz | Erik Morán | 1 | 42 | 2
EDGE Gorka Iraizoz | Ager Aketxe | 2 | 42 | 4
EDGE Aymeric Laporte | Xabi Etxeita | 23 | 48 | 32
EDGE Aymeric Laporte | Mikel Balenziaga | 40 | 48 | 48
EDGE Aymeric Laporte | Andoni Iraola | 21 | 48 | 25
EDGE Aymeric Laporte | Ander Iturraspe | 27 | 48 | 30
EDGE Aymeric Laporte | Mikel Rico | 41 | 48 | 48
EDGE Aymeric Laporte | Unai López | 9 | 48 | 12
EDGE Aymeric Laporte | Óscar de Marcos | 40 | 48 | 48
EDGE Aymeric Laporte | Borja Viguera | 13 | 48 | 14
EDGE Aymeric Laporte | Guillermo Fernández | 8 | 48 | 9
EDGE Aymeric Laporte | Carlos Gurpegui | 18 | 48 | 25
