# Graph for Java/GraphStream
# Nodes: 26
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iago Herrerín | Aymeric Laporte | 18 | 23 | 44
EDGE Iago Herrerín | Carlos Gurpegui | 7 | 23 | 20
EDGE Iago Herrerín | Mikel Balenziaga | 15 | 23 | 49
EDGE Iago Herrerín | Eneko Bóveda | 10 | 23 | 25
EDGE Iago Herrerín | Mikel San José | 13 | 23 | 43
EDGE Iago Herrerín | Mikel Rico | 6 | 23 | 14
EDGE Iago Herrerín | Javi Eraso | 13 | 23 | 23
EDGE Iago Herrerín | Sabin Merino | 8 | 23 | 21
EDGE Iago Herrerín | Markel Susaeta | 16 | 23 | 39
EDGE Iago Herrerín | Aritz Aduriz | 18 | 23 | 49
EDGE Iago Herrerín | Xabi Etxeita | 15 | 23 | 45
EDGE Iago Herrerín | Óscar de Marcos | 16 | 23 | 50
EDGE Iago Herrerín | Beñat Etxebarria | 15 | 23 | 48
EDGE Iago Herrerín | Ager Aketxe | 3 | 23 | 5
EDGE Iago Herrerín | Gorka Elustondo | 5 | 23 | 9
EDGE Iago Herrerín | Enric Saborit | 1 | 23 | 1
EDGE Iago Herrerín | Kike Sola | 4 | 23 | 5
EDGE Iago Herrerín | Ander Iturraspe | 8 | 23 | 15
EDGE Iago Herrerín | Raúl García | 9 | 23 | 36
EDGE Iago Herrerín | Iker Muniain | 5 | 23 | 17
EDGE Iago Herrerín | Iñigo Lekue | 10 | 23 | 22
EDGE Iago Herrerín | Borja Viguera | 3 | 23 | 6
EDGE Iago Herrerín | Ibai Gómez | 3 | 23 | 4
EDGE Iago Herrerín | Iñaki Williams | 9 | 23 | 30
EDGE Aymeric Laporte | Carlos Gurpegui | 9 | 44 | 20
EDGE Aymeric Laporte | Mikel Balenziaga | 34 | 44 | 49
EDGE Aymeric Laporte | Eneko Bóveda | 15 | 44 | 25
EDGE Aymeric Laporte | Mikel San José | 27 | 44 | 43
EDGE Aymeric Laporte | Mikel Rico | 10 | 44 | 14
EDGE Aymeric Laporte | Javi Eraso | 18 | 44 | 23
