# Graph for Java/GraphStream
# Nodes: 28
# Edges: 311

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Kepa Arrizabalaga | Iñigo Martínez | 15 | 31 | 16
EDGE Kepa Arrizabalaga | Unai Núñez | 26 | 31 | 35
EDGE Kepa Arrizabalaga | Mikel Balenziaga | 16 | 31 | 28
EDGE Kepa Arrizabalaga | Óscar de Marcos | 17 | 31 | 27
EDGE Kepa Arrizabalaga | Mikel San José | 22 | 31 | 32
EDGE Kepa Arrizabalaga | Ander Iturraspe | 14 | 31 | 25
EDGE Kepa Arrizabalaga | Raúl García | 22 | 31 | 40
EDGE Kepa Arrizabalaga | Iñigo Córdoba | 18 | 31 | 25
EDGE Kepa Arrizabalaga | Markel Susaeta | 21 | 31 | 35
EDGE Kepa Arrizabalaga | Iñaki Williams | 24 | 31 | 41
EDGE Kepa Arrizabalaga | Yeray Álvarez | 6 | 31 | 11
EDGE Kepa Arrizabalaga | Enric Saborit | 12 | 31 | 20
EDGE Kepa Arrizabalaga | Mikel Rico | 6 | 31 | 18
EDGE Kepa Arrizabalaga | Aritz Aduriz | 16 | 31 | 34
EDGE Kepa Arrizabalaga | Aymeric Laporte | 13 | 31 | 30
EDGE Kepa Arrizabalaga | Eneko Bóveda | 6 | 31 | 7
EDGE Kepa Arrizabalaga | Mikel Vesga | 12 | 31 | 18
EDGE Kepa Arrizabalaga | Beñat Etxebarria | 11 | 31 | 20
EDGE Kepa Arrizabalaga | Iñigo Lekue | 16 | 31 | 34
EDGE Kepa Arrizabalaga | Iker Muniain | 6 | 31 | 13
EDGE Kepa Arrizabalaga | Sabin Merino | 4 | 31 | 6
EDGE Kepa Arrizabalaga | Xabi Etxeita | 4 | 31 | 19
EDGE Kepa Arrizabalaga | Óscar Gil | 1 | 31 | 1
EDGE Kepa Arrizabalaga | Ager Aketxe | 1 | 31 | 3
EDGE Kepa Arrizabalaga | Kike Sola | 1 | 31 | 1
EDGE Iñigo Martínez | Unai Núñez | 12 | 16 | 35
EDGE Iñigo Martínez | Mikel Balenziaga | 6 | 16 | 28
EDGE Iñigo Martínez | Óscar de Marcos | 12 | 16 | 27
EDGE Iñigo Martínez | Mikel San José | 12 | 16 | 32
EDGE Iñigo Martínez | Ander Iturraspe | 8 | 16 | 25
EDGE Iñigo Martínez | Raúl García | 12 | 16 | 40
EDGE Iñigo Martínez | Iñigo Córdoba | 10 | 16 | 25
EDGE Iñigo Martínez | Markel Susaeta | 11 | 16 | 35
EDGE Iñigo Martínez | Iñaki Williams | 13 | 16 | 41
EDGE Iñigo Martínez | Yeray Álvarez | 6 | 16 | 11
EDGE Iñigo Martínez | Enric Saborit | 8 | 16 | 20
EDGE Iñigo Martínez | Mikel Rico | 4 | 16 | 18
