# Graph for Java/GraphStream
# Nodes: 26
# Edges: 278

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iago Herrerín | Iñigo Martínez | 8 | 8 | 41
EDGE Iago Herrerín | Unai Núñez | 6 | 8 | 22
EDGE Iago Herrerín | Mikel Balenziaga | 3 | 8 | 8
EDGE Iago Herrerín | Ander Capa | 6 | 8 | 37
EDGE Iago Herrerín | Mikel Vesga | 4 | 8 | 18
EDGE Iago Herrerín | Beñat Etxebarria | 4 | 8 | 6
EDGE Iago Herrerín | Iñigo Lekue | 4 | 8 | 9
EDGE Iago Herrerín | Raúl García | 7 | 8 | 41
EDGE Iago Herrerín | Iñigo Córdoba | 3 | 8 | 22
EDGE Iago Herrerín | Iñaki Williams | 6 | 8 | 41
EDGE Iago Herrerín | Yeray Álvarez | 4 | 8 | 38
EDGE Iago Herrerín | Yuri Berchiche | 5 | 8 | 38
EDGE Iago Herrerín | Dani García | 6 | 8 | 38
EDGE Iago Herrerín | Iker Muniain | 3 | 8 | 31
EDGE Iago Herrerín | Asier Villalibre | 4 | 8 | 7
EDGE Iago Herrerín | Gaizka Larrazabal | 2 | 8 | 3
EDGE Iago Herrerín | Unai López | 2 | 8 | 25
EDGE Iago Herrerín | Ibai Gómez | 3 | 8 | 8
EDGE Iñigo Martínez | Unai Núñez | 17 | 41 | 22
EDGE Iñigo Martínez | Mikel Balenziaga | 6 | 41 | 8
EDGE Iñigo Martínez | Ander Capa | 34 | 41 | 37
EDGE Iñigo Martínez | Mikel Vesga | 16 | 41 | 18
EDGE Iñigo Martínez | Beñat Etxebarria | 4 | 41 | 6
EDGE Iñigo Martínez | Iñigo Lekue | 7 | 41 | 9
EDGE Iñigo Martínez | Raúl García | 38 | 41 | 41
EDGE Iñigo Martínez | Iñigo Córdoba | 21 | 41 | 22
EDGE Iñigo Martínez | Iñaki Williams | 37 | 41 | 41
EDGE Iñigo Martínez | Unai Simón | 33 | 41 | 38
EDGE Iñigo Martínez | Yeray Álvarez | 33 | 41 | 38
EDGE Iñigo Martínez | Yuri Berchiche | 35 | 41 | 38
EDGE Iñigo Martínez | Mikel San José | 3 | 41 | 4
EDGE Iñigo Martínez | Dani García | 36 | 41 | 38
EDGE Iñigo Martínez | Unai López | 22 | 41 | 25
EDGE Iñigo Martínez | Iker Muniain | 28 | 41 | 31
EDGE Iñigo Martínez | Ibai Gómez | 7 | 41 | 8
EDGE Iñigo Martínez | Asier Villalibre | 6 | 41 | 7
EDGE Iñigo Martínez | Oihan Sancet | 7 | 41 | 9
EDGE Iñigo Martínez | Gaizka Larrazabal | 3 | 41 | 3
EDGE Iñigo Martínez | Óscar de Marcos | 3 | 41 | 7
