# Graph for Java/GraphStream
# Nodes: 24
# Edges: 247

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Unai Simón | Iñigo Martínez | 26 | 36 | 33
EDGE Unai Simón | Dani Vivian | 20 | 36 | 24
EDGE Unai Simón | Mikel Balenziaga | 21 | 36 | 25
EDGE Unai Simón | Iñigo Lekue | 20 | 36 | 25
EDGE Unai Simón | Unai Vencedor | 25 | 36 | 29
EDGE Unai Simón | Dani García | 26 | 36 | 33
EDGE Unai Simón | Álex Berenguer | 24 | 36 | 29
EDGE Unai Simón | Oihan Sancet | 15 | 36 | 19
EDGE Unai Simón | Iker Muniain | 32 | 36 | 40
EDGE Unai Simón | Iñaki Williams | 30 | 36 | 37
EDGE Unai Simón | Raúl García | 23 | 36 | 29
EDGE Unai Simón | Yeray Álvarez | 21 | 36 | 26
EDGE Unai Simón | Yuri Berchiche | 11 | 36 | 15
EDGE Unai Simón | Óscar de Marcos | 19 | 36 | 23
EDGE Unai Simón | Mikel Vesga | 16 | 36 | 22
EDGE Unai Simón | Unai Núñez | 5 | 36 | 7
EDGE Unai Simón | Oier Zarraga | 9 | 36 | 10
EDGE Unai Simón | Nico Williams | 10 | 36 | 14
EDGE Unai Simón | Asier Villalibre | 3 | 36 | 3
EDGE Unai Simón | Nico Serrano | 3 | 36 | 4
EDGE Unai Simón | Álex Petxarroman | 1 | 36 | 2
EDGE Iñigo Martínez | Dani Vivian | 16 | 33 | 24
EDGE Iñigo Martínez | Mikel Balenziaga | 18 | 33 | 25
EDGE Iñigo Martínez | Iñigo Lekue | 19 | 33 | 25
EDGE Iñigo Martínez | Unai Vencedor | 19 | 33 | 29
EDGE Iñigo Martínez | Dani García | 29 | 33 | 33
EDGE Iñigo Martínez | Álex Berenguer | 23 | 33 | 29
EDGE Iñigo Martínez | Oihan Sancet | 11 | 33 | 19
EDGE Iñigo Martínez | Iker Muniain | 29 | 33 | 40
EDGE Iñigo Martínez | Iñaki Williams | 27 | 33 | 37
EDGE Iñigo Martínez | Raúl García | 24 | 33 | 29
EDGE Iñigo Martínez | Julen Agirrezabala | 7 | 33 | 9
EDGE Iñigo Martínez | Yuri Berchiche | 11 | 33 | 15
EDGE Iñigo Martínez | Óscar de Marcos | 17 | 33 | 23
EDGE Iñigo Martínez | Mikel Vesga | 12 | 33 | 22
EDGE Iñigo Martínez | Nico Williams | 12 | 33 | 14
EDGE Iñigo Martínez | Yeray Álvarez | 16 | 33 | 26
EDGE Iñigo Martínez | Álex Petxarroman | 1 | 33 | 2
EDGE Iñigo Martínez | Peru Nolaskoain | 1 | 33 | 1
EDGE Iñigo Martínez | Nico Serrano | 3 | 33 | 4
EDGE Iñigo Martínez | Unai Núñez | 1 | 33 | 7
EDGE Iñigo Martínez | Oier Zarraga | 6 | 33 | 10
EDGE Iñigo Martínez | Asier Villalibre | 2 | 33 | 3
EDGE Dani Vivian | Mikel Balenziaga | 14 | 24 | 25
EDGE Dani Vivian | Iñigo Lekue | 14 | 24 | 25
EDGE Dani Vivian | Unai Vencedor | 17 | 24 | 29
EDGE Dani Vivian | Dani García | 15 | 24 | 33
EDGE Dani Vivian | Álex Berenguer | 19 | 24 | 29
EDGE Dani Vivian | Oihan Sancet | 11 | 24 | 19
EDGE Dani Vivian | Iker Muniain | 20 | 24 | 40
EDGE Dani Vivian | Iñaki Williams | 18 | 24 | 37
EDGE Dani Vivian | Raúl García | 15 | 24 | 29
EDGE Dani Vivian | Julen Agirrezabala | 4 | 24 | 9
EDGE Dani Vivian | Yuri Berchiche | 8 | 24 | 15
EDGE Dani Vivian | Óscar de Marcos | 10 | 24 | 23
EDGE Dani Vivian | Mikel Vesga | 13 | 24 | 22
EDGE Dani Vivian | Nico Williams | 5 | 24 | 14
EDGE Dani Vivian | Yeray Álvarez | 6 | 24 | 26
EDGE Dani Vivian | Álex Petxarroman | 2 | 24 | 2
EDGE Dani Vivian | Peru Nolaskoain | 1 | 24 | 1
EDGE Dani Vivian | Nico Serrano | 4 | 24 | 4
EDGE Dani Vivian | Unai Núñez | 2 | 24 | 7
EDGE Dani Vivian | Oier Zarraga | 4 | 24 | 10
EDGE Dani Vivian | Asier Villalibre | 2 | 24 | 3
EDGE Mikel Balenziaga | Iñigo Lekue | 17 | 25 | 25
EDGE Mikel Balenziaga | Unai Vencedor | 18 | 25 | 29
EDGE Mikel Balenziaga | Dani García | 22 | 25 | 33
EDGE Mikel Balenziaga | Álex Berenguer | 17 | 25 | 29
EDGE Mikel Balenziaga | Oihan Sancet | 12 | 25 | 19
EDGE Mikel Balenziaga | Iker Muniain | 22 | 25 | 40
EDGE Mikel Balenziaga | Iñaki Williams | 21 | 25 | 37
EDGE Mikel Balenziaga | Raúl García | 16 | 25 | 29
EDGE Mikel Balenziaga | Yeray Álvarez | 13 | 25 | 26
EDGE Mikel Balenziaga | Óscar de Marcos | 8 | 25 | 23
EDGE Mikel Balenziaga | Mikel Vesga | 6 | 25 | 22
