# Graph for Java/GraphStream
# Nodes: 23
# Edges: 223

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Julen Agirrezabala | Iñigo Martínez | 6 | 14 | 18
EDGE Julen Agirrezabala | Yeray Álvarez | 9 | 14 | 32
EDGE Julen Agirrezabala | Yuri Berchiche | 13 | 14 | 34
EDGE Julen Agirrezabala | Óscar de Marcos | 11 | 14 | 38
EDGE Julen Agirrezabala | Mikel Vesga | 12 | 14 | 35
EDGE Julen Agirrezabala | Oihan Sancet | 7 | 14 | 36
EDGE Julen Agirrezabala | Iker Muniain | 7 | 14 | 23
EDGE Julen Agirrezabala | Nico Williams | 11 | 14 | 38
EDGE Julen Agirrezabala | Iñaki Williams | 9 | 14 | 37
EDGE Julen Agirrezabala | Gorka Guruzeta | 7 | 14 | 20
EDGE Julen Agirrezabala | Dani Vivian | 12 | 14 | 32
EDGE Julen Agirrezabala | Iñigo Lekue | 2 | 14 | 15
EDGE Julen Agirrezabala | Oier Zarraga | 6 | 14 | 9
EDGE Julen Agirrezabala | Álex Berenguer | 10 | 14 | 31
EDGE Julen Agirrezabala | Raúl García | 5 | 14 | 9
EDGE Julen Agirrezabala | Mikel Balenziaga | 1 | 14 | 1
EDGE Julen Agirrezabala | Dani García | 6 | 14 | 19
EDGE Julen Agirrezabala | Ander Herrera | 3 | 14 | 11
EDGE Julen Agirrezabala | Asier Villalibre | 1 | 14 | 2
EDGE Julen Agirrezabala | Aitor Paredes | 2 | 14 | 9
EDGE Iñigo Martínez | Yeray Álvarez | 11 | 18 | 32
EDGE Iñigo Martínez | Yuri Berchiche | 11 | 18 | 34
EDGE Iñigo Martínez | Óscar de Marcos | 15 | 18 | 38
EDGE Iñigo Martínez | Mikel Vesga | 13 | 18 | 35
EDGE Iñigo Martínez | Oihan Sancet | 15 | 18 | 36
EDGE Iñigo Martínez | Iker Muniain | 8 | 18 | 23
EDGE Iñigo Martínez | Nico Williams | 16 | 18 | 38
EDGE Iñigo Martínez | Iñaki Williams | 16 | 18 | 37
EDGE Iñigo Martínez | Gorka Guruzeta | 6 | 18 | 20
EDGE Iñigo Martínez | Unai Simón | 12 | 18 | 31
EDGE Iñigo Martínez | Ander Herrera | 4 | 18 | 11
EDGE Iñigo Martínez | Oier Zarraga | 2 | 18 | 9
EDGE Iñigo Martínez | Álex Berenguer | 13 | 18 | 31
EDGE Iñigo Martínez | Dani Vivian | 7 | 18 | 32
EDGE Iñigo Martínez | Mikel Balenziaga | 1 | 18 | 1
EDGE Iñigo Martínez | Dani García | 10 | 18 | 19
EDGE Iñigo Martínez | Raúl García | 4 | 18 | 9
EDGE Iñigo Martínez | Ander Capa | 1 | 18 | 1
EDGE Iñigo Martínez | Iñigo Lekue | 8 | 18 | 15
EDGE Iñigo Martínez | Asier Villalibre | 1 | 18 | 2
EDGE Yeray Álvarez | Yuri Berchiche | 24 | 32 | 34
EDGE Yeray Álvarez | Óscar de Marcos | 26 | 32 | 38
EDGE Yeray Álvarez | Mikel Vesga | 25 | 32 | 35
EDGE Yeray Álvarez | Oihan Sancet | 26 | 32 | 36
EDGE Yeray Álvarez | Iker Muniain | 17 | 32 | 23
EDGE Yeray Álvarez | Nico Williams | 28 | 32 | 38
EDGE Yeray Álvarez | Iñaki Williams | 26 | 32 | 37
EDGE Yeray Álvarez | Gorka Guruzeta | 15 | 32 | 20
EDGE Yeray Álvarez | Dani Vivian | 19 | 32 | 32
EDGE Yeray Álvarez | Iñigo Lekue | 12 | 32 | 15
EDGE Yeray Álvarez | Oier Zarraga | 6 | 32 | 9
EDGE Yeray Álvarez | Álex Berenguer | 21 | 32 | 31
EDGE Yeray Álvarez | Raúl García | 7 | 32 | 9
EDGE Yeray Álvarez | Unai Simón | 23 | 32 | 31
EDGE Yeray Álvarez | Dani García | 12 | 32 | 19
EDGE Yeray Álvarez | Ander Herrera | 8 | 32 | 11
EDGE Yeray Álvarez | Aitor Paredes | 3 | 32 | 9
EDGE Yeray Álvarez | Ander Capa | 1 | 32 | 1
EDGE Yeray Álvarez | Asier Villalibre | 1 | 32 | 2
EDGE Yuri Berchiche | Óscar de Marcos | 27 | 34 | 38
EDGE Yuri Berchiche | Mikel Vesga | 28 | 34 | 35
EDGE Yuri Berchiche | Oihan Sancet | 26 | 34 | 36
EDGE Yuri Berchiche | Iker Muniain | 14 | 34 | 23
EDGE Yuri Berchiche | Nico Williams | 27 | 34 | 38
EDGE Yuri Berchiche | Iñaki Williams | 27 | 34 | 37
EDGE Yuri Berchiche | Gorka Guruzeta | 19 | 34 | 20
EDGE Yuri Berchiche | Dani Vivian | 25 | 34 | 32
EDGE Yuri Berchiche | Iñigo Lekue | 5 | 34 | 15
EDGE Yuri Berchiche | Oier Zarraga | 9 | 34 | 9
EDGE Yuri Berchiche | Álex Berenguer | 22 | 34 | 31
EDGE Yuri Berchiche | Raúl García | 7 | 34 | 9
EDGE Yuri Berchiche | Unai Simón | 21 | 34 | 31
EDGE Yuri Berchiche | Dani García | 14 | 34 | 19
EDGE Yuri Berchiche | Ander Herrera | 9 | 34 | 11
EDGE Yuri Berchiche | Aitor Paredes | 9 | 34 | 9
EDGE Yuri Berchiche | Ander Capa | 1 | 34 | 1
EDGE Yuri Berchiche | Asier Villalibre | 2 | 34 | 2
EDGE Óscar de Marcos | Mikel Vesga | 31 | 38 | 35
EDGE Óscar de Marcos | Oihan Sancet | 32 | 38 | 36
EDGE Óscar de Marcos | Iker Muniain | 21 | 38 | 23
EDGE Óscar de Marcos | Nico Williams | 32 | 38 | 38
EDGE Óscar de Marcos | Iñaki Williams | 33 | 38 | 37
EDGE Óscar de Marcos | Gorka Guruzeta | 16 | 38 | 20
EDGE Óscar de Marcos | Unai Simón | 27 | 38 | 31
EDGE Óscar de Marcos | Dani Vivian | 28 | 38 | 32
EDGE Óscar de Marcos | Dani García | 15 | 38 | 19
EDGE Óscar de Marcos | Álex Berenguer | 25 | 38 | 31
EDGE Óscar de Marcos | Ander Herrera | 8 | 38 | 11
EDGE Óscar de Marcos | Oier Zarraga | 7 | 38 | 9
EDGE Óscar de Marcos | Mikel Balenziaga | 1 | 38 | 1
EDGE Óscar de Marcos | Raúl García | 6 | 38 | 9
EDGE Óscar de Marcos | Iñigo Lekue | 10 | 38 | 15
EDGE Óscar de Marcos | Aitor Paredes | 7 | 38 | 9
EDGE Óscar de Marcos | Asier Villalibre | 2 | 38 | 2
EDGE Mikel Vesga | Oihan Sancet | 28 | 35 | 36
EDGE Mikel Vesga | Iker Muniain | 16 | 35 | 23
EDGE Mikel Vesga | Nico Williams | 29 | 35 | 38
EDGE Mikel Vesga | Iñaki Williams | 29 | 35 | 37
EDGE Mikel Vesga | Gorka Guruzeta | 16 | 35 | 20
EDGE Mikel Vesga | Dani Vivian | 26 | 35 | 32
EDGE Mikel Vesga | Iñigo Lekue | 8 | 35 | 15
EDGE Mikel Vesga | Oier Zarraga | 7 | 35 | 9
EDGE Mikel Vesga | Álex Berenguer | 22 | 35 | 31
EDGE Mikel Vesga | Raúl García | 9 | 35 | 9
EDGE Mikel Vesga | Unai Simón | 23 | 35 | 31
EDGE Mikel Vesga | Dani García | 9 | 35 | 19
EDGE Mikel Vesga | Ander Herrera | 8 | 35 | 11
EDGE Mikel Vesga | Mikel Balenziaga | 1 | 35 | 1
EDGE Mikel Vesga | Ander Capa | 1 | 35 | 1
EDGE Mikel Vesga | Aitor Paredes | 7 | 35 | 9
EDGE Mikel Vesga | Asier Villalibre | 2 | 35 | 2
EDGE Oihan Sancet | Iker Muniain | 18 | 36 | 23
EDGE Oihan Sancet | Nico Williams | 31 | 36 | 38
EDGE Oihan Sancet | Iñaki Williams | 31 | 36 | 37
EDGE Oihan Sancet | Gorka Guruzeta | 17 | 36 | 20
EDGE Oihan Sancet | Unai Simón | 29 | 36 | 31
EDGE Oihan Sancet | Dani Vivian | 24 | 36 | 32
EDGE Oihan Sancet | Dani García | 16 | 36 | 19
EDGE Oihan Sancet | Álex Berenguer | 22 | 36 | 31
EDGE Oihan Sancet | Oier Zarraga | 5 | 36 | 9
EDGE Oihan Sancet | Raúl García | 5 | 36 | 9
EDGE Oihan Sancet | Aitor Paredes | 7 | 36 | 9
EDGE Oihan Sancet | Iñigo Lekue | 13 | 36 | 15
EDGE Oihan Sancet | Ander Herrera | 6 | 36 | 11
EDGE Oihan Sancet | Ander Capa | 1 | 36 | 1
EDGE Oihan Sancet | Asier Villalibre | 1 | 36 | 2
EDGE Iker Muniain | Nico Williams | 18 | 23 | 38
EDGE Iker Muniain | Iñaki Williams | 19 | 23 | 37
EDGE Iker Muniain | Gorka Guruzeta | 5 | 23 | 20
EDGE Iker Muniain | Dani Vivian | 17 | 23 | 32
EDGE Iker Muniain | Iñigo Lekue | 11 | 23 | 15
EDGE Iker Muniain | Oier Zarraga | 3 | 23 | 9
EDGE Iker Muniain | Álex Berenguer | 20 | 23 | 31
EDGE Iker Muniain | Raúl García | 3 | 23 | 9
EDGE Iker Muniain | Unai Simón | 16 | 23 | 31
EDGE Iker Muniain | Dani García | 9 | 23 | 19
EDGE Iker Muniain | Ander Herrera | 3 | 23 | 11
EDGE Iker Muniain | Aitor Paredes | 4 | 23 | 9
EDGE Iker Muniain | Asier Villalibre | 1 | 23 | 2
EDGE Nico Williams | Iñaki Williams | 30 | 38 | 37
EDGE Nico Williams | Gorka Guruzeta | 15 | 38 | 20
EDGE Nico Williams | Dani Vivian | 26 | 38 | 32
EDGE Nico Williams | Iñigo Lekue | 15 | 38 | 15
EDGE Nico Williams | Oier Zarraga | 8 | 38 | 9
EDGE Nico Williams | Álex Berenguer | 24 | 38 | 31
EDGE Nico Williams | Raúl García | 8 | 38 | 9
EDGE Nico Williams | Unai Simón | 27 | 38 | 31
EDGE Nico Williams | Dani García | 16 | 38 | 19
EDGE Nico Williams | Ander Herrera | 10 | 38 | 11
EDGE Nico Williams | Mikel Balenziaga | 1 | 38 | 1
EDGE Nico Williams | Aitor Paredes | 6 | 38 | 9
EDGE Nico Williams | Ander Capa | 1 | 38 | 1
EDGE Nico Williams | Asier Villalibre | 1 | 38 | 2
EDGE Iñaki Williams | Gorka Guruzeta | 16 | 37 | 20
EDGE Iñaki Williams | Unai Simón | 28 | 37 | 31
EDGE Iñaki Williams | Dani Vivian | 24 | 37 | 32
EDGE Iñaki Williams | Dani García | 17 | 37 | 19
EDGE Iñaki Williams | Álex Berenguer | 24 | 37 | 31
EDGE Iñaki Williams | Ander Herrera | 9 | 37 | 11
EDGE Iñaki Williams | Oier Zarraga | 5 | 37 | 9
EDGE Iñaki Williams | Mikel Balenziaga | 1 | 37 | 1
EDGE Iñaki Williams | Raúl García | 4 | 37 | 9
EDGE Iñaki Williams | Aitor Paredes | 9 | 37 | 9
EDGE Iñaki Williams | Iñigo Lekue | 11 | 37 | 15
EDGE Iñaki Williams | Ander Capa | 1 | 37 | 1
EDGE Iñaki Williams | Asier Villalibre | 1 | 37 | 2
EDGE Gorka Guruzeta | Unai Simón | 13 | 20 | 31
EDGE Gorka Guruzeta | Dani Vivian | 15 | 20 | 32
EDGE Gorka Guruzeta | Dani García | 10 | 20 | 19
EDGE Gorka Guruzeta | Iñigo Lekue | 3 | 20 | 15
