# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Unai Simón | Dani Vivian | 30 | 36 | 37
EDGE Unai Simón | Aitor Paredes | 30 | 36 | 37
EDGE Unai Simón | Imanol García de Albéniz | 5 | 36 | 6
EDGE Unai Simón | Óscar de Marcos | 24 | 36 | 30
EDGE Unai Simón | Dani García | 7 | 36 | 7
EDGE Unai Simón | Iñigo Ruiz de Galarreta | 24 | 36 | 28
EDGE Unai Simón | Oihan Sancet | 24 | 36 | 31
EDGE Unai Simón | Nico Williams | 28 | 36 | 33
EDGE Unai Simón | Iñaki Williams | 30 | 36 | 35
EDGE Unai Simón | Gorka Guruzeta | 29 | 36 | 34
EDGE Unai Simón | Yuri Berchiche | 21 | 36 | 27
EDGE Unai Simón | Mikel Vesga | 17 | 36 | 21
EDGE Unai Simón | Ander Herrera | 10 | 36 | 12
EDGE Unai Simón | Álex Berenguer | 14 | 36 | 19
EDGE Unai Simón | Yeray Álvarez | 12 | 36 | 14
EDGE Unai Simón | Iñigo Lekue | 21 | 36 | 27
EDGE Unai Simón | Beñat Prados | 14 | 36 | 23
EDGE Unai Simón | Adu Ares | 2 | 36 | 5
EDGE Unai Simón | Unai Gómez | 9 | 36 | 11
EDGE Unai Simón | Asier Villalibre | 4 | 36 | 7
EDGE Unai Simón | Iker Muniain | 4 | 36 | 9
EDGE Unai Simón | Mikel Jauregizar | 1 | 36 | 1
EDGE Dani Vivian | Aitor Paredes | 30 | 37 | 37
EDGE Dani Vivian | Imanol García de Albéniz | 3 | 37 | 6
EDGE Dani Vivian | Óscar de Marcos | 26 | 37 | 30
EDGE Dani Vivian | Dani García | 4 | 37 | 7
EDGE Dani Vivian | Iñigo Ruiz de Galarreta | 25 | 37 | 28
EDGE Dani Vivian | Oihan Sancet | 29 | 37 | 31
EDGE Dani Vivian | Nico Williams | 30 | 37 | 33
EDGE Dani Vivian | Iñaki Williams | 30 | 37 | 35
EDGE Dani Vivian | Gorka Guruzeta | 31 | 37 | 34
EDGE Dani Vivian | Yuri Berchiche | 23 | 37 | 27
EDGE Dani Vivian | Mikel Vesga | 17 | 37 | 21
EDGE Dani Vivian | Ander Herrera | 11 | 37 | 12
EDGE Dani Vivian | Álex Berenguer | 11 | 37 | 19
EDGE Dani Vivian | Yeray Álvarez | 7 | 37 | 14
EDGE Dani Vivian | Iñigo Lekue | 22 | 37 | 27
EDGE Dani Vivian | Beñat Prados | 16 | 37 | 23
EDGE Dani Vivian | Unai Gómez | 5 | 37 | 11
EDGE Dani Vivian | Adu Ares | 2 | 37 | 5
EDGE Dani Vivian | Asier Villalibre | 3 | 37 | 7
EDGE Dani Vivian | Julen Agirrezabala | 7 | 37 | 10
EDGE Dani Vivian | Iker Muniain | 7 | 37 | 9
EDGE Dani Vivian | Raúl García | 1 | 37 | 3
EDGE Aitor Paredes | Imanol García de Albéniz | 5 | 37 | 6
EDGE Aitor Paredes | Óscar de Marcos | 24 | 37 | 30
EDGE Aitor Paredes | Dani García | 5 | 37 | 7
EDGE Aitor Paredes | Iñigo Ruiz de Galarreta | 25 | 37 | 28
EDGE Aitor Paredes | Oihan Sancet | 30 | 37 | 31
EDGE Aitor Paredes | Nico Williams | 28 | 37 | 33
EDGE Aitor Paredes | Iñaki Williams | 28 | 37 | 35
EDGE Aitor Paredes | Gorka Guruzeta | 30 | 37 | 34
EDGE Aitor Paredes | Yuri Berchiche | 21 | 37 | 27
EDGE Aitor Paredes | Mikel Vesga | 18 | 37 | 21
EDGE Aitor Paredes | Ander Herrera | 8 | 37 | 12
EDGE Aitor Paredes | Álex Berenguer | 15 | 37 | 19
EDGE Aitor Paredes | Iñigo Lekue | 22 | 37 | 27
EDGE Aitor Paredes | Yeray Álvarez | 8 | 37 | 14
EDGE Aitor Paredes | Beñat Prados | 18 | 37 | 23
EDGE Aitor Paredes | Adu Ares | 2 | 37 | 5
EDGE Aitor Paredes | Unai Gómez | 6 | 37 | 11
EDGE Aitor Paredes | Asier Villalibre | 5 | 37 | 7
EDGE Aitor Paredes | Julen Agirrezabala | 7 | 37 | 10
EDGE Aitor Paredes | Iker Muniain | 4 | 37 | 9
EDGE Aitor Paredes | Mikel Jauregizar | 1 | 37 | 1
EDGE Imanol García de Albéniz | Óscar de Marcos | 2 | 6 | 30
EDGE Imanol García de Albéniz | Dani García | 3 | 6 | 7
EDGE Imanol García de Albéniz | Iñigo Ruiz de Galarreta | 3 | 6 | 28
EDGE Imanol García de Albéniz | Oihan Sancet | 2 | 6 | 31
EDGE Imanol García de Albéniz | Nico Williams | 3 | 6 | 33
EDGE Imanol García de Albéniz | Iñaki Williams | 4 | 6 | 35
EDGE Imanol García de Albéniz | Gorka Guruzeta | 4 | 6 | 34
EDGE Imanol García de Albéniz | Yeray Álvarez | 2 | 6 | 14
EDGE Imanol García de Albéniz | Iñigo Lekue | 2 | 6 | 27
EDGE Imanol García de Albéniz | Beñat Prados | 3 | 6 | 23
EDGE Imanol García de Albéniz | Adu Ares | 2 | 6 | 5
EDGE Imanol García de Albéniz | Álex Berenguer | 3 | 6 | 19
EDGE Imanol García de Albéniz | Unai Gómez | 3 | 6 | 11
EDGE Imanol García de Albéniz | Asier Villalibre | 2 | 6 | 7
EDGE Imanol García de Albéniz | Julen Agirrezabala | 1 | 6 | 10
EDGE Imanol García de Albéniz | Yuri Berchiche | 1 | 6 | 27
EDGE Imanol García de Albéniz | Peru Nolaskoain | 1 | 6 | 2
EDGE Imanol García de Albéniz | Raúl García | 1 | 6 | 3
