# Graph for Java/GraphStream
# Nodes: 28
# Edges: 324

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Julen Agirrezabala | Dani Vivian | 20 | 29 | 40
EDGE Julen Agirrezabala | Yeray Álvarez | 14 | 29 | 27
EDGE Julen Agirrezabala | Yuri Berchiche | 21 | 29 | 35
EDGE Julen Agirrezabala | Iñigo Lekue | 5 | 29 | 11
EDGE Julen Agirrezabala | Ander Herrera | 2 | 29 | 3
EDGE Julen Agirrezabala | Beñat Prados | 13 | 29 | 28
EDGE Julen Agirrezabala | Oihan Sancet | 13 | 29 | 24
EDGE Julen Agirrezabala | Nico Williams | 23 | 29 | 35
EDGE Julen Agirrezabala | Iñaki Williams | 23 | 29 | 42
EDGE Julen Agirrezabala | Gorka Guruzeta | 16 | 29 | 31
EDGE Julen Agirrezabala | Aitor Paredes | 17 | 29 | 32
EDGE Julen Agirrezabala | Andoni Gorosabel | 8 | 29 | 23
EDGE Julen Agirrezabala | Iñigo Ruiz de Galarreta | 20 | 29 | 31
EDGE Julen Agirrezabala | Álex Berenguer | 17 | 29 | 38
EDGE Julen Agirrezabala | Álvaro Djaló | 8 | 29 | 11
EDGE Julen Agirrezabala | Unai Núñez | 7 | 29 | 11
EDGE Julen Agirrezabala | Adama Boiro | 5 | 29 | 15
EDGE Julen Agirrezabala | Óscar de Marcos | 19 | 29 | 27
EDGE Julen Agirrezabala | Mikel Vesga | 3 | 29 | 11
EDGE Julen Agirrezabala | Nico Serrano | 2 | 29 | 2
EDGE Julen Agirrezabala | Mikel Jauregizar | 20 | 29 | 37
EDGE Julen Agirrezabala | Unai Gómez | 8 | 29 | 20
EDGE Julen Agirrezabala | Maroan Sannadi | 6 | 29 | 13
EDGE Dani Vivian | Yeray Álvarez | 18 | 40 | 27
EDGE Dani Vivian | Yuri Berchiche | 26 | 40 | 35
EDGE Dani Vivian | Iñigo Lekue | 8 | 40 | 11
EDGE Dani Vivian | Ander Herrera | 2 | 40 | 3
EDGE Dani Vivian | Beñat Prados | 21 | 40 | 28
EDGE Dani Vivian | Oihan Sancet | 21 | 40 | 24
EDGE Dani Vivian | Nico Williams | 25 | 40 | 35
EDGE Dani Vivian | Iñaki Williams | 34 | 40 | 42
EDGE Dani Vivian | Gorka Guruzeta | 22 | 40 | 31
EDGE Dani Vivian | Aitor Paredes | 20 | 40 | 32
EDGE Dani Vivian | Andoni Gorosabel | 16 | 40 | 23
EDGE Dani Vivian | Iñigo Ruiz de Galarreta | 25 | 40 | 31
EDGE Dani Vivian | Álex Berenguer | 26 | 40 | 38
EDGE Dani Vivian | Álvaro Djaló | 8 | 40 | 11
EDGE Dani Vivian | Unai Simón | 18 | 40 | 23
EDGE Dani Vivian | Adama Boiro | 11 | 40 | 15
EDGE Dani Vivian | Óscar de Marcos | 20 | 40 | 27
EDGE Dani Vivian | Mikel Jauregizar | 26 | 40 | 37
EDGE Dani Vivian | Mikel Vesga | 6 | 40 | 11
EDGE Dani Vivian | Unai Núñez | 2 | 40 | 11
EDGE Dani Vivian | Unai Gómez | 12 | 40 | 20
EDGE Dani Vivian | Maroan Sannadi | 9 | 40 | 13
EDGE Dani Vivian | Álex Padilla | 2 | 40 | 3
EDGE Dani Vivian | Peio Canales | 1 | 40 | 2
EDGE Dani Vivian | Aingeru Olabarrieta | 1 | 40 | 1
EDGE Yeray Álvarez | Yuri Berchiche | 17 | 27 | 35
EDGE Yeray Álvarez | Iñigo Lekue | 6 | 27 | 11
EDGE Yeray Álvarez | Ander Herrera | 1 | 27 | 3
EDGE Yeray Álvarez | Beñat Prados | 14 | 27 | 28
EDGE Yeray Álvarez | Oihan Sancet | 13 | 27 | 24
EDGE Yeray Álvarez | Nico Williams | 18 | 27 | 35
EDGE Yeray Álvarez | Iñaki Williams | 21 | 27 | 42
EDGE Yeray Álvarez | Gorka Guruzeta | 12 | 27 | 31
EDGE Yeray Álvarez | Unai Simón | 11 | 27 | 23
EDGE Yeray Álvarez | Adama Boiro | 7 | 27 | 15
EDGE Yeray Álvarez | Óscar de Marcos | 12 | 27 | 27
EDGE Yeray Álvarez | Mikel Jauregizar | 21 | 27 | 37
EDGE Yeray Álvarez | Álex Berenguer | 19 | 27 | 38
EDGE Yeray Álvarez | Álex Padilla | 2 | 27 | 3
EDGE Yeray Álvarez | Aitor Paredes | 6 | 27 | 32
EDGE Yeray Álvarez | Andoni Gorosabel | 12 | 27 | 23
EDGE Yeray Álvarez | Mikel Vesga | 5 | 27 | 11
EDGE Yeray Álvarez | Unai Gómez | 7 | 27 | 20
EDGE Yeray Álvarez | Nico Serrano | 1 | 27 | 2
EDGE Yeray Álvarez | Maroan Sannadi | 10 | 27 | 13
EDGE Yeray Álvarez | Unai Núñez | 3 | 27 | 11
EDGE Yeray Álvarez | Iñigo Ruiz de Galarreta | 13 | 27 | 31
EDGE Yeray Álvarez | Álvaro Djaló | 4 | 27 | 11
EDGE Yeray Álvarez | Peio Canales | 2 | 27 | 2
EDGE Yeray Álvarez | Aingeru Olabarrieta | 1 | 27 | 1
EDGE Yuri Berchiche | Iñigo Lekue | 5 | 35 | 11
EDGE Yuri Berchiche | Ander Herrera | 1 | 35 | 3
EDGE Yuri Berchiche | Beñat Prados | 16 | 35 | 28
EDGE Yuri Berchiche | Oihan Sancet | 15 | 35 | 24
EDGE Yuri Berchiche | Nico Williams | 25 | 35 | 35
EDGE Yuri Berchiche | Iñaki Williams | 28 | 35 | 42
EDGE Yuri Berchiche | Gorka Guruzeta | 19 | 35 | 31
EDGE Yuri Berchiche | Aitor Paredes | 20 | 35 | 32
EDGE Yuri Berchiche | Andoni Gorosabel | 13 | 35 | 23
EDGE Yuri Berchiche | Iñigo Ruiz de Galarreta | 24 | 35 | 31
EDGE Yuri Berchiche | Álex Berenguer | 21 | 35 | 38
EDGE Yuri Berchiche | Álvaro Djaló | 7 | 35 | 11
EDGE Yuri Berchiche | Álex Padilla | 2 | 35 | 3
EDGE Yuri Berchiche | Mikel Vesga | 5 | 35 | 11
EDGE Yuri Berchiche | Unai Núñez | 7 | 35 | 11
EDGE Yuri Berchiche | Óscar de Marcos | 17 | 35 | 27
EDGE Yuri Berchiche | Mikel Jauregizar | 24 | 35 | 37
EDGE Yuri Berchiche | Unai Simón | 12 | 35 | 23
EDGE Yuri Berchiche | Adama Boiro | 1 | 35 | 15
EDGE Yuri Berchiche | Unai Gómez | 11 | 35 | 20
EDGE Yuri Berchiche | Maroan Sannadi | 11 | 35 | 13
EDGE Yuri Berchiche | Peio Canales | 1 | 35 | 2
EDGE Yuri Berchiche | Aingeru Olabarrieta | 1 | 35 | 1
EDGE Iñigo Lekue | Ander Herrera | 1 | 11 | 3
EDGE Iñigo Lekue | Beñat Prados | 6 | 11 | 28
EDGE Iñigo Lekue | Oihan Sancet | 6 | 11 | 24
EDGE Iñigo Lekue | Nico Williams | 6 | 11 | 35
EDGE Iñigo Lekue | Iñaki Williams | 9 | 11 | 42
EDGE Iñigo Lekue | Gorka Guruzeta | 6 | 11 | 31
EDGE Iñigo Lekue | Unai Simón | 5 | 11 | 23
EDGE Iñigo Lekue | Aitor Paredes | 6 | 11 | 32
EDGE Iñigo Lekue | Andoni Gorosabel | 3 | 11 | 23
EDGE Iñigo Lekue | Iñigo Ruiz de Galarreta | 5 | 11 | 31
EDGE Iñigo Lekue | Unai Gómez | 5 | 11 | 20
EDGE Iñigo Lekue | Álex Berenguer | 9 | 11 | 38
EDGE Iñigo Lekue | Adama Boiro | 1 | 11 | 15
EDGE Iñigo Lekue | Óscar de Marcos | 3 | 11 | 27
EDGE Iñigo Lekue | Mikel Jauregizar | 6 | 11 | 37
EDGE Iñigo Lekue | Maroan Sannadi | 2 | 11 | 13
EDGE Iñigo Lekue | Álex Padilla | 1 | 11 | 3
EDGE Iñigo Lekue | Mikel Vesga | 4 | 11 | 11
EDGE Iñigo Lekue | Unai Núñez | 2 | 11 | 11
EDGE Ander Herrera | Beñat Prados | 1 | 3 | 28
EDGE Ander Herrera | Oihan Sancet | 2 | 3 | 24
EDGE Ander Herrera | Nico Williams | 1 | 3 | 35
EDGE Ander Herrera | Iñaki Williams | 2 | 3 | 42
EDGE Ander Herrera | Gorka Guruzeta | 3 | 3 | 31
EDGE Ander Herrera | Aitor Paredes | 2 | 3 | 32
EDGE Ander Herrera | Unai Núñez | 1 | 3 | 11
EDGE Ander Herrera | Adama Boiro | 2 | 3 | 15
EDGE Ander Herrera | Óscar de Marcos | 2 | 3 | 27
EDGE Ander Herrera | Mikel Vesga | 1 | 3 | 11
EDGE Ander Herrera | Álex Berenguer | 2 | 3 | 38
EDGE Ander Herrera | Álvaro Djaló | 1 | 3 | 11
EDGE Ander Herrera | Nico Serrano | 1 | 3 | 2
EDGE Ander Herrera | Álex Padilla | 1 | 3 | 3
EDGE Ander Herrera | Iñigo Ruiz de Galarreta | 1 | 3 | 31
EDGE Beñat Prados | Oihan Sancet | 13 | 28 | 24
EDGE Beñat Prados | Nico Williams | 15 | 28 | 35
EDGE Beñat Prados | Iñaki Williams | 22 | 28 | 42
EDGE Beñat Prados | Gorka Guruzeta | 19 | 28 | 31
EDGE Beñat Prados | Aitor Paredes | 17 | 28 | 32
EDGE Beñat Prados | Andoni Gorosabel | 13 | 28 | 23
EDGE Beñat Prados | Iñigo Ruiz de Galarreta | 10 | 28 | 31
EDGE Beñat Prados | Álex Berenguer | 21 | 28 | 38
EDGE Beñat Prados | Álvaro Djaló | 7 | 28 | 11
EDGE Beñat Prados | Unai Simón | 13 | 28 | 23
EDGE Beñat Prados | Adama Boiro | 11 | 28 | 15
EDGE Beñat Prados | Óscar de Marcos | 11 | 28 | 27
EDGE Beñat Prados | Mikel Jauregizar | 13 | 28 | 37
EDGE Beñat Prados | Unai Núñez | 4 | 28 | 11
EDGE Beñat Prados | Mikel Vesga | 4 | 28 | 11
EDGE Beñat Prados | Unai Gómez | 10 | 28 | 20
EDGE Beñat Prados | Álex Padilla | 2 | 28 | 3
EDGE Beñat Prados | Nico Serrano | 1 | 28 | 2
EDGE Beñat Prados | Maroan Sannadi | 2 | 28 | 13
EDGE Beñat Prados | Peio Canales | 1 | 28 | 2
EDGE Oihan Sancet | Nico Williams | 14 | 24 | 35
EDGE Oihan Sancet | Iñaki Williams | 22 | 24 | 42
EDGE Oihan Sancet | Gorka Guruzeta | 14 | 24 | 31
EDGE Oihan Sancet | Unai Simón | 8 | 24 | 23
