# Graph for Java/GraphStream
# Nodes: 24
# Edges: 227

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Leo Franco | García Calvo | 7 | 35 | 9
EDGE Leo Franco | Luis Amaranto Perea | 31 | 35 | 35
EDGE Leo Franco | Antonio López | 32 | 35 | 38
EDGE Leo Franco | Juan Valera | 10 | 35 | 12
EDGE Leo Franco | José Ignacio Zahinos | 12 | 35 | 16
EDGE Leo Franco | Peter Luccin | 29 | 35 | 30
EDGE Leo Franco | Mario Suárez | 1 | 35 | 3
EDGE Leo Franco | Ariel Ibagaza | 15 | 35 | 20
EDGE Leo Franco | Luciano Galletti | 16 | 35 | 17
EDGE Leo Franco | Fernando Torres | 33 | 35 | 39
EDGE Leo Franco | Pablo Ibáñez | 30 | 35 | 36
EDGE Leo Franco | Juan Velasco | 22 | 35 | 26
EDGE Leo Franco | Martin Petrov | 27 | 35 | 33
EDGE Leo Franco | Maxi Rodríguez | 21 | 35 | 25
EDGE Leo Franco | Mateja Kežman | 28 | 35 | 29
EDGE Leo Franco | Francisco Molinero | 11 | 35 | 11
EDGE Leo Franco | Gabi | 19 | 35 | 21
EDGE Leo Franco | Fernando Marqués | 1 | 35 | 1
EDGE Leo Franco | Manu del Moral | 2 | 35 | 2
EDGE Leo Franco | Pablo Sicilia | 1 | 35 | 1
EDGE Leo Franco | Gonzalo Colsa | 2 | 35 | 6
EDGE García Calvo | Luis Amaranto Perea | 3 | 9 | 35
EDGE García Calvo | Antonio López | 8 | 9 | 38
EDGE García Calvo | Juan Valera | 4 | 9 | 12
EDGE García Calvo | José Ignacio Zahinos | 4 | 9 | 16
EDGE García Calvo | Peter Luccin | 6 | 9 | 30
EDGE García Calvo | Mario Suárez | 1 | 9 | 3
EDGE García Calvo | Ariel Ibagaza | 7 | 9 | 20
EDGE García Calvo | Luciano Galletti | 4 | 9 | 17
EDGE García Calvo | Fernando Torres | 8 | 9 | 39
EDGE García Calvo | Juan Velasco | 5 | 9 | 26
EDGE García Calvo | Gabi | 3 | 9 | 21
