# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Leo Franco | Zé Castro | 4 | 21 | 13
EDGE Leo Franco | Pablo Ibáñez | 19 | 21 | 44
EDGE Leo Franco | Antonio López | 10 | 21 | 35
EDGE Leo Franco | Luis Amaranto Perea | 18 | 21 | 42
EDGE Leo Franco | Maniche | 15 | 21 | 19
EDGE Leo Franco | Raúl García | 19 | 21 | 44
EDGE Leo Franco | Luis García | 7 | 21 | 25
EDGE Leo Franco | Sergio Agüero | 20 | 21 | 45
EDGE Leo Franco | Maxi Rodríguez | 20 | 21 | 42
EDGE Leo Franco | Diego Forlán | 17 | 21 | 49
EDGE Leo Franco | Mariano Pernía | 17 | 21 | 40
EDGE Leo Franco | Georgios Seitaridis | 12 | 21 | 15
EDGE Leo Franco | Simão | 10 | 21 | 30
EDGE Leo Franco | José Antonio Reyes | 6 | 21 | 17
EDGE Leo Franco | Peter Luccin | 2 | 21 | 2
EDGE Leo Franco | José Manuel Jurado | 1 | 21 | 9
EDGE Leo Franco | Ignacio Camacho | 5 | 21 | 9
EDGE Leo Franco | Fabiano Eller | 3 | 21 | 24
EDGE Leo Franco | Martin Petrov | 1 | 21 | 1
EDGE Leo Franco | Mista | 1 | 21 | 10
EDGE Leo Franco | Juan Valera | 1 | 21 | 11
EDGE Leo Franco | Cléber Santana | 2 | 21 | 25
EDGE Zé Castro | Pablo Ibáñez | 5 | 13 | 44
EDGE Zé Castro | Antonio López | 6 | 13 | 35
EDGE Zé Castro | Luis Amaranto Perea | 7 | 13 | 42
EDGE Zé Castro | Maniche | 6 | 13 | 19
EDGE Zé Castro | Raúl García | 11 | 13 | 44
EDGE Zé Castro | Luis García | 10 | 13 | 25
EDGE Zé Castro | Sergio Agüero | 7 | 13 | 45
EDGE Zé Castro | Maxi Rodríguez | 6 | 13 | 42
EDGE Zé Castro | Diego Forlán | 10 | 13 | 49
EDGE Zé Castro | Christian Abbiati | 6 | 13 | 29
EDGE Zé Castro | Fabiano Eller | 6 | 13 | 24
EDGE Zé Castro | Cléber Santana | 8 | 13 | 25
EDGE Zé Castro | José Manuel Jurado | 3 | 13 | 9
EDGE Zé Castro | Mista | 6 | 13 | 10
EDGE Zé Castro | Mariano Pernía | 7 | 13 | 40
EDGE Zé Castro | José Antonio Reyes | 5 | 13 | 17
EDGE Zé Castro | Ismael Falcón | 3 | 13 | 6
EDGE Zé Castro | Juan Valera | 5 | 13 | 11
EDGE Zé Castro | Simão | 4 | 13 | 30
EDGE Zé Castro | Georgios Seitaridis | 3 | 13 | 15
EDGE Zé Castro | Miguel de las Cuevas | 2 | 13 | 2
EDGE Pablo Ibáñez | Antonio López | 27 | 44 | 35
EDGE Pablo Ibáñez | Luis Amaranto Perea | 33 | 44 | 42
EDGE Pablo Ibáñez | Maniche | 15 | 44 | 19
EDGE Pablo Ibáñez | Raúl García | 36 | 44 | 44
EDGE Pablo Ibáñez | Luis García | 16 | 44 | 25
EDGE Pablo Ibáñez | Sergio Agüero | 40 | 44 | 45
EDGE Pablo Ibáñez | Maxi Rodríguez | 35 | 44 | 42
EDGE Pablo Ibáñez | Diego Forlán | 40 | 44 | 49
EDGE Pablo Ibáñez | Christian Abbiati | 22 | 44 | 29
EDGE Pablo Ibáñez | Fabiano Eller | 14 | 44 | 24
EDGE Pablo Ibáñez | Mariano Pernía | 34 | 44 | 40
EDGE Pablo Ibáñez | Thiago Motta | 7 | 44 | 7
EDGE Pablo Ibáñez | Cléber Santana | 16 | 44 | 25
