# Graph for Java/GraphStream
# Nodes: 22
# Edges: 228

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Leo Franco | Luis Amaranto Perea | 27 | 41 | 35
EDGE Leo Franco | Pablo Ibáñez | 20 | 41 | 23
EDGE Leo Franco | Mariano Pernía | 25 | 41 | 32
EDGE Leo Franco | Tomas Ujfalusi | 33 | 41 | 40
EDGE Leo Franco | Paulo Assunção | 36 | 41 | 41
EDGE Leo Franco | Raúl García | 27 | 41 | 34
EDGE Leo Franco | Simão | 35 | 41 | 42
EDGE Leo Franco | Florent Sinama-Pongolle | 12 | 41 | 20
EDGE Leo Franco | Diego Forlán | 38 | 41 | 42
EDGE Leo Franco | Sergio Agüero | 34 | 41 | 42
EDGE Leo Franco | Antonio López | 21 | 41 | 26
EDGE Leo Franco | John Heitinga | 28 | 41 | 33
EDGE Leo Franco | Maxi Rodríguez | 29 | 41 | 38
EDGE Leo Franco | Maniche | 16 | 41 | 22
EDGE Leo Franco | Luis García | 5 | 41 | 10
EDGE Leo Franco | Éver Banega | 4 | 41 | 8
EDGE Leo Franco | Álvaro Domínguez | 4 | 41 | 5
EDGE Leo Franco | Georgios Seitaridis | 8 | 41 | 16
EDGE Leo Franco | Ignacio Camacho | 5 | 41 | 7
EDGE Leo Franco | Miguel de las Cuevas | 3 | 41 | 4
EDGE Luis Amaranto Perea | Pablo Ibáñez | 12 | 35 | 23
EDGE Luis Amaranto Perea | Mariano Pernía | 21 | 35 | 32
EDGE Luis Amaranto Perea | Tomas Ujfalusi | 25 | 35 | 40
EDGE Luis Amaranto Perea | Paulo Assunção | 28 | 35 | 41
EDGE Luis Amaranto Perea | Raúl García | 25 | 35 | 34
EDGE Luis Amaranto Perea | Simão | 27 | 35 | 42
EDGE Luis Amaranto Perea | Florent Sinama-Pongolle | 17 | 35 | 20
EDGE Luis Amaranto Perea | Diego Forlán | 26 | 35 | 42
EDGE Luis Amaranto Perea | Sergio Agüero | 27 | 35 | 42
EDGE Luis Amaranto Perea | John Heitinga | 22 | 35 | 33
EDGE Luis Amaranto Perea | Antonio López | 20 | 35 | 26
EDGE Luis Amaranto Perea | Maniche | 15 | 35 | 22
EDGE Luis Amaranto Perea | Luis García | 8 | 35 | 10
EDGE Luis Amaranto Perea | Éver Banega | 6 | 35 | 8
EDGE Luis Amaranto Perea | Maxi Rodríguez | 23 | 35 | 38
EDGE Luis Amaranto Perea | Grégory Coupet | 8 | 35 | 11
EDGE Luis Amaranto Perea | Ignacio Camacho | 3 | 35 | 7
EDGE Luis Amaranto Perea | Miguel de las Cuevas | 3 | 35 | 4
EDGE Luis Amaranto Perea | Álvaro Domínguez | 1 | 35 | 5
EDGE Luis Amaranto Perea | Georgios Seitaridis | 6 | 35 | 16
EDGE Pablo Ibáñez | Mariano Pernía | 13 | 23 | 32
EDGE Pablo Ibáñez | Tomas Ujfalusi | 16 | 23 | 40
EDGE Pablo Ibáñez | Paulo Assunção | 18 | 23 | 41
EDGE Pablo Ibáñez | Raúl García | 18 | 23 | 34
