# Graph for Java/GraphStream
# Nodes: 30
# Edges: 315

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Asenjo | Álvaro Domínguez | 14 | 25 | 46
EDGE Sergio Asenjo | Luis Amaranto Perea | 18 | 25 | 48
EDGE Sergio Asenjo | Antonio López | 17 | 25 | 47
EDGE Sergio Asenjo | Juan Valera | 8 | 25 | 25
EDGE Sergio Asenjo | Paulo Assunção | 21 | 25 | 52
EDGE Sergio Asenjo | Raúl García | 12 | 25 | 26
EDGE Sergio Asenjo | José Manuel Jurado | 16 | 25 | 42
EDGE Sergio Asenjo | José Antonio Reyes | 12 | 25 | 37
EDGE Sergio Asenjo | Simão | 21 | 25 | 52
EDGE Sergio Asenjo | Diego Forlán | 18 | 25 | 50
EDGE Sergio Asenjo | Juanito | 14 | 25 | 23
EDGE Sergio Asenjo | Cléber Santana | 11 | 25 | 16
EDGE Sergio Asenjo | Maxi Rodríguez | 11 | 25 | 14
EDGE Sergio Asenjo | Sergio Agüero | 15 | 25 | 45
EDGE Sergio Asenjo | Pablo Ibáñez | 7 | 25 | 11
EDGE Sergio Asenjo | Tomas Ujfalusi | 18 | 25 | 49
EDGE Sergio Asenjo | John Heitinga | 3 | 25 | 3
EDGE Sergio Asenjo | Florent Sinama-Pongolle | 5 | 25 | 6
EDGE Sergio Asenjo | Leandro Cabrera | 1 | 25 | 4
EDGE Sergio Asenjo | Ignacio Camacho | 2 | 25 | 8
EDGE Sergio Asenjo | Tiago Mendes | 2 | 25 | 21
EDGE Sergio Asenjo | Eduardo Salvio | 1 | 25 | 5
EDGE Sergio Asenjo | Ibrahima Balde | 2 | 25 | 5
EDGE Álvaro Domínguez | Luis Amaranto Perea | 37 | 46 | 48
EDGE Álvaro Domínguez | Antonio López | 32 | 46 | 47
EDGE Álvaro Domínguez | Juan Valera | 19 | 46 | 25
EDGE Álvaro Domínguez | Paulo Assunção | 36 | 46 | 52
EDGE Álvaro Domínguez | Raúl García | 20 | 46 | 26
EDGE Álvaro Domínguez | José Manuel Jurado | 30 | 46 | 42
EDGE Álvaro Domínguez | José Antonio Reyes | 31 | 46 | 37
EDGE Álvaro Domínguez | Simão | 36 | 46 | 52
EDGE Álvaro Domínguez | Diego Forlán | 36 | 46 | 50
EDGE Álvaro Domínguez | David de Gea | 31 | 46 | 34
EDGE Álvaro Domínguez | Tomas Ujfalusi | 33 | 46 | 49
EDGE Álvaro Domínguez | Sergio Agüero | 33 | 46 | 45
EDGE Álvaro Domínguez | Juanito | 11 | 46 | 23
EDGE Álvaro Domínguez | Cléber Santana | 6 | 46 | 16
EDGE Álvaro Domínguez | Maxi Rodríguez | 5 | 46 | 14
EDGE Álvaro Domínguez | Tiago Mendes | 19 | 46 | 21
EDGE Álvaro Domínguez | Ibrahima Balde | 5 | 46 | 5
EDGE Álvaro Domínguez | Leandro Cabrera | 3 | 46 | 4
EDGE Álvaro Domínguez | Ignacio Camacho | 8 | 46 | 8
EDGE Álvaro Domínguez | Eduardo Salvio | 4 | 46 | 5
EDGE Álvaro Domínguez | Pablo Ibáñez | 4 | 46 | 11
EDGE Álvaro Domínguez | Florent Sinama-Pongolle | 2 | 46 | 6
EDGE Álvaro Domínguez | Mariano Pernía | 2 | 46 | 2
EDGE Álvaro Domínguez | Joel Robles | 1 | 46 | 1
EDGE Álvaro Domínguez | Koke | 1 | 46 | 1
EDGE Álvaro Domínguez | Cedrick | 1 | 46 | 1
EDGE Luis Amaranto Perea | Antonio López | 34 | 48 | 47
EDGE Luis Amaranto Perea | Juan Valera | 17 | 48 | 25
EDGE Luis Amaranto Perea | Paulo Assunção | 41 | 48 | 52
EDGE Luis Amaranto Perea | Raúl García | 20 | 48 | 26
EDGE Luis Amaranto Perea | José Manuel Jurado | 33 | 48 | 42
EDGE Luis Amaranto Perea | José Antonio Reyes | 31 | 48 | 37
EDGE Luis Amaranto Perea | Simão | 41 | 48 | 52
EDGE Luis Amaranto Perea | Diego Forlán | 38 | 48 | 50
EDGE Luis Amaranto Perea | David de Gea | 26 | 48 | 34
EDGE Luis Amaranto Perea | Tomas Ujfalusi | 35 | 48 | 49
EDGE Luis Amaranto Perea | Sergio Agüero | 35 | 48 | 45
EDGE Luis Amaranto Perea | Roberto | 4 | 48 | 4
EDGE Luis Amaranto Perea | Juanito | 11 | 48 | 23
EDGE Luis Amaranto Perea | Pablo Ibáñez | 8 | 48 | 11
EDGE Luis Amaranto Perea | Cléber Santana | 12 | 48 | 16
EDGE Luis Amaranto Perea | Maxi Rodríguez | 8 | 48 | 14
EDGE Luis Amaranto Perea | Tiago Mendes | 15 | 48 | 21
EDGE Luis Amaranto Perea | Ibrahima Balde | 3 | 48 | 5
EDGE Luis Amaranto Perea | Leandro Cabrera | 1 | 48 | 4
EDGE Luis Amaranto Perea | Ignacio Camacho | 4 | 48 | 8
EDGE Luis Amaranto Perea | Eduardo Salvio | 2 | 48 | 5
EDGE Luis Amaranto Perea | Florent Sinama-Pongolle | 4 | 48 | 6
EDGE Luis Amaranto Perea | Mariano Pernía | 2 | 48 | 2
EDGE Antonio López | Juan Valera | 15 | 47 | 25
EDGE Antonio López | Paulo Assunção | 41 | 47 | 52
EDGE Antonio López | Raúl García | 22 | 47 | 26
EDGE Antonio López | José Manuel Jurado | 28 | 47 | 42
EDGE Antonio López | José Antonio Reyes | 28 | 47 | 37
EDGE Antonio López | Simão | 39 | 47 | 52
EDGE Antonio López | Diego Forlán | 37 | 47 | 50
EDGE Antonio López | David de Gea | 27 | 47 | 34
EDGE Antonio López | Tomas Ujfalusi | 37 | 47 | 49
EDGE Antonio López | Sergio Agüero | 34 | 47 | 45
EDGE Antonio López | Tiago Mendes | 15 | 47 | 21
EDGE Antonio López | Roberto | 3 | 47 | 4
EDGE Antonio López | Pablo Ibáñez | 8 | 47 | 11
EDGE Antonio López | Maxi Rodríguez | 10 | 47 | 14
EDGE Antonio López | Juanito | 13 | 47 | 23
EDGE Antonio López | Cléber Santana | 10 | 47 | 16
EDGE Antonio López | Ibrahima Balde | 4 | 47 | 5
EDGE Antonio López | John Heitinga | 3 | 47 | 3
EDGE Antonio López | Leandro Cabrera | 1 | 47 | 4
EDGE Antonio López | Ignacio Camacho | 4 | 47 | 8
EDGE Antonio López | Eduardo Salvio | 2 | 47 | 5
EDGE Antonio López | Florent Sinama-Pongolle | 5 | 47 | 6
EDGE Juan Valera | Paulo Assunção | 19 | 25 | 52
EDGE Juan Valera | Raúl García | 7 | 25 | 26
EDGE Juan Valera | José Manuel Jurado | 18 | 25 | 42
EDGE Juan Valera | José Antonio Reyes | 18 | 25 | 37
EDGE Juan Valera | Simão | 17 | 25 | 52
EDGE Juan Valera | Diego Forlán | 18 | 25 | 50
EDGE Juan Valera | Juanito | 9 | 25 | 23
EDGE Juan Valera | Cléber Santana | 4 | 25 | 16
EDGE Juan Valera | Maxi Rodríguez | 2 | 25 | 14
EDGE Juan Valera | Sergio Agüero | 16 | 25 | 45
EDGE Juan Valera | David de Gea | 15 | 25 | 34
EDGE Juan Valera | Tomas Ujfalusi | 13 | 25 | 49
EDGE Juan Valera | Tiago Mendes | 11 | 25 | 21
EDGE Juan Valera | Ibrahima Balde | 4 | 25 | 5
EDGE Juan Valera | Leandro Cabrera | 4 | 25 | 4
EDGE Juan Valera | Ignacio Camacho | 5 | 25 | 8
EDGE Juan Valera | Eduardo Salvio | 5 | 25 | 5
EDGE Juan Valera | Mariano Pernía | 1 | 25 | 2
EDGE Juan Valera | Joel Robles | 1 | 25 | 1
EDGE Juan Valera | Koke | 1 | 25 | 1
EDGE Juan Valera | Roberto | 1 | 25 | 4
EDGE Juan Valera | Florent Sinama-Pongolle | 1 | 25 | 6
EDGE Juan Valera | Cedrick | 1 | 25 | 1
EDGE Paulo Assunção | Raúl García | 22 | 52 | 26
EDGE Paulo Assunção | José Manuel Jurado | 31 | 52 | 42
EDGE Paulo Assunção | José Antonio Reyes | 32 | 52 | 37
EDGE Paulo Assunção | Simão | 45 | 52 | 52
EDGE Paulo Assunção | Diego Forlán | 43 | 52 | 50
EDGE Paulo Assunção | David de Gea | 27 | 52 | 34
EDGE Paulo Assunção | Tomas Ujfalusi | 42 | 52 | 49
EDGE Paulo Assunção | Sergio Agüero | 38 | 52 | 45
EDGE Paulo Assunção | Roberto | 4 | 52 | 4
EDGE Paulo Assunção | Juanito | 17 | 52 | 23
EDGE Paulo Assunção | Pablo Ibáñez | 10 | 52 | 11
EDGE Paulo Assunção | Cléber Santana | 12 | 52 | 16
EDGE Paulo Assunção | Maxi Rodríguez | 13 | 52 | 14
EDGE Paulo Assunção | Tiago Mendes | 13 | 52 | 21
EDGE Paulo Assunção | Ibrahima Balde | 2 | 52 | 5
EDGE Paulo Assunção | Leandro Cabrera | 1 | 52 | 4
EDGE Paulo Assunção | Eduardo Salvio | 1 | 52 | 5
EDGE Paulo Assunção | Florent Sinama-Pongolle | 6 | 52 | 6
EDGE Paulo Assunção | John Heitinga | 2 | 52 | 3
EDGE Raúl García | José Manuel Jurado | 13 | 26 | 42
EDGE Raúl García | José Antonio Reyes | 15 | 26 | 37
EDGE Raúl García | Simão | 23 | 26 | 52
EDGE Raúl García | Diego Forlán | 21 | 26 | 50
EDGE Raúl García | Juanito | 5 | 26 | 23
EDGE Raúl García | Pablo Ibáñez | 5 | 26 | 11
EDGE Raúl García | Tomas Ujfalusi | 20 | 26 | 49
EDGE Raúl García | Maxi Rodríguez | 7 | 26 | 14
EDGE Raúl García | Sergio Agüero | 19 | 26 | 45
EDGE Raúl García | David de Gea | 14 | 26 | 34
EDGE Raúl García | Ibrahima Balde | 2 | 26 | 5
EDGE Raúl García | John Heitinga | 3 | 26 | 3
EDGE Raúl García | Cléber Santana | 3 | 26 | 16
EDGE Raúl García | Florent Sinama-Pongolle | 2 | 26 | 6
EDGE Raúl García | Mariano Pernía | 2 | 26 | 2
EDGE Raúl García | Tiago Mendes | 3 | 26 | 21
EDGE José Manuel Jurado | José Antonio Reyes | 22 | 42 | 37
EDGE José Manuel Jurado | Simão | 30 | 42 | 52
