# Graph for Java/GraphStream
# Nodes: 27
# Edges: 284

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE David de Gea | Diego Godín | 29 | 49 | 30
EDGE David de Gea | Luis Amaranto Perea | 37 | 49 | 38
EDGE David de Gea | Filipe Luís | 29 | 49 | 30
EDGE David de Gea | Tomas Ujfalusi | 41 | 49 | 42
EDGE David de Gea | Mario Suárez | 22 | 49 | 22
EDGE David de Gea | Tiago Mendes | 33 | 49 | 34
EDGE David de Gea | Simão | 22 | 49 | 23
EDGE David de Gea | José Antonio Reyes | 41 | 49 | 42
EDGE David de Gea | Diego Forlán | 31 | 49 | 32
EDGE David de Gea | Sergio Agüero | 39 | 49 | 39
EDGE David de Gea | Álvaro Domínguez | 26 | 49 | 26
EDGE David de Gea | Paulo Assunção | 25 | 49 | 26
EDGE David de Gea | Raúl García | 26 | 49 | 27
EDGE David de Gea | Diego Costa | 17 | 49 | 19
EDGE David de Gea | Antonio López | 19 | 49 | 20
EDGE David de Gea | Juan Valera | 14 | 49 | 15
EDGE David de Gea | Fran Mérida | 9 | 49 | 10
EDGE David de Gea | Elias | 11 | 49 | 11
EDGE David de Gea | Koke | 8 | 49 | 9
EDGE David de Gea | Juanfran Torres | 6 | 49 | 6
EDGE David de Gea | Ignacio Camacho | 2 | 49 | 3
EDGE David de Gea | Jorge Pulido | 2 | 49 | 3
EDGE David de Gea | José Manuel Jurado | 1 | 49 | 1
EDGE Diego Godín | Luis Amaranto Perea | 21 | 30 | 38
EDGE Diego Godín | Filipe Luís | 15 | 30 | 30
EDGE Diego Godín | Tomas Ujfalusi | 24 | 30 | 42
EDGE Diego Godín | Mario Suárez | 13 | 30 | 22
EDGE Diego Godín | Tiago Mendes | 20 | 30 | 34
EDGE Diego Godín | Simão | 12 | 30 | 23
EDGE Diego Godín | José Antonio Reyes | 27 | 30 | 42
EDGE Diego Godín | Diego Forlán | 20 | 30 | 32
EDGE Diego Godín | Sergio Agüero | 24 | 30 | 39
EDGE Diego Godín | Álvaro Domínguez | 11 | 30 | 26
EDGE Diego Godín | Antonio López | 14 | 30 | 20
EDGE Diego Godín | Paulo Assunção | 14 | 30 | 26
EDGE Diego Godín | Raúl García | 16 | 30 | 27
EDGE Diego Godín | Diego Costa | 12 | 30 | 19
EDGE Diego Godín | Juan Valera | 6 | 30 | 15
EDGE Diego Godín | Fran Mérida | 6 | 30 | 10
EDGE Diego Godín | Elias | 7 | 30 | 11
EDGE Diego Godín | Koke | 4 | 30 | 9
EDGE Diego Godín | Juanfran Torres | 1 | 30 | 6
EDGE Diego Godín | Ignacio Camacho | 2 | 30 | 3
EDGE Diego Godín | Joel Robles | 1 | 30 | 2
EDGE Diego Godín | José Manuel Jurado | 1 | 30 | 1
EDGE Luis Amaranto Perea | Filipe Luís | 22 | 38 | 30
EDGE Luis Amaranto Perea | Tomas Ujfalusi | 31 | 38 | 42
EDGE Luis Amaranto Perea | Mario Suárez | 14 | 38 | 22
EDGE Luis Amaranto Perea | Tiago Mendes | 22 | 38 | 34
EDGE Luis Amaranto Perea | Simão | 19 | 38 | 23
EDGE Luis Amaranto Perea | José Antonio Reyes | 30 | 38 | 42
EDGE Luis Amaranto Perea | Diego Forlán | 24 | 38 | 32
EDGE Luis Amaranto Perea | Sergio Agüero | 29 | 38 | 39
EDGE Luis Amaranto Perea | Álvaro Domínguez | 17 | 38 | 26
EDGE Luis Amaranto Perea | Paulo Assunção | 22 | 38 | 26
EDGE Luis Amaranto Perea | Raúl García | 24 | 38 | 27
EDGE Luis Amaranto Perea | Diego Costa | 17 | 38 | 19
EDGE Luis Amaranto Perea | Antonio López | 14 | 38 | 20
EDGE Luis Amaranto Perea | Juan Valera | 7 | 38 | 15
EDGE Luis Amaranto Perea | Fran Mérida | 7 | 38 | 10
EDGE Luis Amaranto Perea | Koke | 5 | 38 | 9
EDGE Luis Amaranto Perea | Juanfran Torres | 4 | 38 | 6
EDGE Luis Amaranto Perea | Elias | 7 | 38 | 11
EDGE Luis Amaranto Perea | Ignacio Camacho | 2 | 38 | 3
EDGE Luis Amaranto Perea | Joel Robles | 1 | 38 | 2
