# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Thibaut Courtois | Álvaro Domínguez | 25 | 52 | 31
EDGE Thibaut Courtois | Miranda | 37 | 52 | 40
EDGE Thibaut Courtois | Filipe Luís | 47 | 52 | 52
EDGE Thibaut Courtois | Luis Amaranto Perea | 19 | 52 | 23
EDGE Thibaut Courtois | Mario Suárez | 35 | 52 | 37
EDGE Thibaut Courtois | Gabi | 42 | 52 | 47
EDGE Thibaut Courtois | Arda Turan | 33 | 52 | 34
EDGE Thibaut Courtois | Diego | 36 | 52 | 39
EDGE Thibaut Courtois | Adrián López | 40 | 52 | 46
EDGE Thibaut Courtois | Radamel Falcao | 44 | 52 | 47
EDGE Thibaut Courtois | Diego Godín | 38 | 52 | 40
EDGE Thibaut Courtois | Juanfran Torres | 32 | 52 | 35
EDGE Thibaut Courtois | Koke | 17 | 52 | 21
EDGE Thibaut Courtois | Eduardo Salvio | 21 | 52 | 24
EDGE Thibaut Courtois | Tiago Mendes | 25 | 52 | 27
EDGE Thibaut Courtois | José Antonio Reyes | 8 | 52 | 12
EDGE Thibaut Courtois | Sílvio | 9 | 52 | 12
EDGE Thibaut Courtois | Paulo Assunção | 7 | 52 | 11
EDGE Thibaut Courtois | Antonio López | 4 | 52 | 6
EDGE Thibaut Courtois | Pizzi | 1 | 52 | 2
EDGE Álvaro Domínguez | Miranda | 14 | 31 | 40
EDGE Álvaro Domínguez | Filipe Luís | 26 | 31 | 52
EDGE Álvaro Domínguez | Luis Amaranto Perea | 14 | 31 | 23
EDGE Álvaro Domínguez | Mario Suárez | 17 | 31 | 37
EDGE Álvaro Domínguez | Gabi | 24 | 31 | 47
EDGE Álvaro Domínguez | Arda Turan | 17 | 31 | 34
EDGE Álvaro Domínguez | Diego | 19 | 31 | 39
EDGE Álvaro Domínguez | Adrián López | 23 | 31 | 46
EDGE Álvaro Domínguez | Radamel Falcao | 22 | 31 | 47
