# Graph for Java/GraphStream
# Nodes: 26
# Edges: 290

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Thibaut Courtois | Diego Godín | 49 | 56 | 51
EDGE Thibaut Courtois | Miranda | 49 | 56 | 52
EDGE Thibaut Courtois | Filipe Luís | 48 | 56 | 49
EDGE Thibaut Courtois | Toby Alderweireld | 14 | 56 | 18
EDGE Thibaut Courtois | Tiago Mendes | 28 | 56 | 30
EDGE Thibaut Courtois | Gabi | 51 | 56 | 53
EDGE Thibaut Courtois | Raúl García | 31 | 56 | 35
EDGE Thibaut Courtois | Koke | 50 | 56 | 53
EDGE Thibaut Courtois | David Villa | 39 | 56 | 39
EDGE Thibaut Courtois | Diego Costa | 48 | 56 | 50
EDGE Thibaut Courtois | Juanfran Torres | 53 | 56 | 54
EDGE Thibaut Courtois | José Sosa | 5 | 56 | 6
EDGE Thibaut Courtois | Arda Turan | 32 | 56 | 34
EDGE Thibaut Courtois | Adrián López | 12 | 56 | 15
EDGE Thibaut Courtois | Mario Suárez | 23 | 56 | 24
EDGE Thibaut Courtois | Diego | 5 | 56 | 7
EDGE Thibaut Courtois | Óliver Torres | 2 | 56 | 5
EDGE Thibaut Courtois | Josuha Guilavogui | 3 | 56 | 4
EDGE Thibaut Courtois | Emiliano Insúa | 8 | 56 | 11
EDGE Thibaut Courtois | Cristian Rodríguez | 5 | 56 | 7
EDGE Thibaut Courtois | Javier Manquillo | 2 | 56 | 7
EDGE Thibaut Courtois | Léo Baptistão | 2 | 56 | 3
EDGE Thibaut Courtois | José María Giménez | 1 | 56 | 2
EDGE Diego Godín | Miranda | 43 | 51 | 52
EDGE Diego Godín | Filipe Luís | 44 | 51 | 49
EDGE Diego Godín | Toby Alderweireld | 8 | 51 | 18
EDGE Diego Godín | Tiago Mendes | 26 | 51 | 30
EDGE Diego Godín | Gabi | 45 | 51 | 53
EDGE Diego Godín | Raúl García | 26 | 51 | 35
EDGE Diego Godín | Koke | 44 | 51 | 53
EDGE Diego Godín | David Villa | 35 | 51 | 39
EDGE Diego Godín | Diego Costa | 46 | 51 | 50
EDGE Diego Godín | Juanfran Torres | 47 | 51 | 54
EDGE Diego Godín | José Sosa | 5 | 51 | 6
EDGE Diego Godín | Arda Turan | 31 | 51 | 34
EDGE Diego Godín | Adrián López | 11 | 51 | 15
EDGE Diego Godín | Mario Suárez | 22 | 51 | 24
EDGE Diego Godín | Diego | 5 | 51 | 7
EDGE Diego Godín | Óliver Torres | 3 | 51 | 5
EDGE Diego Godín | Emiliano Insúa | 6 | 51 | 11
EDGE Diego Godín | Cristian Rodríguez | 4 | 51 | 7
EDGE Diego Godín | Javier Manquillo | 4 | 51 | 7
EDGE Diego Godín | Josuha Guilavogui | 1 | 51 | 4
EDGE Diego Godín | Daniel Aranzubia | 2 | 51 | 5
EDGE Diego Godín | Léo Baptistão | 2 | 51 | 3
EDGE Diego Godín | José María Giménez | 1 | 51 | 2
EDGE Miranda | Filipe Luís | 42 | 52 | 49
EDGE Miranda | Toby Alderweireld | 10 | 52 | 18
EDGE Miranda | Tiago Mendes | 27 | 52 | 30
EDGE Miranda | Gabi | 48 | 52 | 53
EDGE Miranda | Raúl García | 29 | 52 | 35
EDGE Miranda | Koke | 47 | 52 | 53
EDGE Miranda | David Villa | 34 | 52 | 39
EDGE Miranda | Diego Costa | 44 | 52 | 50
EDGE Miranda | Juanfran Torres | 47 | 52 | 54
EDGE Miranda | Adrián López | 11 | 52 | 15
EDGE Miranda | Mario Suárez | 20 | 52 | 24
EDGE Miranda | Diego | 5 | 52 | 7
EDGE Miranda | Arda Turan | 31 | 52 | 34
EDGE Miranda | Óliver Torres | 3 | 52 | 5
EDGE Miranda | José Sosa | 5 | 52 | 6
EDGE Miranda | Josuha Guilavogui | 2 | 52 | 4
EDGE Miranda | Emiliano Insúa | 9 | 52 | 11
EDGE Miranda | Cristian Rodríguez | 4 | 52 | 7
EDGE Miranda | Daniel Aranzubia | 3 | 52 | 5
EDGE Miranda | Javier Manquillo | 5 | 52 | 7
EDGE Miranda | Léo Baptistão | 2 | 52 | 3
EDGE Filipe Luís | Toby Alderweireld | 12 | 49 | 18
EDGE Filipe Luís | Tiago Mendes | 26 | 49 | 30
EDGE Filipe Luís | Gabi | 44 | 49 | 53
EDGE Filipe Luís | Raúl García | 27 | 49 | 35
EDGE Filipe Luís | Koke | 44 | 49 | 53
EDGE Filipe Luís | David Villa | 36 | 49 | 39
EDGE Filipe Luís | Diego Costa | 41 | 49 | 50
EDGE Filipe Luís | Juanfran Torres | 45 | 49 | 54
EDGE Filipe Luís | José Sosa | 4 | 49 | 6
EDGE Filipe Luís | Arda Turan | 28 | 49 | 34
EDGE Filipe Luís | Adrián López | 12 | 49 | 15
EDGE Filipe Luís | Mario Suárez | 19 | 49 | 24
EDGE Filipe Luís | Diego | 4 | 49 | 7
EDGE Filipe Luís | Óliver Torres | 3 | 49 | 5
EDGE Filipe Luís | Josuha Guilavogui | 2 | 49 | 4
EDGE Filipe Luís | Cristian Rodríguez | 3 | 49 | 7
EDGE Filipe Luís | Javier Manquillo | 3 | 49 | 7
EDGE Filipe Luís | Daniel Aranzubia | 1 | 49 | 5
EDGE Filipe Luís | Léo Baptistão | 1 | 49 | 3
EDGE Filipe Luís | José María Giménez | 1 | 49 | 2
EDGE Toby Alderweireld | Tiago Mendes | 7 | 18 | 30
EDGE Toby Alderweireld | Gabi | 13 | 18 | 53
EDGE Toby Alderweireld | Raúl García | 15 | 18 | 35
EDGE Toby Alderweireld | Koke | 15 | 18 | 53
EDGE Toby Alderweireld | David Villa | 9 | 18 | 39
EDGE Toby Alderweireld | Diego Costa | 10 | 18 | 50
EDGE Toby Alderweireld | Juanfran Torres | 13 | 18 | 54
EDGE Toby Alderweireld | José Sosa | 2 | 18 | 6
EDGE Toby Alderweireld | Arda Turan | 6 | 18 | 34
EDGE Toby Alderweireld | Mario Suárez | 6 | 18 | 24
EDGE Toby Alderweireld | Diego | 4 | 18 | 7
EDGE Toby Alderweireld | Josuha Guilavogui | 4 | 18 | 4
EDGE Toby Alderweireld | Adrián López | 7 | 18 | 15
EDGE Toby Alderweireld | Daniel Aranzubia | 4 | 18 | 5
EDGE Toby Alderweireld | Emiliano Insúa | 6 | 18 | 11
EDGE Toby Alderweireld | Javier Manquillo | 4 | 18 | 7
EDGE Toby Alderweireld | Cristian Rodríguez | 5 | 18 | 7
EDGE Toby Alderweireld | Óliver Torres | 3 | 18 | 5
