# Graph for Java/GraphStream
# Nodes: 23
# Edges: 201

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jan Oblak | Diego Godín | 5 | 7 | 18
EDGE Jan Oblak | Miranda | 5 | 7 | 14
EDGE Jan Oblak | Guilherme Siqueira | 6 | 7 | 16
EDGE Jan Oblak | Juanfran Torres | 5 | 7 | 19
EDGE Jan Oblak | Mario Suárez | 4 | 7 | 8
EDGE Jan Oblak | Gabi | 7 | 7 | 18
EDGE Jan Oblak | Koke | 6 | 7 | 16
EDGE Jan Oblak | Arda Turan | 4 | 7 | 14
EDGE Jan Oblak | Antoine Griezmann | 5 | 7 | 17
EDGE Jan Oblak | Fernando Torres | 2 | 7 | 4
EDGE Jan Oblak | José María Giménez | 3 | 7 | 9
EDGE Jan Oblak | Lucas Hernández | 1 | 7 | 1
EDGE Jan Oblak | Jesús Gámez | 2 | 7 | 4
EDGE Jan Oblak | Saúl Ñíguez | 2 | 7 | 8
EDGE Jan Oblak | Cristian Rodríguez | 1 | 7 | 1
EDGE Jan Oblak | Alessio Cerci | 1 | 7 | 1
EDGE Jan Oblak | Raúl Jiménez | 1 | 7 | 1
EDGE Jan Oblak | Tiago Mendes | 3 | 7 | 15
EDGE Jan Oblak | Raúl García | 3 | 7 | 9
EDGE Jan Oblak | Mario Mandžukić | 3 | 7 | 14
EDGE Jan Oblak | Cristian Ansaldi | 1 | 7 | 3
EDGE Diego Godín | Miranda | 12 | 18 | 14
EDGE Diego Godín | Guilherme Siqueira | 13 | 18 | 16
EDGE Diego Godín | Juanfran Torres | 17 | 18 | 19
EDGE Diego Godín | Mario Suárez | 6 | 18 | 8
EDGE Diego Godín | Gabi | 15 | 18 | 18
EDGE Diego Godín | Koke | 15 | 18 | 16
EDGE Diego Godín | Arda Turan | 12 | 18 | 14
EDGE Diego Godín | Antoine Griezmann | 15 | 18 | 17
EDGE Diego Godín | Fernando Torres | 4 | 18 | 4
EDGE Diego Godín | Miguel Ángel Moyá | 13 | 18 | 14
EDGE Diego Godín | Tiago Mendes | 13 | 18 | 15
EDGE Diego Godín | Raúl García | 9 | 18 | 9
EDGE Diego Godín | Saúl Ñíguez | 7 | 18 | 8
EDGE Diego Godín | José María Giménez | 6 | 18 | 9
EDGE Diego Godín | Jesús Gámez | 3 | 18 | 4
EDGE Diego Godín | Cristian Ansaldi | 3 | 18 | 3
EDGE Diego Godín | Mario Mandžukić | 12 | 18 | 14
EDGE Miranda | Guilherme Siqueira | 11 | 14 | 16
EDGE Miranda | Juanfran Torres | 14 | 14 | 19
EDGE Miranda | Mario Suárez | 7 | 14 | 8
EDGE Miranda | Gabi | 12 | 14 | 18
EDGE Miranda | Koke | 11 | 14 | 16
EDGE Miranda | Arda Turan | 9 | 14 | 14
EDGE Miranda | Antoine Griezmann | 12 | 14 | 17
EDGE Miranda | Fernando Torres | 3 | 14 | 4
EDGE Miranda | Miguel Ángel Moyá | 9 | 14 | 14
EDGE Miranda | Tiago Mendes | 9 | 14 | 15
EDGE Miranda | Raúl García | 6 | 14 | 9
EDGE Miranda | Saúl Ñíguez | 5 | 14 | 8
EDGE Miranda | José María Giménez | 2 | 14 | 9
EDGE Miranda | Mario Mandžukić | 10 | 14 | 14
EDGE Miranda | Cristian Ansaldi | 2 | 14 | 3
EDGE Miranda | Jesús Gámez | 1 | 14 | 4
EDGE Guilherme Siqueira | Juanfran Torres | 14 | 16 | 19
EDGE Guilherme Siqueira | Mario Suárez | 7 | 16 | 8
EDGE Guilherme Siqueira | Gabi | 14 | 16 | 18
EDGE Guilherme Siqueira | Koke | 11 | 16 | 16
EDGE Guilherme Siqueira | Arda Turan | 10 | 16 | 14
EDGE Guilherme Siqueira | Antoine Griezmann | 14 | 16 | 17
EDGE Guilherme Siqueira | Fernando Torres | 3 | 16 | 4
EDGE Guilherme Siqueira | Miguel Ángel Moyá | 10 | 16 | 14
EDGE Guilherme Siqueira | Tiago Mendes | 11 | 16 | 15
EDGE Guilherme Siqueira | Raúl García | 7 | 16 | 9
EDGE Guilherme Siqueira | José María Giménez | 7 | 16 | 9
EDGE Guilherme Siqueira | Lucas Hernández | 1 | 16 | 1
EDGE Guilherme Siqueira | Jesús Gámez | 2 | 16 | 4
EDGE Guilherme Siqueira | Saúl Ñíguez | 6 | 16 | 8
EDGE Guilherme Siqueira | Cristian Rodríguez | 1 | 16 | 1
EDGE Guilherme Siqueira | Alessio Cerci | 1 | 16 | 1
EDGE Guilherme Siqueira | Raúl Jiménez | 1 | 16 | 1
EDGE Guilherme Siqueira | Mario Mandžukić | 10 | 16 | 14
EDGE Juanfran Torres | Mario Suárez | 7 | 19 | 8
EDGE Juanfran Torres | Gabi | 16 | 19 | 18
EDGE Juanfran Torres | Koke | 15 | 19 | 16
EDGE Juanfran Torres | Arda Turan | 14 | 19 | 14
EDGE Juanfran Torres | Antoine Griezmann | 16 | 19 | 17
EDGE Juanfran Torres | Fernando Torres | 3 | 19 | 4
EDGE Juanfran Torres | Miguel Ángel Moyá | 14 | 19 | 14
EDGE Juanfran Torres | Tiago Mendes | 14 | 19 | 15
