# Graph for Java/GraphStream
# Nodes: 25
# Edges: 276

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Miguel Ángel Moyá | Stefan Savic | 5 | 6 | 20
EDGE Miguel Ángel Moyá | José María Giménez | 2 | 6 | 36
EDGE Miguel Ángel Moyá | Guilherme Siqueira | 3 | 6 | 7
EDGE Miguel Ángel Moyá | Jesús Gámez | 5 | 6 | 13
EDGE Miguel Ángel Moyá | Matías Kranevitter | 2 | 6 | 5
EDGE Miguel Ángel Moyá | Thomas Partey | 4 | 6 | 7
EDGE Miguel Ángel Moyá | Augusto Fernández | 2 | 6 | 18
EDGE Miguel Ángel Moyá | Óliver Torres | 3 | 6 | 14
EDGE Miguel Ángel Moyá | Yannick Carrasco | 4 | 6 | 26
EDGE Miguel Ángel Moyá | Fernando Torres | 2 | 6 | 25
EDGE Miguel Ángel Moyá | Diego Godín | 3 | 6 | 46
EDGE Miguel Ángel Moyá | Filipe Luís | 3 | 6 | 45
EDGE Miguel Ángel Moyá | Gabi | 2 | 6 | 48
EDGE Miguel Ángel Moyá | Koke | 5 | 6 | 50
EDGE Miguel Ángel Moyá | Antoine Griezmann | 2 | 6 | 51
EDGE Miguel Ángel Moyá | Jackson Martínez | 2 | 6 | 13
EDGE Miguel Ángel Moyá | Lucas Hernández | 2 | 6 | 12
EDGE Miguel Ángel Moyá | Saúl Ñíguez | 3 | 6 | 40
EDGE Miguel Ángel Moyá | Ángel Correa | 3 | 6 | 12
EDGE Miguel Ángel Moyá | Luciano Vietto | 2 | 6 | 17
EDGE Miguel Ángel Moyá | Juanfran Torres | 1 | 6 | 47
EDGE Stefan Savic | José María Giménez | 3 | 20 | 36
EDGE Stefan Savic | Guilherme Siqueira | 5 | 20 | 7
EDGE Stefan Savic | Jesús Gámez | 6 | 20 | 13
EDGE Stefan Savic | Matías Kranevitter | 2 | 20 | 5
EDGE Stefan Savic | Thomas Partey | 5 | 20 | 7
EDGE Stefan Savic | Augusto Fernández | 8 | 20 | 18
EDGE Stefan Savic | Óliver Torres | 5 | 20 | 14
EDGE Stefan Savic | Yannick Carrasco | 9 | 20 | 26
EDGE Stefan Savic | Fernando Torres | 11 | 20 | 25
EDGE Stefan Savic | Jan Oblak | 15 | 20 | 51
EDGE Stefan Savic | Filipe Luís | 14 | 20 | 45
EDGE Stefan Savic | Juanfran Torres | 14 | 20 | 47
EDGE Stefan Savic | Gabi | 15 | 20 | 48
EDGE Stefan Savic | Saúl Ñíguez | 15 | 20 | 40
EDGE Stefan Savic | Koke | 17 | 20 | 50
EDGE Stefan Savic | Ángel Correa | 6 | 20 | 12
EDGE Stefan Savic | Diego Godín | 15 | 20 | 46
EDGE Stefan Savic | Antoine Griezmann | 15 | 20 | 51
EDGE Stefan Savic | Luciano Vietto | 4 | 20 | 17
EDGE Stefan Savic | Jackson Martínez | 5 | 20 | 13
EDGE Stefan Savic | Lucas Hernández | 3 | 20 | 12
EDGE Stefan Savic | Tiago Mendes | 3 | 20 | 17
EDGE José María Giménez | Guilherme Siqueira | 3 | 36 | 7
EDGE José María Giménez | Jesús Gámez | 8 | 36 | 13
EDGE José María Giménez | Matías Kranevitter | 4 | 36 | 5
EDGE José María Giménez | Thomas Partey | 3 | 36 | 7
EDGE José María Giménez | Augusto Fernández | 10 | 36 | 18
EDGE José María Giménez | Óliver Torres | 10 | 36 | 14
EDGE José María Giménez | Yannick Carrasco | 15 | 36 | 26
EDGE José María Giménez | Fernando Torres | 14 | 36 | 25
EDGE José María Giménez | Jan Oblak | 34 | 36 | 51
EDGE José María Giménez | Diego Godín | 28 | 36 | 46
EDGE José María Giménez | Filipe Luís | 29 | 36 | 45
EDGE José María Giménez | Juanfran Torres | 31 | 36 | 47
EDGE José María Giménez | Tiago Mendes | 14 | 36 | 17
EDGE José María Giménez | Gabi | 31 | 36 | 48
EDGE José María Giménez | Koke | 31 | 36 | 50
EDGE José María Giménez | Antoine Griezmann | 33 | 36 | 51
EDGE José María Giménez | Jackson Martínez | 8 | 36 | 13
EDGE José María Giménez | Luciano Vietto | 13 | 36 | 17
EDGE José María Giménez | Saúl Ñíguez | 24 | 36 | 40
EDGE José María Giménez | Lucas Hernández | 5 | 36 | 12
EDGE José María Giménez | Ángel Correa | 7 | 36 | 12
EDGE Guilherme Siqueira | Jesús Gámez | 3 | 7 | 13
EDGE Guilherme Siqueira | Matías Kranevitter | 1 | 7 | 5
EDGE Guilherme Siqueira | Thomas Partey | 3 | 7 | 7
EDGE Guilherme Siqueira | Augusto Fernández | 1 | 7 | 18
EDGE Guilherme Siqueira | Óliver Torres | 4 | 7 | 14
EDGE Guilherme Siqueira | Yannick Carrasco | 3 | 7 | 26
EDGE Guilherme Siqueira | Fernando Torres | 4 | 7 | 25
EDGE Guilherme Siqueira | Jan Oblak | 4 | 7 | 51
EDGE Guilherme Siqueira | Diego Godín | 4 | 7 | 46
EDGE Guilherme Siqueira | Juanfran Torres | 4 | 7 | 47
EDGE Guilherme Siqueira | Saúl Ñíguez | 6 | 7 | 40
EDGE Guilherme Siqueira | Tiago Mendes | 3 | 7 | 17
