# Graph for Java/GraphStream
# Nodes: 22
# Edges: 211

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Miguel Ángel Moyá | Diego Godín | 10 | 17 | 45
EDGE Miguel Ángel Moyá | Stefan Savic | 14 | 17 | 46
EDGE Miguel Ángel Moyá | Filipe Luís | 12 | 17 | 48
EDGE Miguel Ángel Moyá | Sime Vrsaljko | 12 | 17 | 21
EDGE Miguel Ángel Moyá | Saúl Ñíguez | 16 | 17 | 47
EDGE Miguel Ángel Moyá | Gabi | 11 | 17 | 47
EDGE Miguel Ángel Moyá | Juanfran Torres | 9 | 17 | 33
EDGE Miguel Ángel Moyá | Koke | 14 | 17 | 53
EDGE Miguel Ángel Moyá | Yannick Carrasco | 10 | 17 | 42
EDGE Miguel Ángel Moyá | Antoine Griezmann | 14 | 17 | 53
EDGE Miguel Ángel Moyá | José María Giménez | 9 | 17 | 23
EDGE Miguel Ángel Moyá | Kévin Gameiro | 6 | 17 | 27
EDGE Miguel Ángel Moyá | Nico Gaitán | 9 | 17 | 19
EDGE Miguel Ángel Moyá | Fernando Torres | 8 | 17 | 21
EDGE Miguel Ángel Moyá | Lucas Hernández | 7 | 17 | 20
EDGE Miguel Ángel Moyá | Ángel Correa | 6 | 17 | 17
EDGE Miguel Ángel Moyá | Thomas Partey | 2 | 17 | 9
EDGE Miguel Ángel Moyá | Caio Henrique | 1 | 17 | 1
EDGE Diego Godín | Stefan Savic | 33 | 45 | 46
EDGE Diego Godín | Filipe Luís | 39 | 45 | 48
EDGE Diego Godín | Sime Vrsaljko | 16 | 45 | 21
EDGE Diego Godín | Saúl Ñíguez | 35 | 45 | 47
EDGE Diego Godín | Gabi | 37 | 45 | 47
EDGE Diego Godín | Juanfran Torres | 27 | 45 | 33
EDGE Diego Godín | Koke | 43 | 45 | 53
EDGE Diego Godín | Yannick Carrasco | 34 | 45 | 42
EDGE Diego Godín | Antoine Griezmann | 43 | 45 | 53
EDGE Diego Godín | Jan Oblak | 35 | 45 | 41
EDGE Diego Godín | Thomas Partey | 5 | 45 | 9
EDGE Diego Godín | Nico Gaitán | 14 | 45 | 19
EDGE Diego Godín | José María Giménez | 16 | 45 | 23
EDGE Diego Godín | Fernando Torres | 15 | 45 | 21
EDGE Diego Godín | Kévin Gameiro | 21 | 45 | 27
EDGE Diego Godín | Ángel Correa | 11 | 45 | 17
EDGE Diego Godín | Tiago Mendes | 5 | 45 | 6
EDGE Diego Godín | Lucas Hernández | 9 | 45 | 20
EDGE Diego Godín | Augusto Fernández | 2 | 45 | 2
EDGE Stefan Savic | Filipe Luís | 39 | 46 | 48
EDGE Stefan Savic | Sime Vrsaljko | 15 | 46 | 21
EDGE Stefan Savic | Saúl Ñíguez | 41 | 46 | 47
EDGE Stefan Savic | Gabi | 40 | 46 | 47
EDGE Stefan Savic | Juanfran Torres | 27 | 46 | 33
EDGE Stefan Savic | Koke | 42 | 46 | 53
EDGE Stefan Savic | Yannick Carrasco | 34 | 46 | 42
EDGE Stefan Savic | Antoine Griezmann | 42 | 46 | 53
EDGE Stefan Savic | Jan Oblak | 32 | 46 | 41
EDGE Stefan Savic | Thomas Partey | 5 | 46 | 9
EDGE Stefan Savic | Nico Gaitán | 13 | 46 | 19
EDGE Stefan Savic | José María Giménez | 12 | 46 | 23
EDGE Stefan Savic | Fernando Torres | 20 | 46 | 21
EDGE Stefan Savic | Kévin Gameiro | 20 | 46 | 27
EDGE Stefan Savic | Lucas Hernández | 15 | 46 | 20
EDGE Stefan Savic | Tiago Mendes | 3 | 46 | 6
EDGE Stefan Savic | Ángel Correa | 11 | 46 | 17
EDGE Stefan Savic | Augusto Fernández | 1 | 46 | 2
EDGE Stefan Savic | Caio Henrique | 1 | 46 | 1
EDGE Filipe Luís | Sime Vrsaljko | 15 | 48 | 21
EDGE Filipe Luís | Saúl Ñíguez | 39 | 48 | 47
EDGE Filipe Luís | Gabi | 41 | 48 | 47
EDGE Filipe Luís | Juanfran Torres | 28 | 48 | 33
EDGE Filipe Luís | Koke | 46 | 48 | 53
EDGE Filipe Luís | Yannick Carrasco | 37 | 48 | 42
EDGE Filipe Luís | Antoine Griezmann | 46 | 48 | 53
EDGE Filipe Luís | Jan Oblak | 36 | 48 | 41
EDGE Filipe Luís | Thomas Partey | 5 | 48 | 9
EDGE Filipe Luís | Nico Gaitán | 14 | 48 | 19
EDGE Filipe Luís | José María Giménez | 17 | 48 | 23
EDGE Filipe Luís | Fernando Torres | 18 | 48 | 21
EDGE Filipe Luís | Kévin Gameiro | 23 | 48 | 27
EDGE Filipe Luís | Ángel Correa | 10 | 48 | 17
EDGE Filipe Luís | Lucas Hernández | 10 | 48 | 20
EDGE Filipe Luís | Tiago Mendes | 3 | 48 | 6
EDGE Filipe Luís | Augusto Fernández | 2 | 48 | 2
EDGE Sime Vrsaljko | Saúl Ñíguez | 18 | 21 | 47
EDGE Sime Vrsaljko | Gabi | 15 | 21 | 47
EDGE Sime Vrsaljko | Juanfran Torres | 4 | 21 | 33
EDGE Sime Vrsaljko | Koke | 19 | 21 | 53
EDGE Sime Vrsaljko | Yannick Carrasco | 15 | 21 | 42
EDGE Sime Vrsaljko | Antoine Griezmann | 19 | 21 | 53
EDGE Sime Vrsaljko | José María Giménez | 10 | 21 | 23
EDGE Sime Vrsaljko | Kévin Gameiro | 11 | 21 | 27
EDGE Sime Vrsaljko | Nico Gaitán | 7 | 21 | 19
EDGE Sime Vrsaljko | Fernando Torres | 5 | 21 | 21
EDGE Sime Vrsaljko | Lucas Hernández | 8 | 21 | 20
EDGE Sime Vrsaljko | Ángel Correa | 6 | 21 | 17
EDGE Sime Vrsaljko | Thomas Partey | 4 | 21 | 9
EDGE Sime Vrsaljko | Jan Oblak | 9 | 21 | 41
EDGE Sime Vrsaljko | Tiago Mendes | 1 | 21 | 6
EDGE Sime Vrsaljko | Caio Henrique | 1 | 21 | 1
EDGE Saúl Ñíguez | Gabi | 38 | 47 | 47
EDGE Saúl Ñíguez | Juanfran Torres | 25 | 47 | 33
EDGE Saúl Ñíguez | Koke | 43 | 47 | 53
EDGE Saúl Ñíguez | Yannick Carrasco | 34 | 47 | 42
EDGE Saúl Ñíguez | Antoine Griezmann | 43 | 47 | 53
EDGE Saúl Ñíguez | Jan Oblak | 31 | 47 | 41
EDGE Saúl Ñíguez | Thomas Partey | 7 | 47 | 9
EDGE Saúl Ñíguez | Nico Gaitán | 17 | 47 | 19
EDGE Saúl Ñíguez | José María Giménez | 17 | 47 | 23
EDGE Saúl Ñíguez | Fernando Torres | 18 | 47 | 21
EDGE Saúl Ñíguez | Kévin Gameiro | 20 | 47 | 27
EDGE Saúl Ñíguez | Lucas Hernández | 16 | 47 | 20
EDGE Saúl Ñíguez | Tiago Mendes | 2 | 47 | 6
EDGE Saúl Ñíguez | Ángel Correa | 8 | 47 | 17
EDGE Saúl Ñíguez | Augusto Fernández | 1 | 47 | 2
