# Graph for Java/GraphStream
# Nodes: 24
# Edges: 243

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jan Oblak | José María Giménez | 25 | 38 | 33
EDGE Jan Oblak | Stefan Savic | 27 | 38 | 29
EDGE Jan Oblak | Reinildo Mandava | 28 | 38 | 31
EDGE Jan Oblak | Yannick Carrasco | 23 | 38 | 31
EDGE Jan Oblak | Nahuel Molina | 32 | 38 | 43
EDGE Jan Oblak | Axel Witsel | 22 | 38 | 33
EDGE Jan Oblak | Koke | 29 | 38 | 38
EDGE Jan Oblak | Antoine Griezmann | 30 | 38 | 39
EDGE Jan Oblak | Ángel Correa | 15 | 38 | 18
EDGE Jan Oblak | Matheus Cunha | 2 | 38 | 2
EDGE Jan Oblak | Mario Hermoso | 21 | 38 | 31
EDGE Jan Oblak | Marcos Llorente | 27 | 38 | 28
EDGE Jan Oblak | Thomas Lemar | 15 | 38 | 21
EDGE Jan Oblak | Álvaro Morata | 23 | 38 | 31
EDGE Jan Oblak | Pablo Barrios | 7 | 38 | 8
EDGE Jan Oblak | Felipe | 2 | 38 | 3
EDGE Jan Oblak | Rodrigo De Paul | 18 | 38 | 27
EDGE Jan Oblak | Saúl Ñíguez | 10 | 38 | 15
EDGE Jan Oblak | João Félix | 10 | 38 | 11
EDGE Jan Oblak | Geoffrey Kondogbia | 11 | 38 | 13
EDGE Jan Oblak | Memphis Depay | 3 | 38 | 3
EDGE José María Giménez | Stefan Savic | 18 | 33 | 29
EDGE José María Giménez | Reinildo Mandava | 16 | 33 | 31
EDGE José María Giménez | Yannick Carrasco | 25 | 33 | 31
EDGE José María Giménez | Nahuel Molina | 28 | 33 | 43
EDGE José María Giménez | Axel Witsel | 22 | 33 | 33
EDGE José María Giménez | Koke | 26 | 33 | 38
EDGE José María Giménez | Antoine Griezmann | 28 | 33 | 39
EDGE José María Giménez | Ángel Correa | 10 | 33 | 18
EDGE José María Giménez | Matheus Cunha | 2 | 33 | 2
EDGE José María Giménez | Mario Hermoso | 20 | 33 | 31
EDGE José María Giménez | Pablo Barrios | 4 | 33 | 8
EDGE José María Giménez | Marcos Llorente | 17 | 33 | 28
EDGE José María Giménez | Thomas Lemar | 14 | 33 | 21
EDGE José María Giménez | Álvaro Morata | 20 | 33 | 31
EDGE José María Giménez | Ivo Grbic | 8 | 33 | 11
EDGE José María Giménez | Rodrigo De Paul | 19 | 33 | 27
EDGE José María Giménez | Saúl Ñíguez | 10 | 33 | 15
EDGE José María Giménez | João Félix | 6 | 33 | 11
EDGE José María Giménez | Geoffrey Kondogbia | 8 | 33 | 13
EDGE José María Giménez | Memphis Depay | 3 | 33 | 3
EDGE José María Giménez | Sergio Reguilón | 1 | 33 | 2
EDGE Stefan Savic | Reinildo Mandava | 20 | 29 | 31
EDGE Stefan Savic | Yannick Carrasco | 16 | 29 | 31
EDGE Stefan Savic | Nahuel Molina | 26 | 29 | 43
EDGE Stefan Savic | Axel Witsel | 15 | 29 | 33
EDGE Stefan Savic | Koke | 20 | 29 | 38
EDGE Stefan Savic | Antoine Griezmann | 24 | 29 | 39
EDGE Stefan Savic | Ángel Correa | 10 | 29 | 18
EDGE Stefan Savic | Matheus Cunha | 2 | 29 | 2
EDGE Stefan Savic | Mario Hermoso | 15 | 29 | 31
EDGE Stefan Savic | Pablo Barrios | 7 | 29 | 8
EDGE Stefan Savic | Marcos Llorente | 18 | 29 | 28
EDGE Stefan Savic | Thomas Lemar | 12 | 29 | 21
