# Graph for Java/GraphStream
# Nodes: 25
# Edges: 262

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jan Oblak | Mario Hermoso | 42 | 54 | 42
EDGE Jan Oblak | José María Giménez | 24 | 54 | 24
EDGE Jan Oblak | Axel Witsel | 45 | 54 | 45
EDGE Jan Oblak | Marcos Llorente | 38 | 54 | 38
EDGE Jan Oblak | Saúl Ñíguez | 23 | 54 | 23
EDGE Jan Oblak | Koke | 45 | 54 | 45
EDGE Jan Oblak | Nahuel Molina | 33 | 54 | 33
EDGE Jan Oblak | Samuel Lino | 36 | 54 | 36
EDGE Jan Oblak | Antoine Griezmann | 45 | 54 | 45
EDGE Jan Oblak | Álvaro Morata | 33 | 54 | 33
EDGE Jan Oblak | César Azpilicueta | 18 | 54 | 18
EDGE Jan Oblak | Stefan Savic | 26 | 54 | 26
EDGE Jan Oblak | Rodrigo De Paul | 38 | 54 | 38
EDGE Jan Oblak | Ángel Correa | 18 | 54 | 18
EDGE Jan Oblak | Reinildo Mandava | 8 | 54 | 8
EDGE Jan Oblak | Pablo Barrios | 20 | 54 | 20
EDGE Jan Oblak | Rodrigo Riquelme | 20 | 54 | 20
EDGE Jan Oblak | Gabriel Paulista | 5 | 54 | 5
EDGE Jan Oblak | Memphis Depay | 11 | 54 | 11
EDGE Jan Oblak | Arthur Vermeeren | 2 | 54 | 2
EDGE Jan Oblak | Thomas Lemar | 3 | 54 | 3
EDGE Jan Oblak | Yannick Carrasco | 3 | 54 | 3
EDGE Jan Oblak | Çağlar Söyüncü | 2 | 54 | 2
EDGE Jan Oblak | Javi Galán | 2 | 54 | 2
EDGE Mario Hermoso | José María Giménez | 16 | 42 | 24
EDGE Mario Hermoso | Axel Witsel | 37 | 42 | 45
EDGE Mario Hermoso | Marcos Llorente | 32 | 42 | 38
EDGE Mario Hermoso | Saúl Ñíguez | 21 | 42 | 23
EDGE Mario Hermoso | Koke | 35 | 42 | 45
EDGE Mario Hermoso | Nahuel Molina | 24 | 42 | 33
EDGE Mario Hermoso | Samuel Lino | 25 | 42 | 36
EDGE Mario Hermoso | Antoine Griezmann | 37 | 42 | 45
EDGE Mario Hermoso | Álvaro Morata | 29 | 42 | 33
EDGE Mario Hermoso | Stefan Savic | 19 | 42 | 26
EDGE Mario Hermoso | Pablo Barrios | 13 | 42 | 20
EDGE Mario Hermoso | Rodrigo De Paul | 29 | 42 | 38
EDGE Mario Hermoso | Ángel Correa | 12 | 42 | 18
EDGE Mario Hermoso | Reinildo Mandava | 2 | 42 | 8
EDGE Mario Hermoso | Rodrigo Riquelme | 16 | 42 | 20
EDGE Mario Hermoso | Gabriel Paulista | 4 | 42 | 5
EDGE Mario Hermoso | César Azpilicueta | 12 | 42 | 18
EDGE Mario Hermoso | Memphis Depay | 6 | 42 | 11
EDGE Mario Hermoso | Arthur Vermeeren | 1 | 42 | 2
EDGE Mario Hermoso | Thomas Lemar | 3 | 42 | 3
EDGE Mario Hermoso | Yannick Carrasco | 3 | 42 | 3
EDGE Mario Hermoso | Javi Galán | 1 | 42 | 2
EDGE Mario Hermoso | Çağlar Söyüncü | 1 | 42 | 2
EDGE José María Giménez | Axel Witsel | 19 | 24 | 45
EDGE José María Giménez | Marcos Llorente | 16 | 24 | 38
EDGE José María Giménez | Saúl Ñíguez | 10 | 24 | 23
EDGE José María Giménez | Koke | 22 | 24 | 45
EDGE José María Giménez | Nahuel Molina | 17 | 24 | 33
EDGE José María Giménez | Samuel Lino | 18 | 24 | 36
EDGE José María Giménez | Antoine Griezmann | 21 | 24 | 45
EDGE José María Giménez | Álvaro Morata | 13 | 24 | 33
EDGE José María Giménez | Stefan Savic | 6 | 24 | 26
EDGE José María Giménez | Reinildo Mandava | 3 | 24 | 8
EDGE José María Giménez | Pablo Barrios | 7 | 24 | 20
EDGE José María Giménez | Ángel Correa | 9 | 24 | 18
EDGE José María Giménez | César Azpilicueta | 7 | 24 | 18
