# Graph for Java/GraphStream
# Nodes: 24
# Edges: 248

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jan Oblak | Clément Lenglet | 31 | 49 | 34
EDGE Jan Oblak | José María Giménez | 28 | 49 | 32
EDGE Jan Oblak | Javi Galán | 30 | 49 | 34
EDGE Jan Oblak | Nahuel Molina | 19 | 49 | 23
EDGE Jan Oblak | Koke | 23 | 49 | 28
EDGE Jan Oblak | Pablo Barrios | 36 | 49 | 40
EDGE Jan Oblak | Samuel Lino | 24 | 49 | 29
EDGE Jan Oblak | Giuliano Simeone | 36 | 49 | 41
EDGE Jan Oblak | Antoine Griezmann | 37 | 49 | 43
EDGE Jan Oblak | Julián Alvarez | 41 | 49 | 47
EDGE Jan Oblak | César Azpilicueta | 10 | 49 | 14
EDGE Jan Oblak | Robin Le Normand | 28 | 49 | 34
EDGE Jan Oblak | Conor Gallagher | 23 | 49 | 28
EDGE Jan Oblak | Rodrigo De Paul | 35 | 49 | 41
EDGE Jan Oblak | Marcos Llorente | 37 | 49 | 42
EDGE Jan Oblak | Alexander Sørloth | 19 | 49 | 22
EDGE Jan Oblak | Axel Witsel | 11 | 49 | 15
EDGE Jan Oblak | Rodrigo Riquelme | 5 | 49 | 8
EDGE Jan Oblak | Ángel Correa | 5 | 49 | 8
EDGE Jan Oblak | Reinildo Mandava | 12 | 49 | 15
EDGE Clément Lenglet | José María Giménez | 15 | 34 | 32
EDGE Clément Lenglet | Javi Galán | 25 | 34 | 34
EDGE Clément Lenglet | Nahuel Molina | 13 | 34 | 23
EDGE Clément Lenglet | Koke | 10 | 34 | 28
EDGE Clément Lenglet | Pablo Barrios | 30 | 34 | 40
EDGE Clément Lenglet | Samuel Lino | 15 | 34 | 29
EDGE Clément Lenglet | Giuliano Simeone | 30 | 34 | 41
EDGE Clément Lenglet | Antoine Griezmann | 29 | 34 | 43
EDGE Clément Lenglet | Julián Alvarez | 30 | 34 | 47
EDGE Clément Lenglet | Marcos Llorente | 25 | 34 | 42
EDGE Clément Lenglet | Rodrigo De Paul | 25 | 34 | 41
EDGE Clément Lenglet | Conor Gallagher | 17 | 34 | 28
EDGE Clément Lenglet | Axel Witsel | 5 | 34 | 15
EDGE Clément Lenglet | Rodrigo Riquelme | 2 | 34 | 8
EDGE Clément Lenglet | Ángel Correa | 2 | 34 | 8
EDGE Clément Lenglet | Alexander Sørloth | 8 | 34 | 22
EDGE Clément Lenglet | Robin Le Normand | 15 | 34 | 34
EDGE Clément Lenglet | César Azpilicueta | 6 | 34 | 14
EDGE Clément Lenglet | Reinildo Mandava | 4 | 34 | 15
EDGE Clément Lenglet | Juan Musso | 3 | 34 | 9
EDGE José María Giménez | Javi Galán | 21 | 32 | 34
EDGE José María Giménez | Nahuel Molina | 10 | 32 | 23
EDGE José María Giménez | Koke | 16 | 32 | 28
EDGE José María Giménez | Pablo Barrios | 23 | 32 | 40
EDGE José María Giménez | Samuel Lino | 14 | 32 | 29
EDGE José María Giménez | Giuliano Simeone | 23 | 32 | 41
EDGE José María Giménez | Antoine Griezmann | 27 | 32 | 43
EDGE José María Giménez | Julián Alvarez | 29 | 32 | 47
EDGE José María Giménez | César Azpilicueta | 3 | 32 | 14
EDGE José María Giménez | Robin Le Normand | 14 | 32 | 34
EDGE José María Giménez | Conor Gallagher | 15 | 32 | 28
EDGE José María Giménez | Rodrigo De Paul | 25 | 32 | 41
EDGE José María Giménez | Marcos Llorente | 26 | 32 | 42
EDGE José María Giménez | Alexander Sørloth | 9 | 32 | 22
EDGE José María Giménez | Juan Musso | 4 | 32 | 9
EDGE José María Giménez | Reinildo Mandava | 9 | 32 | 15
EDGE José María Giménez | Axel Witsel | 4 | 32 | 15
EDGE José María Giménez | Rodrigo Riquelme | 3 | 32 | 8
EDGE José María Giménez | Ángel Correa | 2 | 32 | 8
EDGE Javi Galán | Nahuel Molina | 12 | 34 | 23
EDGE Javi Galán | Koke | 13 | 34 | 28
EDGE Javi Galán | Pablo Barrios | 29 | 34 | 40
EDGE Javi Galán | Samuel Lino | 14 | 34 | 29
EDGE Javi Galán | Giuliano Simeone | 29 | 34 | 41
EDGE Javi Galán | Antoine Griezmann | 25 | 34 | 43
EDGE Javi Galán | Julián Alvarez | 29 | 34 | 47
EDGE Javi Galán | Robin Le Normand | 17 | 34 | 34
EDGE Javi Galán | Marcos Llorente | 23 | 34 | 42
EDGE Javi Galán | Conor Gallagher | 16 | 34 | 28
EDGE Javi Galán | Alexander Sørloth | 12 | 34 | 22
