# Graph for Java/GraphStream
# Nodes: 22
# Edges: 226

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Víctor Valdés | Carles Puyol | 47 | 50 | 55
EDGE Víctor Valdés | Lilian Thuram | 26 | 50 | 28
EDGE Víctor Valdés | Giovanni van Bronckhorst | 26 | 50 | 31
EDGE Víctor Valdés | Gianluca Zambrotta | 32 | 50 | 36
EDGE Víctor Valdés | Xavi | 37 | 50 | 45
EDGE Víctor Valdés | Andrés Iniesta | 35 | 50 | 41
EDGE Víctor Valdés | Deco | 43 | 50 | 47
EDGE Víctor Valdés | Eidur Gudjohnsen | 20 | 50 | 22
EDGE Víctor Valdés | Lionel Messi | 28 | 50 | 31
EDGE Víctor Valdés | Samuel Eto'o | 22 | 50 | 25
EDGE Víctor Valdés | Oleguer | 14 | 50 | 20
EDGE Víctor Valdés | Juliano Belletti | 12 | 50 | 15
EDGE Víctor Valdés | Thiago Motta | 15 | 50 | 19
EDGE Víctor Valdés | Ronaldinho | 44 | 50 | 49
EDGE Víctor Valdés | Sylvinho | 15 | 50 | 19
EDGE Víctor Valdés | Edmílson | 23 | 50 | 26
EDGE Víctor Valdés | Ludovic Giuly | 22 | 50 | 27
EDGE Víctor Valdés | Rafa Márquez | 30 | 50 | 36
EDGE Víctor Valdés | Javier Saviola | 7 | 50 | 12
EDGE Víctor Valdés | Santiago Ezquerro | 2 | 50 | 6
EDGE Carles Puyol | Lilian Thuram | 24 | 55 | 28
EDGE Carles Puyol | Giovanni van Bronckhorst | 29 | 55 | 31
EDGE Carles Puyol | Gianluca Zambrotta | 34 | 55 | 36
EDGE Carles Puyol | Xavi | 43 | 55 | 45
EDGE Carles Puyol | Andrés Iniesta | 38 | 55 | 41
EDGE Carles Puyol | Deco | 45 | 55 | 47
EDGE Carles Puyol | Eidur Gudjohnsen | 21 | 55 | 22
EDGE Carles Puyol | Lionel Messi | 28 | 55 | 31
EDGE Carles Puyol | Samuel Eto'o | 24 | 55 | 25
EDGE Carles Puyol | Oleguer | 19 | 55 | 20
EDGE Carles Puyol | Juliano Belletti | 13 | 55 | 15
EDGE Carles Puyol | Thiago Motta | 17 | 55 | 19
EDGE Carles Puyol | Ronaldinho | 46 | 55 | 49
EDGE Carles Puyol | Sylvinho | 16 | 55 | 19
EDGE Carles Puyol | Edmílson | 24 | 55 | 26
EDGE Carles Puyol | Ludovic Giuly | 26 | 55 | 27
EDGE Carles Puyol | Rafa Márquez | 33 | 55 | 36
EDGE Carles Puyol | Albert Jorquera | 8 | 55 | 9
EDGE Carles Puyol | Santiago Ezquerro | 5 | 55 | 6
EDGE Carles Puyol | Javier Saviola | 10 | 55 | 12
EDGE Lilian Thuram | Giovanni van Bronckhorst | 14 | 28 | 31
EDGE Lilian Thuram | Gianluca Zambrotta | 15 | 28 | 36
EDGE Lilian Thuram | Xavi | 22 | 28 | 45
EDGE Lilian Thuram | Andrés Iniesta | 23 | 28 | 41
EDGE Lilian Thuram | Deco | 23 | 28 | 47
EDGE Lilian Thuram | Eidur Gudjohnsen | 7 | 28 | 22
EDGE Lilian Thuram | Lionel Messi | 19 | 28 | 31
EDGE Lilian Thuram | Samuel Eto'o | 17 | 28 | 25
EDGE Lilian Thuram | Oleguer | 9 | 28 | 20
EDGE Lilian Thuram | Juliano Belletti | 7 | 28 | 15
EDGE Lilian Thuram | Thiago Motta | 5 | 28 | 19
EDGE Lilian Thuram | Ronaldinho | 24 | 28 | 49
EDGE Lilian Thuram | Sylvinho | 9 | 28 | 19
