# Graph for Java/GraphStream
# Nodes: 26
# Edges: 274

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Víctor Valdés | Gabriel Milito | 40 | 52 | 41
EDGE Víctor Valdés | Carles Puyol | 39 | 52 | 45
EDGE Víctor Valdés | Lilian Thuram | 20 | 52 | 25
EDGE Víctor Valdés | Éric Abidal | 41 | 52 | 43
EDGE Víctor Valdés | Edmílson | 5 | 52 | 7
EDGE Víctor Valdés | Andrés Iniesta | 42 | 52 | 43
EDGE Víctor Valdés | Xavi | 47 | 52 | 50
EDGE Víctor Valdés | Bojan Krkic | 18 | 52 | 20
EDGE Víctor Valdés | Samuel Eto'o | 24 | 52 | 27
EDGE Víctor Valdés | Eidur Gudjohnsen | 14 | 52 | 19
EDGE Víctor Valdés | Rafa Márquez | 22 | 52 | 25
EDGE Víctor Valdés | Gianluca Zambrotta | 35 | 52 | 37
EDGE Víctor Valdés | Yaya Touré | 34 | 52 | 37
EDGE Víctor Valdés | Deco | 22 | 52 | 24
EDGE Víctor Valdés | Lionel Messi | 32 | 52 | 34
EDGE Víctor Valdés | Thierry Henry | 36 | 52 | 40
EDGE Víctor Valdés | Oleguer | 7 | 52 | 9
EDGE Víctor Valdés | Ronaldinho | 19 | 52 | 20
EDGE Víctor Valdés | Sylvinho | 11 | 52 | 15
EDGE Víctor Valdés | Giovani dos Santos | 11 | 52 | 16
EDGE Víctor Valdés | Santiago Ezquerro | 1 | 52 | 2
EDGE Gabriel Milito | Carles Puyol | 31 | 41 | 45
EDGE Gabriel Milito | Lilian Thuram | 11 | 41 | 25
EDGE Gabriel Milito | Éric Abidal | 33 | 41 | 43
EDGE Gabriel Milito | Edmílson | 5 | 41 | 7
EDGE Gabriel Milito | Andrés Iniesta | 35 | 41 | 43
EDGE Gabriel Milito | Xavi | 36 | 41 | 50
EDGE Gabriel Milito | Bojan Krkic | 12 | 41 | 20
EDGE Gabriel Milito | Samuel Eto'o | 18 | 41 | 27
EDGE Gabriel Milito | Eidur Gudjohnsen | 13 | 41 | 19
EDGE Gabriel Milito | Rafa Márquez | 18 | 41 | 25
EDGE Gabriel Milito | Gianluca Zambrotta | 24 | 41 | 37
EDGE Gabriel Milito | Yaya Touré | 26 | 41 | 37
EDGE Gabriel Milito | Deco | 17 | 41 | 24
EDGE Gabriel Milito | Lionel Messi | 24 | 41 | 34
EDGE Gabriel Milito | Thierry Henry | 26 | 41 | 40
EDGE Gabriel Milito | Oleguer | 4 | 41 | 9
EDGE Gabriel Milito | Ronaldinho | 15 | 41 | 20
EDGE Gabriel Milito | Sylvinho | 8 | 41 | 15
EDGE Gabriel Milito | Giovani dos Santos | 12 | 41 | 16
EDGE Gabriel Milito | Santiago Ezquerro | 1 | 41 | 2
EDGE Gabriel Milito | Albert Jorquera | 1 | 41 | 2
EDGE Carles Puyol | Lilian Thuram | 17 | 45 | 25
EDGE Carles Puyol | Éric Abidal | 31 | 45 | 43
EDGE Carles Puyol | Edmílson | 6 | 45 | 7
EDGE Carles Puyol | Andrés Iniesta | 32 | 45 | 43
EDGE Carles Puyol | Xavi | 39 | 45 | 50
EDGE Carles Puyol | Bojan Krkic | 19 | 45 | 20
EDGE Carles Puyol | Samuel Eto'o | 24 | 45 | 27
EDGE Carles Puyol | Eidur Gudjohnsen | 19 | 45 | 19
EDGE Carles Puyol | José Manuel Pinto | 3 | 45 | 3
EDGE Carles Puyol | Oleguer | 4 | 45 | 9
EDGE Carles Puyol | Giovani dos Santos | 13 | 45 | 16
EDGE Carles Puyol | Thierry Henry | 29 | 45 | 40
