# Graph for Java/GraphStream
# Nodes: 24
# Edges: 245

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Víctor Valdés | Gerard Piqué | 44 | 55 | 45
EDGE Víctor Valdés | Carles Puyol | 45 | 55 | 47
EDGE Víctor Valdés | Éric Abidal | 26 | 55 | 27
EDGE Víctor Valdés | Dani Alves | 44 | 55 | 47
EDGE Víctor Valdés | Yaya Touré | 29 | 55 | 30
EDGE Víctor Valdés | Seydou Keita | 36 | 55 | 37
EDGE Víctor Valdés | Xavi | 47 | 55 | 48
EDGE Víctor Valdés | Thierry Henry | 22 | 55 | 23
EDGE Víctor Valdés | Lionel Messi | 44 | 55 | 46
EDGE Víctor Valdés | Zlatan Ibrahimović | 36 | 55 | 37
EDGE Víctor Valdés | Gabriel Milito | 11 | 55 | 12
EDGE Víctor Valdés | Maxwell | 30 | 55 | 33
EDGE Víctor Valdés | Sergio Busquets | 36 | 55 | 39
EDGE Víctor Valdés | Pedro | 31 | 55 | 34
EDGE Víctor Valdés | Andrés Iniesta | 28 | 55 | 31
EDGE Víctor Valdés | Dmytro Chygrynskyi | 10 | 55 | 12
EDGE Víctor Valdés | Jeffrén | 6 | 55 | 8
EDGE Víctor Valdés | Bojan Krkic | 13 | 55 | 16
EDGE Víctor Valdés | Rafa Márquez | 11 | 55 | 14
EDGE Víctor Valdés | Jonathan dos Santos | 1 | 55 | 2
EDGE Gerard Piqué | Carles Puyol | 37 | 45 | 47
EDGE Gerard Piqué | Éric Abidal | 24 | 45 | 27
EDGE Gerard Piqué | Dani Alves | 36 | 45 | 47
EDGE Gerard Piqué | Yaya Touré | 22 | 45 | 30
EDGE Gerard Piqué | Seydou Keita | 30 | 45 | 37
EDGE Gerard Piqué | Xavi | 39 | 45 | 48
EDGE Gerard Piqué | Thierry Henry | 18 | 45 | 23
EDGE Gerard Piqué | Lionel Messi | 38 | 45 | 46
EDGE Gerard Piqué | Zlatan Ibrahimović | 30 | 45 | 37
EDGE Gerard Piqué | Gabriel Milito | 6 | 45 | 12
EDGE Gerard Piqué | Maxwell | 22 | 45 | 33
EDGE Gerard Piqué | Sergio Busquets | 31 | 45 | 39
EDGE Gerard Piqué | Pedro | 24 | 45 | 34
EDGE Gerard Piqué | Andrés Iniesta | 22 | 45 | 31
EDGE Gerard Piqué | Dmytro Chygrynskyi | 7 | 45 | 12
EDGE Gerard Piqué | Jeffrén | 3 | 45 | 8
EDGE Gerard Piqué | Bojan Krkic | 10 | 45 | 16
EDGE Gerard Piqué | Rafa Márquez | 5 | 45 | 14
EDGE Gerard Piqué | José Manuel Pinto | 1 | 45 | 4
EDGE Gerard Piqué | Jonathan dos Santos | 1 | 45 | 2
EDGE Carles Puyol | Éric Abidal | 24 | 47 | 27
EDGE Carles Puyol | Dani Alves | 37 | 47 | 47
EDGE Carles Puyol | Yaya Touré | 23 | 47 | 30
EDGE Carles Puyol | Seydou Keita | 29 | 47 | 37
EDGE Carles Puyol | Xavi | 39 | 47 | 48
EDGE Carles Puyol | Thierry Henry | 21 | 47 | 23
EDGE Carles Puyol | Lionel Messi | 36 | 47 | 46
EDGE Carles Puyol | Zlatan Ibrahimović | 32 | 47 | 37
EDGE Carles Puyol | Maxwell | 24 | 47 | 33
EDGE Carles Puyol | Sergio Busquets | 32 | 47 | 39
EDGE Carles Puyol | Andrés Iniesta | 26 | 47 | 31
