# Graph for Java/GraphStream
# Nodes: 28
# Edges: 307

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE José Manuel Pinto | Gerard Piqué | 8 | 12 | 32
EDGE José Manuel Pinto | Javier Mascherano | 8 | 12 | 49
EDGE José Manuel Pinto | Éric Abidal | 4 | 12 | 35
EDGE José Manuel Pinto | Carles Puyol | 9 | 12 | 40
EDGE José Manuel Pinto | Thiago Alcántara | 8 | 12 | 32
EDGE José Manuel Pinto | Cesc Fàbregas | 7 | 12 | 38
EDGE José Manuel Pinto | Xavi | 6 | 12 | 45
EDGE José Manuel Pinto | Alexis Sánchez | 7 | 12 | 31
EDGE José Manuel Pinto | Isaac Cuenca | 7 | 12 | 20
EDGE José Manuel Pinto | Lionel Messi | 8 | 12 | 57
EDGE José Manuel Pinto | Dani Alves | 4 | 12 | 45
EDGE José Manuel Pinto | Sergio Busquets | 8 | 12 | 46
EDGE José Manuel Pinto | Andrés Iniesta | 6 | 12 | 39
EDGE José Manuel Pinto | Andreu Fontàs | 3 | 12 | 5
EDGE José Manuel Pinto | Adriano | 5 | 12 | 30
EDGE José Manuel Pinto | Martín Montoya | 5 | 12 | 6
EDGE José Manuel Pinto | Sergi Roberto | 2 | 12 | 3
EDGE José Manuel Pinto | Pedro | 8 | 12 | 32
EDGE José Manuel Pinto | Seydou Keita | 3 | 12 | 22
EDGE José Manuel Pinto | Marc Bartra | 1 | 12 | 1
EDGE José Manuel Pinto | Maxwell | 1 | 12 | 6
EDGE José Manuel Pinto | Jonathan dos Santos | 1 | 12 | 3
EDGE José Manuel Pinto | Rafinha | 1 | 12 | 1
EDGE Gerard Piqué | Javier Mascherano | 20 | 32 | 49
EDGE Gerard Piqué | Éric Abidal | 16 | 32 | 35
EDGE Gerard Piqué | Carles Puyol | 20 | 32 | 40
EDGE Gerard Piqué | Thiago Alcántara | 14 | 32 | 32
EDGE Gerard Piqué | Cesc Fàbregas | 20 | 32 | 38
EDGE Gerard Piqué | Xavi | 24 | 32 | 45
EDGE Gerard Piqué | Alexis Sánchez | 19 | 32 | 31
EDGE Gerard Piqué | Isaac Cuenca | 11 | 32 | 20
EDGE Gerard Piqué | Lionel Messi | 28 | 32 | 57
EDGE Gerard Piqué | Dani Alves | 24 | 32 | 45
EDGE Gerard Piqué | Sergio Busquets | 24 | 32 | 46
EDGE Gerard Piqué | Andrés Iniesta | 21 | 32 | 39
EDGE Gerard Piqué | Víctor Valdés | 24 | 32 | 52
EDGE Gerard Piqué | Adriano | 12 | 32 | 30
EDGE Gerard Piqué | Pedro | 13 | 32 | 32
EDGE Gerard Piqué | Andreu Fontàs | 2 | 32 | 5
EDGE Gerard Piqué | Martín Montoya | 3 | 32 | 6
EDGE Gerard Piqué | Sergi Roberto | 2 | 32 | 3
EDGE Gerard Piqué | Seydou Keita | 6 | 32 | 22
EDGE Gerard Piqué | David Villa | 4 | 32 | 17
EDGE Gerard Piqué | Maxwell | 3 | 32 | 6
EDGE Gerard Piqué | Cristian Tello | 1 | 32 | 4
EDGE Gerard Piqué | Ibrahim Afellay | 1 | 32 | 1
EDGE Javier Mascherano | Éric Abidal | 27 | 49 | 35
EDGE Javier Mascherano | Carles Puyol | 28 | 49 | 40
