# Graph for Java/GraphStream
# Nodes: 26
# Edges: 267

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Víctor Valdés | Javier Mascherano | 27 | 44 | 36
EDGE Víctor Valdés | Sergio Busquets | 33 | 44 | 39
EDGE Víctor Valdés | Jordi Alba | 33 | 44 | 41
EDGE Víctor Valdés | Adriano | 20 | 44 | 27
EDGE Víctor Valdés | Xavi | 35 | 44 | 41
EDGE Víctor Valdés | Andrés Iniesta | 30 | 44 | 40
EDGE Víctor Valdés | Cesc Fàbregas | 30 | 44 | 41
EDGE Víctor Valdés | David Villa | 17 | 44 | 26
EDGE Víctor Valdés | Pedro | 34 | 44 | 39
EDGE Víctor Valdés | Lionel Messi | 36 | 44 | 44
EDGE Víctor Valdés | Gerard Piqué | 31 | 44 | 41
EDGE Víctor Valdés | Carles Puyol | 13 | 44 | 20
EDGE Víctor Valdés | Alexis Sánchez | 19 | 44 | 28
EDGE Víctor Valdés | Marc Bartra | 5 | 44 | 8
EDGE Víctor Valdés | Martín Montoya | 8 | 44 | 16
EDGE Víctor Valdés | Dani Alves | 32 | 44 | 43
EDGE Víctor Valdés | Alex Song | 15 | 44 | 25
EDGE Víctor Valdés | Thiago Alcántara | 12 | 44 | 20
EDGE Víctor Valdés | Cristian Tello | 8 | 44 | 16
EDGE Víctor Valdés | Éric Abidal | 2 | 44 | 2
EDGE Javier Mascherano | Sergio Busquets | 26 | 36 | 39
EDGE Javier Mascherano | Jordi Alba | 24 | 36 | 41
EDGE Javier Mascherano | Adriano | 15 | 36 | 27
EDGE Javier Mascherano | Xavi | 24 | 36 | 41
EDGE Javier Mascherano | Andrés Iniesta | 22 | 36 | 40
EDGE Javier Mascherano | Cesc Fàbregas | 23 | 36 | 41
EDGE Javier Mascherano | David Villa | 18 | 36 | 26
EDGE Javier Mascherano | Pedro | 24 | 36 | 39
EDGE Javier Mascherano | Lionel Messi | 29 | 36 | 44
EDGE Javier Mascherano | José Manuel Pinto | 9 | 36 | 16
EDGE Javier Mascherano | Gerard Piqué | 21 | 36 | 41
EDGE Javier Mascherano | Dani Alves | 26 | 36 | 43
EDGE Javier Mascherano | Marc Bartra | 3 | 36 | 8
EDGE Javier Mascherano | Martín Montoya | 8 | 36 | 16
EDGE Javier Mascherano | Sergi Roberto | 3 | 36 | 4
EDGE Javier Mascherano | Alexis Sánchez | 18 | 36 | 28
EDGE Javier Mascherano | Carles Puyol | 7 | 36 | 20
EDGE Javier Mascherano | Alex Song | 13 | 36 | 25
EDGE Javier Mascherano | Thiago Alcántara | 12 | 36 | 20
EDGE Javier Mascherano | Cristian Tello | 7 | 36 | 16
EDGE Javier Mascherano | Jonathan dos Santos | 1 | 36 | 1
EDGE Sergio Busquets | Jordi Alba | 32 | 39 | 41
EDGE Sergio Busquets | Adriano | 15 | 39 | 27
EDGE Sergio Busquets | Xavi | 32 | 39 | 41
EDGE Sergio Busquets | Andrés Iniesta | 28 | 39 | 40
EDGE Sergio Busquets | Cesc Fàbregas | 30 | 39 | 41
EDGE Sergio Busquets | David Villa | 14 | 39 | 26
EDGE Sergio Busquets | Pedro | 32 | 39 | 39
