# Graph for Java/GraphStream
# Nodes: 21
# Edges: 208

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE José Manuel Pinto | Marc Bartra | 13 | 25 | 24
EDGE José Manuel Pinto | Javier Mascherano | 19 | 25 | 43
EDGE José Manuel Pinto | Jordi Alba | 9 | 25 | 24
EDGE José Manuel Pinto | Dani Alves | 15 | 25 | 41
EDGE José Manuel Pinto | Sergio Busquets | 19 | 25 | 46
EDGE José Manuel Pinto | Cesc Fàbregas | 19 | 25 | 44
EDGE José Manuel Pinto | Xavi | 14 | 25 | 41
EDGE José Manuel Pinto | Andrés Iniesta | 18 | 25 | 41
EDGE José Manuel Pinto | Neymar | 12 | 25 | 32
EDGE José Manuel Pinto | Lionel Messi | 15 | 25 | 43
EDGE José Manuel Pinto | Carles Puyol | 7 | 25 | 12
EDGE José Manuel Pinto | Adriano | 16 | 25 | 35
EDGE José Manuel Pinto | Alex Song | 9 | 25 | 18
EDGE José Manuel Pinto | Sergi Roberto | 8 | 25 | 8
EDGE José Manuel Pinto | Cristian Tello | 4 | 25 | 6
EDGE José Manuel Pinto | Pedro | 18 | 25 | 38
EDGE José Manuel Pinto | Alexis Sánchez | 15 | 25 | 38
EDGE José Manuel Pinto | Gerard Piqué | 11 | 25 | 39
EDGE José Manuel Pinto | Martín Montoya | 9 | 25 | 17
EDGE Marc Bartra | Javier Mascherano | 9 | 24 | 43
EDGE Marc Bartra | Jordi Alba | 7 | 24 | 24
EDGE Marc Bartra | Dani Alves | 15 | 24 | 41
EDGE Marc Bartra | Sergio Busquets | 15 | 24 | 46
EDGE Marc Bartra | Cesc Fàbregas | 16 | 24 | 44
EDGE Marc Bartra | Xavi | 14 | 24 | 41
EDGE Marc Bartra | Andrés Iniesta | 18 | 24 | 41
EDGE Marc Bartra | Neymar | 11 | 24 | 32
EDGE Marc Bartra | Lionel Messi | 16 | 24 | 43
EDGE Marc Bartra | Víctor Valdés | 11 | 24 | 34
EDGE Marc Bartra | Adriano | 18 | 24 | 35
EDGE Marc Bartra | Alex Song | 13 | 24 | 18
EDGE Marc Bartra | Alexis Sánchez | 16 | 24 | 38
EDGE Marc Bartra | Carles Puyol | 7 | 24 | 12
EDGE Marc Bartra | Sergi Roberto | 4 | 24 | 8
EDGE Marc Bartra | Cristian Tello | 4 | 24 | 6
EDGE Marc Bartra | Pedro | 17 | 24 | 38
