# Graph for Java/GraphStream
# Nodes: 27
# Edges: 283

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Claudio Bravo | Gerard Piqué | 26 | 37 | 43
EDGE Claudio Bravo | Jérémy Mathieu | 22 | 37 | 29
EDGE Claudio Bravo | Jordi Alba | 27 | 37 | 44
EDGE Claudio Bravo | Dani Alves | 29 | 37 | 45
EDGE Claudio Bravo | Javier Mascherano | 26 | 37 | 45
EDGE Claudio Bravo | Sergio Busquets | 29 | 37 | 42
EDGE Claudio Bravo | Xavi | 18 | 37 | 21
EDGE Claudio Bravo | Neymar | 28 | 37 | 47
EDGE Claudio Bravo | Lionel Messi | 36 | 37 | 56
EDGE Claudio Bravo | Luis Suárez | 25 | 37 | 41
EDGE Claudio Bravo | Andrés Iniesta | 19 | 37 | 36
EDGE Claudio Bravo | Ivan Rakitic | 23 | 37 | 39
EDGE Claudio Bravo | Marc Bartra | 10 | 37 | 20
EDGE Claudio Bravo | Martín Montoya | 6 | 37 | 10
EDGE Claudio Bravo | Rafinha | 12 | 37 | 19
EDGE Claudio Bravo | Pedro | 14 | 37 | 22
EDGE Claudio Bravo | Douglas | 1 | 37 | 2
EDGE Claudio Bravo | Adriano | 9 | 37 | 14
EDGE Claudio Bravo | Munir El Haddadi | 7 | 37 | 11
EDGE Claudio Bravo | Sergi Roberto | 3 | 37 | 8
EDGE Gerard Piqué | Jérémy Mathieu | 17 | 43 | 29
EDGE Gerard Piqué | Jordi Alba | 35 | 43 | 44
EDGE Gerard Piqué | Dani Alves | 36 | 43 | 45
EDGE Gerard Piqué | Javier Mascherano | 32 | 43 | 45
EDGE Gerard Piqué | Sergio Busquets | 31 | 43 | 42
EDGE Gerard Piqué | Xavi | 13 | 43 | 21
EDGE Gerard Piqué | Neymar | 38 | 43 | 47
EDGE Gerard Piqué | Lionel Messi | 43 | 43 | 56
EDGE Gerard Piqué | Luis Suárez | 35 | 43 | 41
EDGE Gerard Piqué | Andrés Iniesta | 29 | 43 | 36
EDGE Gerard Piqué | Ivan Rakitic | 27 | 43 | 39
EDGE Gerard Piqué | Marc-André ter Stegen | 17 | 43 | 21
EDGE Gerard Piqué | Marc Bartra | 10 | 43 | 20
EDGE Gerard Piqué | Pedro | 11 | 43 | 22
EDGE Gerard Piqué | Martín Montoya | 5 | 43 | 10
EDGE Gerard Piqué | Rafinha | 11 | 43 | 19
EDGE Gerard Piqué | Douglas | 1 | 43 | 2
EDGE Gerard Piqué | Adriano | 5 | 43 | 14
EDGE Gerard Piqué | Sergi Roberto | 4 | 43 | 8
EDGE Gerard Piqué | Munir El Haddadi | 3 | 43 | 11
EDGE Gerard Piqué | Sergi Samper | 1 | 43 | 3
EDGE Jérémy Mathieu | Jordi Alba | 19 | 29 | 44
EDGE Jérémy Mathieu | Dani Alves | 23 | 29 | 45
EDGE Jérémy Mathieu | Javier Mascherano | 17 | 29 | 45
EDGE Jérémy Mathieu | Sergio Busquets | 20 | 29 | 42
EDGE Jérémy Mathieu | Xavi | 14 | 29 | 21
EDGE Jérémy Mathieu | Neymar | 21 | 29 | 47
EDGE Jérémy Mathieu | Lionel Messi | 26 | 29 | 56
EDGE Jérémy Mathieu | Luis Suárez | 18 | 29 | 41
EDGE Jérémy Mathieu | Andrés Iniesta | 16 | 29 | 36
EDGE Jérémy Mathieu | Ivan Rakitic | 15 | 29 | 39
EDGE Jérémy Mathieu | Jordi Masip | 1 | 29 | 2
EDGE Jérémy Mathieu | Thomas Vermaelen | 1 | 29 | 1
EDGE Jérémy Mathieu | Marc Bartra | 7 | 29 | 20
