# Graph for Java/GraphStream
# Nodes: 29
# Edges: 306

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Thomas Vermaelen | 8 | 25 | 15
EDGE Marc-André ter Stegen | Javier Mascherano | 20 | 25 | 49
EDGE Marc-André ter Stegen | Jérémy Mathieu | 9 | 25 | 23
EDGE Marc-André ter Stegen | Dani Alves | 19 | 25 | 43
EDGE Marc-André ter Stegen | Sergi Roberto | 12 | 25 | 31
EDGE Marc-André ter Stegen | Ivan Rakitic | 20 | 25 | 48
EDGE Marc-André ter Stegen | Arda Turan | 4 | 25 | 13
EDGE Marc-André ter Stegen | Munir El Haddadi | 6 | 25 | 16
EDGE Marc-André ter Stegen | Aleix Vidal | 3 | 25 | 9
EDGE Marc-André ter Stegen | Lionel Messi | 19 | 25 | 47
EDGE Marc-André ter Stegen | Marc Bartra | 6 | 25 | 10
EDGE Marc-André ter Stegen | Adriano | 6 | 25 | 10
EDGE Marc-André ter Stegen | Rafinha | 3 | 25 | 5
EDGE Marc-André ter Stegen | Pedro | 1 | 25 | 2
EDGE Marc-André ter Stegen | Luis Suárez | 20 | 25 | 53
EDGE Marc-André ter Stegen | Gerard Piqué | 17 | 25 | 46
EDGE Marc-André ter Stegen | Jordi Alba | 14 | 25 | 42
EDGE Marc-André ter Stegen | Sergio Busquets | 20 | 25 | 51
EDGE Marc-André ter Stegen | Andrés Iniesta | 16 | 25 | 40
EDGE Marc-André ter Stegen | Neymar | 20 | 25 | 49
EDGE Marc-André ter Stegen | Sergi Samper | 2 | 25 | 4
EDGE Marc-André ter Stegen | Wilfrid Kaptoum | 1 | 25 | 2
EDGE Marc-André ter Stegen | Sandro Ramírez | 4 | 25 | 9
EDGE Thomas Vermaelen | Javier Mascherano | 10 | 15 | 49
EDGE Thomas Vermaelen | Jérémy Mathieu | 6 | 15 | 23
EDGE Thomas Vermaelen | Dani Alves | 8 | 15 | 43
EDGE Thomas Vermaelen | Sergi Roberto | 10 | 15 | 31
