# Graph for Java/GraphStream
# Nodes: 27
# Edges: 272

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jasper Cillessen | Samuel Umtiti | 9 | 10 | 42
EDGE Jasper Cillessen | Gerard Piqué | 6 | 10 | 41
EDGE Jasper Cillessen | Jordi Alba | 5 | 10 | 33
EDGE Jasper Cillessen | Sergi Roberto | 5 | 10 | 40
EDGE Jasper Cillessen | Javier Mascherano | 6 | 10 | 33
EDGE Jasper Cillessen | Ivan Rakitic | 6 | 10 | 41
EDGE Jasper Cillessen | André Gomes | 5 | 10 | 27
EDGE Jasper Cillessen | Neymar | 6 | 10 | 45
EDGE Jasper Cillessen | Lionel Messi | 7 | 10 | 50
EDGE Jasper Cillessen | Luis Suárez | 5 | 10 | 50
EDGE Jasper Cillessen | Lucas Digne | 5 | 10 | 20
EDGE Jasper Cillessen | Aleix Vidal | 4 | 10 | 9
EDGE Jasper Cillessen | Andrés Iniesta | 4 | 10 | 25
EDGE Jasper Cillessen | Denis Suárez | 6 | 10 | 18
EDGE Jasper Cillessen | Arda Turan | 5 | 10 | 20
EDGE Jasper Cillessen | Paco Alcácer | 5 | 10 | 11
EDGE Jasper Cillessen | Sergio Busquets | 4 | 10 | 47
EDGE Jasper Cillessen | Rafinha | 3 | 10 | 18
EDGE Jasper Cillessen | Jérémy Mathieu | 1 | 10 | 14
EDGE Jasper Cillessen | Borja López | 1 | 10 | 1
EDGE Jasper Cillessen | Àlex Carbonell | 1 | 10 | 1
EDGE Jasper Cillessen | Carles Aleñá | 1 | 10 | 1
EDGE Samuel Umtiti | Gerard Piqué | 26 | 42 | 41
EDGE Samuel Umtiti | Jordi Alba | 24 | 42 | 33
EDGE Samuel Umtiti | Sergi Roberto | 27 | 42 | 40
EDGE Samuel Umtiti | Javier Mascherano | 19 | 42 | 33
EDGE Samuel Umtiti | Ivan Rakitic | 30 | 42 | 41
EDGE Samuel Umtiti | André Gomes | 18 | 42 | 27
EDGE Samuel Umtiti | Neymar | 31 | 42 | 45
EDGE Samuel Umtiti | Lionel Messi | 40 | 42 | 50
EDGE Samuel Umtiti | Luis Suárez | 36 | 42 | 50
EDGE Samuel Umtiti | Marc-André ter Stegen | 31 | 42 | 46
EDGE Samuel Umtiti | Aleix Vidal | 7 | 42 | 9
EDGE Samuel Umtiti | Sergio Busquets | 31 | 42 | 47
EDGE Samuel Umtiti | Rafinha | 13 | 42 | 18
EDGE Samuel Umtiti | Arda Turan | 11 | 42 | 20
EDGE Samuel Umtiti | Claudio Bravo | 2 | 42 | 3
EDGE Samuel Umtiti | Lucas Digne | 13 | 42 | 20
EDGE Samuel Umtiti | Denis Suárez | 12 | 42 | 18
EDGE Samuel Umtiti | Munir El Haddadi | 1 | 42 | 1
EDGE Samuel Umtiti | Jérémy Mathieu | 7 | 42 | 14
EDGE Samuel Umtiti | Marlon | 2 | 42 | 2
EDGE Samuel Umtiti | Andrés Iniesta | 20 | 42 | 25
EDGE Samuel Umtiti | Paco Alcácer | 7 | 42 | 11
EDGE Samuel Umtiti | Borja López | 1 | 42 | 1
EDGE Samuel Umtiti | Àlex Carbonell | 1 | 42 | 1
EDGE Samuel Umtiti | Carles Aleñá | 1 | 42 | 1
EDGE Gerard Piqué | Jordi Alba | 26 | 41 | 33
EDGE Gerard Piqué | Sergi Roberto | 32 | 41 | 40
EDGE Gerard Piqué | Javier Mascherano | 21 | 41 | 33
EDGE Gerard Piqué | Ivan Rakitic | 29 | 41 | 41
EDGE Gerard Piqué | André Gomes | 17 | 41 | 27
EDGE Gerard Piqué | Neymar | 32 | 41 | 45
EDGE Gerard Piqué | Lionel Messi | 36 | 41 | 50
EDGE Gerard Piqué | Luis Suárez | 37 | 41 | 50
EDGE Gerard Piqué | Marc-André ter Stegen | 33 | 41 | 46
EDGE Gerard Piqué | Sergio Busquets | 34 | 41 | 47
EDGE Gerard Piqué | Andrés Iniesta | 21 | 41 | 25
EDGE Gerard Piqué | Lucas Digne | 8 | 41 | 20
EDGE Gerard Piqué | Denis Suárez | 9 | 41 | 18
EDGE Gerard Piqué | Arda Turan | 13 | 41 | 20
EDGE Gerard Piqué | Paco Alcácer | 7 | 41 | 11
EDGE Gerard Piqué | Rafinha | 11 | 41 | 18
EDGE Gerard Piqué | Claudio Bravo | 2 | 41 | 3
EDGE Gerard Piqué | Jérémy Mathieu | 8 | 41 | 14
EDGE Gerard Piqué | Aleix Vidal | 2 | 41 | 9
EDGE Jordi Alba | Sergi Roberto | 26 | 33 | 40
EDGE Jordi Alba | Javier Mascherano | 16 | 33 | 33
EDGE Jordi Alba | Ivan Rakitic | 24 | 33 | 41
EDGE Jordi Alba | André Gomes | 16 | 33 | 27
EDGE Jordi Alba | Neymar | 25 | 33 | 45
EDGE Jordi Alba | Lionel Messi | 30 | 33 | 50
EDGE Jordi Alba | Luis Suárez | 32 | 33 | 50
EDGE Jordi Alba | Marc-André ter Stegen | 27 | 33 | 46
EDGE Jordi Alba | Aleix Vidal | 1 | 33 | 9
EDGE Jordi Alba | Sergio Busquets | 29 | 33 | 47
EDGE Jordi Alba | Rafinha | 7 | 33 | 18
EDGE Jordi Alba | Arda Turan | 8 | 33 | 20
EDGE Jordi Alba | Andrés Iniesta | 14 | 33 | 25
EDGE Jordi Alba | Jérémy Mathieu | 4 | 33 | 14
EDGE Jordi Alba | Denis Suárez | 8 | 33 | 18
EDGE Jordi Alba | Marlon | 2 | 33 | 2
EDGE Jordi Alba | Lucas Digne | 1 | 33 | 20
EDGE Jordi Alba | Paco Alcácer | 4 | 33 | 11
EDGE Jordi Alba | Claudio Bravo | 1 | 33 | 3
EDGE Sergi Roberto | Javier Mascherano | 19 | 40 | 33
EDGE Sergi Roberto | Ivan Rakitic | 28 | 40 | 41
EDGE Sergi Roberto | André Gomes | 19 | 40 | 27
EDGE Sergi Roberto | Neymar | 32 | 40 | 45
EDGE Sergi Roberto | Lionel Messi | 35 | 40 | 50
EDGE Sergi Roberto | Luis Suárez | 39 | 40 | 50
EDGE Sergi Roberto | Marc-André ter Stegen | 33 | 40 | 46
EDGE Sergi Roberto | Sergio Busquets | 34 | 40 | 47
EDGE Sergi Roberto | Andrés Iniesta | 18 | 40 | 25
EDGE Sergi Roberto | Denis Suárez | 9 | 40 | 18
EDGE Sergi Roberto | Arda Turan | 10 | 40 | 20
EDGE Sergi Roberto | Lucas Digne | 10 | 40 | 20
EDGE Sergi Roberto | Rafinha | 9 | 40 | 18
EDGE Sergi Roberto | Paco Alcácer | 4 | 40 | 11
EDGE Sergi Roberto | Jérémy Mathieu | 8 | 40 | 14
EDGE Sergi Roberto | Claudio Bravo | 2 | 40 | 3
EDGE Sergi Roberto | Marlon | 1 | 40 | 2
EDGE Javier Mascherano | Ivan Rakitic | 23 | 33 | 41
EDGE Javier Mascherano | André Gomes | 16 | 33 | 27
EDGE Javier Mascherano | Neymar | 26 | 33 | 45
EDGE Javier Mascherano | Lionel Messi | 27 | 33 | 50
EDGE Javier Mascherano | Luis Suárez | 26 | 33 | 50
EDGE Javier Mascherano | Marc-André ter Stegen | 25 | 33 | 46
EDGE Javier Mascherano | Aleix Vidal | 5 | 33 | 9
EDGE Javier Mascherano | Sergio Busquets | 26 | 33 | 47
EDGE Javier Mascherano | Rafinha | 10 | 33 | 18
EDGE Javier Mascherano | Arda Turan | 10 | 33 | 20
EDGE Javier Mascherano | Andrés Iniesta | 14 | 33 | 25
EDGE Javier Mascherano | Claudio Bravo | 2 | 33 | 3
EDGE Javier Mascherano | Lucas Digne | 12 | 33 | 20
EDGE Javier Mascherano | Denis Suárez | 13 | 33 | 18
EDGE Javier Mascherano | Munir El Haddadi | 1 | 33 | 1
EDGE Javier Mascherano | Paco Alcácer | 7 | 33 | 11
EDGE Javier Mascherano | Jérémy Mathieu | 6 | 33 | 14
EDGE Ivan Rakitic | André Gomes | 14 | 41 | 27
EDGE Ivan Rakitic | Neymar | 33 | 41 | 45
EDGE Ivan Rakitic | Lionel Messi | 36 | 41 | 50
EDGE Ivan Rakitic | Luis Suárez | 37 | 41 | 50
EDGE Ivan Rakitic | Marc-André ter Stegen | 33 | 41 | 46
EDGE Ivan Rakitic | Sergio Busquets | 33 | 41 | 47
EDGE Ivan Rakitic | Andrés Iniesta | 17 | 41 | 25
EDGE Ivan Rakitic | Lucas Digne | 13 | 41 | 20
EDGE Ivan Rakitic | Denis Suárez | 10 | 41 | 18
EDGE Ivan Rakitic | Arda Turan | 10 | 41 | 20
EDGE Ivan Rakitic | Paco Alcácer | 7 | 41 | 11
EDGE Ivan Rakitic | Marlon | 2 | 41 | 2
EDGE Ivan Rakitic | Rafinha | 10 | 41 | 18
EDGE Ivan Rakitic | Jérémy Mathieu | 9 | 41 | 14
EDGE Ivan Rakitic | Claudio Bravo | 2 | 41 | 3
EDGE Ivan Rakitic | Aleix Vidal | 4 | 41 | 9
EDGE André Gomes | Neymar | 18 | 27 | 45
