# Graph for Java/GraphStream
# Nodes: 27
# Edges: 304

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Samuel Umtiti | 35 | 48 | 39
EDGE Marc-André ter Stegen | Gerard Piqué | 38 | 48 | 48
EDGE Marc-André ter Stegen | Jordi Alba | 39 | 48 | 44
EDGE Marc-André ter Stegen | Sergi Roberto | 32 | 48 | 37
EDGE Marc-André ter Stegen | Sergio Busquets | 40 | 48 | 48
EDGE Marc-André ter Stegen | Andrés Iniesta | 33 | 48 | 39
EDGE Marc-André ter Stegen | Ivan Rakitic | 40 | 48 | 46
EDGE Marc-André ter Stegen | Ousmane Dembélé | 13 | 48 | 14
EDGE Marc-André ter Stegen | Lionel Messi | 41 | 48 | 48
EDGE Marc-André ter Stegen | Luis Suárez | 43 | 48 | 49
EDGE Marc-André ter Stegen | Thomas Vermaelen | 11 | 48 | 17
EDGE Marc-André ter Stegen | Paulinho | 24 | 48 | 27
EDGE Marc-André ter Stegen | André Gomes | 7 | 48 | 12
EDGE Marc-André ter Stegen | Javier Mascherano | 8 | 48 | 10
EDGE Marc-André ter Stegen | Lucas Digne | 9 | 48 | 15
EDGE Marc-André ter Stegen | Aleix Vidal | 5 | 48 | 11
EDGE Marc-André ter Stegen | Nélson Semedo | 22 | 48 | 28
EDGE Marc-André ter Stegen | Philippe Coutinho | 15 | 48 | 17
EDGE Marc-André ter Stegen | Yerry Mina | 4 | 48 | 4
EDGE Marc-André ter Stegen | Paco Alcácer | 8 | 48 | 11
EDGE Marc-André ter Stegen | Denis Suárez | 5 | 48 | 10
EDGE Marc-André ter Stegen | Gerard Deulofeu | 8 | 48 | 10
EDGE Samuel Umtiti | Gerard Piqué | 33 | 39 | 48
EDGE Samuel Umtiti | Jordi Alba | 33 | 39 | 44
EDGE Samuel Umtiti | Sergi Roberto | 27 | 39 | 37
EDGE Samuel Umtiti | Sergio Busquets | 35 | 39 | 48
EDGE Samuel Umtiti | Andrés Iniesta | 31 | 39 | 39
EDGE Samuel Umtiti | Ivan Rakitic | 34 | 39 | 46
EDGE Samuel Umtiti | Ousmane Dembélé | 8 | 39 | 14
EDGE Samuel Umtiti | Lionel Messi | 35 | 39 | 48
EDGE Samuel Umtiti | Luis Suárez | 36 | 39 | 49
EDGE Samuel Umtiti | Thomas Vermaelen | 2 | 39 | 17
EDGE Samuel Umtiti | Lucas Digne | 6 | 39 | 15
EDGE Samuel Umtiti | Paulinho | 16 | 39 | 27
EDGE Samuel Umtiti | Aleix Vidal | 6 | 39 | 11
EDGE Samuel Umtiti | Nélson Semedo | 16 | 39 | 28
EDGE Samuel Umtiti | Philippe Coutinho | 11 | 39 | 17
EDGE Samuel Umtiti | Paco Alcácer | 5 | 39 | 11
EDGE Samuel Umtiti | Jasper Cillessen | 4 | 39 | 11
EDGE Samuel Umtiti | André Gomes | 4 | 39 | 12
EDGE Samuel Umtiti | Javier Mascherano | 5 | 39 | 10
EDGE Samuel Umtiti | Gerard Deulofeu | 7 | 39 | 10
EDGE Samuel Umtiti | Denis Suárez | 1 | 39 | 10
EDGE Gerard Piqué | Jordi Alba | 37 | 48 | 44
EDGE Gerard Piqué | Sergi Roberto | 30 | 48 | 37
EDGE Gerard Piqué | Sergio Busquets | 41 | 48 | 48
EDGE Gerard Piqué | Andrés Iniesta | 33 | 48 | 39
EDGE Gerard Piqué | Ivan Rakitic | 39 | 48 | 46
EDGE Gerard Piqué | Ousmane Dembélé | 11 | 48 | 14
EDGE Gerard Piqué | Lionel Messi | 40 | 48 | 48
EDGE Gerard Piqué | Luis Suárez | 41 | 48 | 49
EDGE Gerard Piqué | Thomas Vermaelen | 11 | 48 | 17
EDGE Gerard Piqué | Paulinho | 21 | 48 | 27
EDGE Gerard Piqué | André Gomes | 10 | 48 | 12
EDGE Gerard Piqué | Nélson Semedo | 22 | 48 | 28
EDGE Gerard Piqué | Philippe Coutinho | 14 | 48 | 17
EDGE Gerard Piqué | Paco Alcácer | 7 | 48 | 11
EDGE Gerard Piqué | Javier Mascherano | 4 | 48 | 10
EDGE Gerard Piqué | Aleix Vidal | 9 | 48 | 11
EDGE Gerard Piqué | Denis Suárez | 7 | 48 | 10
EDGE Gerard Piqué | Jasper Cillessen | 10 | 48 | 11
EDGE Gerard Piqué | Lucas Digne | 10 | 48 | 15
EDGE Gerard Piqué | Gerard Deulofeu | 7 | 48 | 10
EDGE Gerard Piqué | José Manuel Arnáiz | 1 | 48 | 2
EDGE Gerard Piqué | Yerry Mina | 1 | 48 | 4
EDGE Gerard Piqué | Carles Aleñá | 2 | 48 | 3
EDGE Gerard Piqué | Uri Busquets | 1 | 48 | 1
EDGE Jordi Alba | Sergi Roberto | 32 | 44 | 37
EDGE Jordi Alba | Sergio Busquets | 39 | 44 | 48
EDGE Jordi Alba | Andrés Iniesta | 31 | 44 | 39
