# Graph for Java/GraphStream
# Nodes: 32
# Edges: 337

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Clément Lenglet | 34 | 49 | 40
EDGE Marc-André ter Stegen | Gerard Piqué | 47 | 49 | 52
EDGE Marc-André ter Stegen | Nélson Semedo | 26 | 49 | 34
EDGE Marc-André ter Stegen | Sergi Roberto | 30 | 49 | 35
EDGE Marc-André ter Stegen | Sergio Busquets | 42 | 49 | 47
EDGE Marc-André ter Stegen | Ivan Rakitic | 40 | 49 | 48
EDGE Marc-André ter Stegen | Arturo Vidal | 23 | 49 | 29
EDGE Marc-André ter Stegen | Philippe Coutinho | 32 | 49 | 38
EDGE Marc-André ter Stegen | Lionel Messi | 38 | 49 | 43
EDGE Marc-André ter Stegen | Luis Suárez | 44 | 49 | 45
EDGE Marc-André ter Stegen | Jordi Alba | 44 | 49 | 49
EDGE Marc-André ter Stegen | Arthur Melo | 26 | 49 | 32
EDGE Marc-André ter Stegen | Ousmane Dembélé | 25 | 49 | 30
EDGE Marc-André ter Stegen | Samuel Umtiti | 12 | 49 | 14
EDGE Marc-André ter Stegen | Rafinha | 5 | 49 | 5
EDGE Marc-André ter Stegen | Malcom | 4 | 49 | 11
EDGE Marc-André ter Stegen | Thomas Vermaelen | 6 | 49 | 9
EDGE Marc-André ter Stegen | Carles Aleñá | 5 | 49 | 10
EDGE Marc-André ter Stegen | Munir El Haddadi | 1 | 49 | 4
EDGE Marc-André ter Stegen | Kevin-Prince Boateng | 2 | 49 | 4
EDGE Marc-André ter Stegen | Jean-Clair Todibo | 1 | 49 | 2
EDGE Marc-André ter Stegen | Jeison Murillo | 1 | 49 | 3
EDGE Marc-André ter Stegen | Riqui Puig | 1 | 49 | 2
EDGE Marc-André ter Stegen | Moussa Wagué | 1 | 49 | 2
EDGE Clément Lenglet | Gerard Piqué | 37 | 40 | 52
EDGE Clément Lenglet | Nélson Semedo | 23 | 40 | 34
EDGE Clément Lenglet | Sergi Roberto | 23 | 40 | 35
EDGE Clément Lenglet | Sergio Busquets | 33 | 40 | 47
EDGE Clément Lenglet | Ivan Rakitic | 37 | 40 | 48
EDGE Clément Lenglet | Arturo Vidal | 19 | 40 | 29
EDGE Clément Lenglet | Philippe Coutinho | 26 | 40 | 38
EDGE Clément Lenglet | Lionel Messi | 30 | 40 | 43
EDGE Clément Lenglet | Luis Suárez | 33 | 40 | 45
EDGE Clément Lenglet | Jordi Alba | 37 | 40 | 49
EDGE Clément Lenglet | Arthur Melo | 27 | 40 | 32
EDGE Clément Lenglet | Ousmane Dembélé | 17 | 40 | 30
EDGE Clément Lenglet | Rafinha | 4 | 40 | 5
EDGE Clément Lenglet | Malcom | 5 | 40 | 11
EDGE Clément Lenglet | Samuel Umtiti | 1 | 40 | 14
EDGE Clément Lenglet | Jasper Cillessen | 6 | 40 | 11
EDGE Clément Lenglet | Carles Aleñá | 2 | 40 | 10
EDGE Clément Lenglet | Kevin-Prince Boateng | 1 | 40 | 4
EDGE Clément Lenglet | Thomas Vermaelen | 2 | 40 | 9
EDGE Clément Lenglet | Juan Miranda | 1 | 40 | 4
EDGE Clément Lenglet | Munir El Haddadi | 1 | 40 | 4
EDGE Clément Lenglet | Jeison Murillo | 1 | 40 | 3
EDGE Gerard Piqué | Nélson Semedo | 29 | 52 | 34
EDGE Gerard Piqué | Sergi Roberto | 34 | 52 | 35
EDGE Gerard Piqué | Sergio Busquets | 45 | 52 | 47
EDGE Gerard Piqué | Ivan Rakitic | 45 | 52 | 48
EDGE Gerard Piqué | Arturo Vidal | 24 | 52 | 29
EDGE Gerard Piqué | Philippe Coutinho | 34 | 52 | 38
EDGE Gerard Piqué | Lionel Messi | 42 | 52 | 43
EDGE Gerard Piqué | Luis Suárez | 44 | 52 | 45
EDGE Gerard Piqué | Jordi Alba | 47 | 52 | 49
EDGE Gerard Piqué | Arthur Melo | 28 | 52 | 32
EDGE Gerard Piqué | Ousmane Dembélé | 24 | 52 | 30
EDGE Gerard Piqué | Samuel Umtiti | 11 | 52 | 14
EDGE Gerard Piqué | Rafinha | 5 | 52 | 5
EDGE Gerard Piqué | Malcom | 5 | 52 | 11
EDGE Gerard Piqué | Thomas Vermaelen | 6 | 52 | 9
EDGE Gerard Piqué | Carles Aleñá | 5 | 52 | 10
EDGE Gerard Piqué | Munir El Haddadi | 1 | 52 | 4
EDGE Gerard Piqué | Jasper Cillessen | 5 | 52 | 11
EDGE Gerard Piqué | Kevin-Prince Boateng | 2 | 52 | 4
EDGE Nélson Semedo | Sergi Roberto | 12 | 34 | 35
EDGE Nélson Semedo | Sergio Busquets | 24 | 34 | 47
EDGE Nélson Semedo | Ivan Rakitic | 27 | 34 | 48
EDGE Nélson Semedo | Arturo Vidal | 20 | 34 | 29
EDGE Nélson Semedo | Philippe Coutinho | 20 | 34 | 38
EDGE Nélson Semedo | Lionel Messi | 25 | 34 | 43
EDGE Nélson Semedo | Luis Suárez | 24 | 34 | 45
EDGE Nélson Semedo | Jordi Alba | 26 | 34 | 49
EDGE Nélson Semedo | Arthur Melo | 16 | 34 | 32
EDGE Nélson Semedo | Ousmane Dembélé | 18 | 34 | 30
EDGE Nélson Semedo | Samuel Umtiti | 6 | 34 | 14
EDGE Nélson Semedo | Jasper Cillessen | 8 | 34 | 11
EDGE Nélson Semedo | Jeison Murillo | 2 | 34 | 3
EDGE Nélson Semedo | Chumi | 3 | 34 | 3
EDGE Nélson Semedo | Juan Miranda | 4 | 34 | 4
EDGE Nélson Semedo | Carles Aleñá | 6 | 34 | 10
EDGE Nélson Semedo | Malcom | 6 | 34 | 11
