# Graph for Java/GraphStream
# Nodes: 35
# Edges: 405

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Gerard Piqué | 34 | 49 | 36
EDGE Marc-André ter Stegen | Ronald Araujo | 34 | 49 | 36
EDGE Marc-André ter Stegen | Jordi Alba | 40 | 49 | 44
EDGE Marc-André ter Stegen | Dani Alves | 14 | 49 | 16
EDGE Marc-André ter Stegen | Sergio Busquets | 45 | 49 | 49
EDGE Marc-André ter Stegen | Pedri | 17 | 49 | 19
EDGE Marc-André ter Stegen | Gavi | 35 | 49 | 36
EDGE Marc-André ter Stegen | Abde Ezzalzouli | 7 | 49 | 7
EDGE Marc-André ter Stegen | Ferran Torres | 24 | 49 | 25
EDGE Marc-André ter Stegen | Ferran Jutglà | 5 | 49 | 6
EDGE Marc-André ter Stegen | Eric García | 28 | 49 | 32
EDGE Marc-André ter Stegen | Frenkie de Jong | 38 | 49 | 41
EDGE Marc-André ter Stegen | Sergi Roberto | 6 | 49 | 6
EDGE Marc-André ter Stegen | Sergiño Dest | 21 | 49 | 23
EDGE Marc-André ter Stegen | Memphis Depay | 24 | 49 | 27
EDGE Marc-André ter Stegen | Luuk de Jong | 10 | 49 | 10
EDGE Marc-André ter Stegen | Ousmane Dembélé | 17 | 49 | 18
EDGE Marc-André ter Stegen | Nico González | 16 | 49 | 17
EDGE Marc-André ter Stegen | Ansu Fati | 4 | 49 | 4
EDGE Marc-André ter Stegen | Pierre-Emerick Aubameyang | 18 | 49 | 18
EDGE Marc-André ter Stegen | Adama Traoré | 9 | 49 | 9
EDGE Marc-André ter Stegen | Óscar Mingueza | 13 | 49 | 14
EDGE Marc-André ter Stegen | Philippe Coutinho | 5 | 49 | 5
EDGE Marc-André ter Stegen | Clément Lenglet | 11 | 49 | 11
EDGE Marc-André ter Stegen | Samuel Umtiti | 1 | 49 | 1
EDGE Marc-André ter Stegen | Yusuf Demir | 3 | 49 | 3
EDGE Marc-André ter Stegen | Ilias Akhomach | 2 | 49 | 3
EDGE Marc-André ter Stegen | Emerson Royal | 1 | 49 | 1
EDGE Marc-André ter Stegen | Martin Braithwaite | 1 | 49 | 3
EDGE Marc-André ter Stegen | Antoine Griezmann | 1 | 49 | 3
EDGE Marc-André ter Stegen | Riqui Puig | 2 | 49 | 3
EDGE Marc-André ter Stegen | Alejandro Balde | 2 | 49 | 2
EDGE Marc-André ter Stegen | Sergio Agüero | 2 | 49 | 2
EDGE Gerard Piqué | Ronald Araujo | 23 | 36 | 36
EDGE Gerard Piqué | Jordi Alba | 29 | 36 | 44
EDGE Gerard Piqué | Dani Alves | 10 | 36 | 16
EDGE Gerard Piqué | Sergio Busquets | 34 | 36 | 49
EDGE Gerard Piqué | Pedri | 17 | 36 | 19
EDGE Gerard Piqué | Gavi | 24 | 36 | 36
EDGE Gerard Piqué | Abde Ezzalzouli | 5 | 36 | 7
EDGE Gerard Piqué | Ferran Torres | 15 | 36 | 25
EDGE Gerard Piqué | Ferran Jutglà | 4 | 36 | 6
EDGE Gerard Piqué | Eric García | 19 | 36 | 32
