# Graph for Java/GraphStream
# Nodes: 24
# Edges: 264

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Ronald Araujo | 28 | 49 | 29
EDGE Marc-André ter Stegen | Andreas Christensen | 27 | 49 | 27
EDGE Marc-André ter Stegen | Alejandro Balde | 35 | 49 | 35
EDGE Marc-André ter Stegen | Jules Koundé | 37 | 49 | 38
EDGE Marc-André ter Stegen | Sergio Busquets | 37 | 49 | 38
EDGE Marc-André ter Stegen | Pedri | 30 | 49 | 30
EDGE Marc-André ter Stegen | Frenkie de Jong | 36 | 49 | 36
EDGE Marc-André ter Stegen | Gavi | 38 | 49 | 39
EDGE Marc-André ter Stegen | Ousmane Dembélé | 24 | 49 | 25
EDGE Marc-André ter Stegen | Ansu Fati | 13 | 49 | 14
EDGE Marc-André ter Stegen | Marcos Alonso | 18 | 49 | 20
EDGE Marc-André ter Stegen | Ferran Torres | 15 | 49 | 18
EDGE Marc-André ter Stegen | Raphinha | 32 | 49 | 34
EDGE Marc-André ter Stegen | Robert Lewandowski | 43 | 49 | 44
EDGE Marc-André ter Stegen | Eric García | 17 | 49 | 18
EDGE Marc-André ter Stegen | Sergi Roberto | 21 | 49 | 22
EDGE Marc-André ter Stegen | Héctor Bellerín | 2 | 49 | 5
EDGE Marc-André ter Stegen | Franck Kessié | 12 | 49 | 15
EDGE Marc-André ter Stegen | Jordi Alba | 17 | 49 | 20
EDGE Marc-André ter Stegen | Gerard Piqué | 5 | 49 | 6
EDGE Marc-André ter Stegen | Pablo Torre | 1 | 49 | 4
EDGE Marc-André ter Stegen | Memphis Depay | 2 | 49 | 3
EDGE Ronald Araujo | Andreas Christensen | 14 | 29 | 27
EDGE Ronald Araujo | Alejandro Balde | 21 | 29 | 35
EDGE Ronald Araujo | Jules Koundé | 26 | 29 | 38
EDGE Ronald Araujo | Sergio Busquets | 23 | 29 | 38
EDGE Ronald Araujo | Pedri | 17 | 29 | 30
EDGE Ronald Araujo | Frenkie de Jong | 20 | 29 | 36
EDGE Ronald Araujo | Gavi | 25 | 29 | 39
EDGE Ronald Araujo | Ousmane Dembélé | 12 | 29 | 25
EDGE Ronald Araujo | Ansu Fati | 5 | 29 | 14
EDGE Ronald Araujo | Marcos Alonso | 8 | 29 | 20
EDGE Ronald Araujo | Ferran Torres | 8 | 29 | 18
EDGE Ronald Araujo | Raphinha | 22 | 29 | 34
EDGE Ronald Araujo | Robert Lewandowski | 23 | 29 | 44
EDGE Ronald Araujo | Eric García | 8 | 29 | 18
EDGE Ronald Araujo | Sergi Roberto | 8 | 29 | 22
EDGE Ronald Araujo | Iñaki Peña | 1 | 29 | 3
EDGE Ronald Araujo | Jordi Alba | 7 | 29 | 20
EDGE Ronald Araujo | Héctor Bellerín | 2 | 29 | 5
EDGE Ronald Araujo | Franck Kessié | 7 | 29 | 15
EDGE Ronald Araujo | Pablo Torre | 1 | 29 | 4
EDGE Ronald Araujo | Memphis Depay | 3 | 29 | 3
EDGE Ronald Araujo | Gerard Piqué | 1 | 29 | 6
EDGE Andreas Christensen | Alejandro Balde | 19 | 27 | 35
EDGE Andreas Christensen | Jules Koundé | 19 | 27 | 38
EDGE Andreas Christensen | Sergio Busquets | 21 | 27 | 38
EDGE Andreas Christensen | Pedri | 16 | 27 | 30
EDGE Andreas Christensen | Frenkie de Jong | 22 | 27 | 36
EDGE Andreas Christensen | Gavi | 21 | 27 | 39
EDGE Andreas Christensen | Ousmane Dembélé | 13 | 27 | 25
EDGE Andreas Christensen | Ansu Fati | 8 | 27 | 14
EDGE Andreas Christensen | Eric García | 7 | 27 | 18
EDGE Andreas Christensen | Sergi Roberto | 12 | 27 | 22
EDGE Andreas Christensen | Ferran Torres | 7 | 27 | 18
EDGE Andreas Christensen | Robert Lewandowski | 24 | 27 | 44
EDGE Andreas Christensen | Jordi Alba | 9 | 27 | 20
EDGE Andreas Christensen | Raphinha | 17 | 27 | 34
EDGE Andreas Christensen | Franck Kessié | 6 | 27 | 15
EDGE Andreas Christensen | Marcos Alonso | 6 | 27 | 20
EDGE Andreas Christensen | Pablo Torre | 1 | 27 | 4
EDGE Andreas Christensen | Gerard Piqué | 1 | 27 | 6
EDGE Alejandro Balde | Jules Koundé | 28 | 35 | 38
EDGE Alejandro Balde | Sergio Busquets | 30 | 35 | 38
EDGE Alejandro Balde | Pedri | 20 | 35 | 30
EDGE Alejandro Balde | Frenkie de Jong | 27 | 35 | 36
EDGE Alejandro Balde | Gavi | 26 | 35 | 39
EDGE Alejandro Balde | Ousmane Dembélé | 17 | 35 | 25
EDGE Alejandro Balde | Ansu Fati | 8 | 35 | 14
EDGE Alejandro Balde | Marcos Alonso | 9 | 35 | 20
EDGE Alejandro Balde | Ferran Torres | 11 | 35 | 18
EDGE Alejandro Balde | Raphinha | 22 | 35 | 34
EDGE Alejandro Balde | Robert Lewandowski | 30 | 35 | 44
EDGE Alejandro Balde | Eric García | 10 | 35 | 18
EDGE Alejandro Balde | Sergi Roberto | 12 | 35 | 22
EDGE Alejandro Balde | Héctor Bellerín | 2 | 35 | 5
EDGE Alejandro Balde | Franck Kessié | 8 | 35 | 15
EDGE Alejandro Balde | Jordi Alba | 8 | 35 | 20
EDGE Alejandro Balde | Gerard Piqué | 4 | 35 | 6
EDGE Alejandro Balde | Pablo Torre | 1 | 35 | 4
EDGE Alejandro Balde | Memphis Depay | 2 | 35 | 3
EDGE Jules Koundé | Sergio Busquets | 29 | 38 | 38
EDGE Jules Koundé | Pedri | 22 | 38 | 30
EDGE Jules Koundé | Frenkie de Jong | 29 | 38 | 36
EDGE Jules Koundé | Gavi | 28 | 38 | 39
EDGE Jules Koundé | Ousmane Dembélé | 18 | 38 | 25
EDGE Jules Koundé | Ansu Fati | 11 | 38 | 14
EDGE Jules Koundé | Marcos Alonso | 11 | 38 | 20
EDGE Jules Koundé | Ferran Torres | 10 | 38 | 18
EDGE Jules Koundé | Raphinha | 25 | 38 | 34
EDGE Jules Koundé | Robert Lewandowski | 32 | 38 | 44
EDGE Jules Koundé | Eric García | 11 | 38 | 18
EDGE Jules Koundé | Sergi Roberto | 16 | 38 | 22
EDGE Jules Koundé | Héctor Bellerín | 2 | 38 | 5
EDGE Jules Koundé | Franck Kessié | 11 | 38 | 15
EDGE Jules Koundé | Jordi Alba | 11 | 38 | 20
EDGE Jules Koundé | Iñaki Peña | 1 | 38 | 3
EDGE Jules Koundé | Pablo Torre | 1 | 38 | 4
EDGE Jules Koundé | Memphis Depay | 2 | 38 | 3
EDGE Sergio Busquets | Pedri | 22 | 38 | 30
EDGE Sergio Busquets | Frenkie de Jong | 25 | 38 | 36
EDGE Sergio Busquets | Gavi | 29 | 38 | 39
EDGE Sergio Busquets | Ousmane Dembélé | 21 | 38 | 25
EDGE Sergio Busquets | Ansu Fati | 8 | 38 | 14
EDGE Sergio Busquets | Marcos Alonso | 11 | 38 | 20
