# Graph for Java/GraphStream
# Nodes: 25
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Iñigo Martínez | 14 | 36 | 16
EDGE Marc-André ter Stegen | Pau Cubarsí | 18 | 36 | 21
EDGE Marc-André ter Stegen | João Cancelo | 29 | 36 | 38
EDGE Marc-André ter Stegen | Jules Koundé | 30 | 36 | 45
EDGE Marc-André ter Stegen | Andreas Christensen | 25 | 36 | 37
EDGE Marc-André ter Stegen | Pedri | 11 | 36 | 21
EDGE Marc-André ter Stegen | İlkay Gündoğan | 32 | 36 | 45
EDGE Marc-André ter Stegen | Raphinha | 17 | 36 | 25
EDGE Marc-André ter Stegen | Lamine Yamal | 23 | 36 | 30
EDGE Marc-André ter Stegen | Robert Lewandowski | 29 | 36 | 44
EDGE Marc-André ter Stegen | Ronald Araujo | 19 | 36 | 33
EDGE Marc-André ter Stegen | Frenkie de Jong | 15 | 36 | 30
EDGE Marc-André ter Stegen | Oriol Romeu | 12 | 36 | 17
EDGE Marc-André ter Stegen | Gavi | 13 | 36 | 13
EDGE Marc-André ter Stegen | Alejandro Balde | 12 | 36 | 22
EDGE Marc-André ter Stegen | Fermín López | 15 | 36 | 19
EDGE Marc-André ter Stegen | João Félix | 16 | 36 | 24
EDGE Marc-André ter Stegen | Sergi Roberto | 9 | 36 | 15
EDGE Marc-André ter Stegen | Ferran Torres | 10 | 36 | 20
EDGE Marc-André ter Stegen | Vitor Roque | 2 | 36 | 2
EDGE Marc-André ter Stegen | Marcos Alonso | 5 | 36 | 5
EDGE Marc-André ter Stegen | Héctor Fort | 3 | 36 | 6
EDGE Marc-André ter Stegen | Marc Guiu | 1 | 36 | 2
EDGE Iñigo Martínez | Pau Cubarsí | 7 | 16 | 21
EDGE Iñigo Martínez | João Cancelo | 15 | 16 | 38
EDGE Iñigo Martínez | Jules Koundé | 11 | 16 | 45
EDGE Iñigo Martínez | Andreas Christensen | 8 | 16 | 37
EDGE Iñigo Martínez | Pedri | 8 | 16 | 21
EDGE Iñigo Martínez | İlkay Gündoğan | 14 | 16 | 45
EDGE Iñigo Martínez | Raphinha | 6 | 16 | 25
EDGE Iñigo Martínez | Lamine Yamal | 11 | 16 | 30
EDGE Iñigo Martínez | Robert Lewandowski | 11 | 16 | 44
EDGE Iñigo Martínez | Iñaki Peña | 2 | 16 | 17
EDGE Iñigo Martínez | Alejandro Balde | 5 | 16 | 22
EDGE Iñigo Martínez | Oriol Romeu | 4 | 16 | 17
EDGE Iñigo Martínez | Frenkie de Jong | 4 | 16 | 30
EDGE Iñigo Martínez | Ferran Torres | 6 | 16 | 20
EDGE Iñigo Martínez | Ronald Araujo | 7 | 16 | 33
EDGE Iñigo Martínez | Fermín López | 9 | 16 | 19
EDGE Iñigo Martínez | João Félix | 8 | 16 | 24
EDGE Iñigo Martínez | Sergi Roberto | 3 | 16 | 15
EDGE Iñigo Martínez | Gavi | 4 | 16 | 13
EDGE Iñigo Martínez | Héctor Fort | 1 | 16 | 6
EDGE Iñigo Martínez | Marcos Alonso | 1 | 16 | 5
EDGE Iñigo Martínez | Marc Guiu | 1 | 16 | 2
EDGE Pau Cubarsí | João Cancelo | 17 | 21 | 38
EDGE Pau Cubarsí | Jules Koundé | 20 | 21 | 45
EDGE Pau Cubarsí | Andreas Christensen | 13 | 21 | 37
EDGE Pau Cubarsí | Pedri | 10 | 21 | 21
EDGE Pau Cubarsí | İlkay Gündoğan | 18 | 21 | 45
EDGE Pau Cubarsí | Raphinha | 12 | 21 | 25
EDGE Pau Cubarsí | Lamine Yamal | 17 | 21 | 30
EDGE Pau Cubarsí | Robert Lewandowski | 19 | 21 | 44
EDGE Pau Cubarsí | Ronald Araujo | 13 | 21 | 33
EDGE Pau Cubarsí | Frenkie de Jong | 10 | 21 | 30
EDGE Pau Cubarsí | Sergi Roberto | 7 | 21 | 15
EDGE Pau Cubarsí | Fermín López | 9 | 21 | 19
EDGE Pau Cubarsí | Vitor Roque | 2 | 21 | 2
EDGE Pau Cubarsí | Iñaki Peña | 3 | 21 | 17
EDGE Pau Cubarsí | Alejandro Balde | 1 | 21 | 22
EDGE Pau Cubarsí | Ferran Torres | 4 | 21 | 20
EDGE Pau Cubarsí | João Félix | 4 | 21 | 24
EDGE Pau Cubarsí | Héctor Fort | 3 | 21 | 6
EDGE Pau Cubarsí | Marcos Alonso | 1 | 21 | 5
EDGE Pau Cubarsí | Oriol Romeu | 1 | 21 | 17
EDGE Pau Cubarsí | Marc Guiu | 1 | 21 | 2
EDGE João Cancelo | Jules Koundé | 31 | 38 | 45
EDGE João Cancelo | Andreas Christensen | 25 | 38 | 37
EDGE João Cancelo | Pedri | 15 | 38 | 21
EDGE João Cancelo | İlkay Gündoğan | 35 | 38 | 45
EDGE João Cancelo | Raphinha | 21 | 38 | 25
EDGE João Cancelo | Lamine Yamal | 22 | 38 | 30
EDGE João Cancelo | Robert Lewandowski | 32 | 38 | 44
EDGE João Cancelo | Ronald Araujo | 25 | 38 | 33
EDGE João Cancelo | Frenkie de Jong | 19 | 38 | 30
EDGE João Cancelo | Iñaki Peña | 9 | 38 | 17
EDGE João Cancelo | Alejandro Balde | 13 | 38 | 22
EDGE João Cancelo | Oriol Romeu | 8 | 38 | 17
EDGE João Cancelo | Ferran Torres | 11 | 38 | 20
EDGE João Cancelo | Fermín López | 13 | 38 | 19
EDGE João Cancelo | João Félix | 19 | 38 | 24
EDGE João Cancelo | Sergi Roberto | 6 | 38 | 15
EDGE João Cancelo | Gavi | 10 | 38 | 13
EDGE João Cancelo | Vitor Roque | 1 | 38 | 2
EDGE João Cancelo | Marcos Alonso | 3 | 38 | 5
EDGE João Cancelo | Marc Guiu | 1 | 38 | 2
EDGE Jules Koundé | Andreas Christensen | 31 | 45 | 37
EDGE Jules Koundé | Pedri | 20 | 45 | 21
EDGE Jules Koundé | İlkay Gündoğan | 39 | 45 | 45
EDGE Jules Koundé | Raphinha | 22 | 45 | 25
EDGE Jules Koundé | Lamine Yamal | 28 | 45 | 30
