# Graph for Java/GraphStream
# Nodes: 28
# Edges: 310

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iñaki Peña | Iñigo Martínez | 17 | 21 | 45
EDGE Iñaki Peña | Pau Cubarsí | 20 | 21 | 48
EDGE Iñaki Peña | Alejandro Balde | 16 | 21 | 40
EDGE Iñaki Peña | Jules Koundé | 18 | 21 | 50
EDGE Iñaki Peña | Marc Casadó | 17 | 21 | 29
EDGE Iñaki Peña | Pedri | 20 | 21 | 56
EDGE Iñaki Peña | Fermín López | 7 | 21 | 19
EDGE Iñaki Peña | Raphinha | 20 | 21 | 53
EDGE Iñaki Peña | Lamine Yamal | 15 | 21 | 51
EDGE Iñaki Peña | Robert Lewandowski | 19 | 21 | 47
EDGE Iñaki Peña | Ronald Araujo | 3 | 21 | 17
EDGE Iñaki Peña | Gerard Martín | 5 | 21 | 19
EDGE Iñaki Peña | Frenkie de Jong | 3 | 21 | 23
EDGE Iñaki Peña | Gavi | 6 | 21 | 20
EDGE Iñaki Peña | Dani Olmo | 8 | 21 | 22
EDGE Iñaki Peña | Ferran Torres | 4 | 21 | 19
EDGE Iñaki Peña | Eric García | 4 | 21 | 19
EDGE Iñaki Peña | Héctor Fort | 2 | 21 | 5
EDGE Iñaki Peña | Ansu Fati | 1 | 21 | 3
EDGE Iñaki Peña | Sergi Domínguez | 1 | 21 | 2
EDGE Iñaki Peña | Pablo Torre | 3 | 21 | 5
EDGE Iñaki Peña | Pau Víctor | 1 | 21 | 2
EDGE Iñigo Martínez | Pau Cubarsí | 36 | 45 | 48
EDGE Iñigo Martínez | Alejandro Balde | 31 | 45 | 40
EDGE Iñigo Martínez | Jules Koundé | 38 | 45 | 50
EDGE Iñigo Martínez | Marc Casadó | 23 | 45 | 29
EDGE Iñigo Martínez | Pedri | 43 | 45 | 56
EDGE Iñigo Martínez | Fermín López | 13 | 45 | 19
EDGE Iñigo Martínez | Raphinha | 41 | 45 | 53
EDGE Iñigo Martínez | Lamine Yamal | 38 | 45 | 51
EDGE Iñigo Martínez | Robert Lewandowski | 36 | 45 | 47
EDGE Iñigo Martínez | Wojciech Szczesny | 20 | 45 | 30
EDGE Iñigo Martínez | Ronald Araujo | 6 | 45 | 17
EDGE Iñigo Martínez | Gerard Martín | 13 | 45 | 19
EDGE Iñigo Martínez | Eric García | 12 | 45 | 19
EDGE Iñigo Martínez | Gavi | 11 | 45 | 20
EDGE Iñigo Martínez | Marc-André ter Stegen | 8 | 45 | 9
EDGE Iñigo Martínez | Sergi Domínguez | 1 | 45 | 2
EDGE Iñigo Martínez | Pablo Torre | 4 | 45 | 5
EDGE Iñigo Martínez | Dani Olmo | 19 | 45 | 22
EDGE Iñigo Martínez | Ferran Torres | 15 | 45 | 19
EDGE Iñigo Martínez | Frenkie de Jong | 16 | 45 | 23
EDGE Iñigo Martínez | Héctor Fort | 4 | 45 | 5
EDGE Iñigo Martínez | Ansu Fati | 2 | 45 | 3
EDGE Iñigo Martínez | Marc Bernal | 3 | 45 | 3
EDGE Pau Cubarsí | Alejandro Balde | 34 | 48 | 40
EDGE Pau Cubarsí | Jules Koundé | 41 | 48 | 50
EDGE Pau Cubarsí | Marc Casadó | 28 | 48 | 29
EDGE Pau Cubarsí | Pedri | 44 | 48 | 56
EDGE Pau Cubarsí | Fermín López | 15 | 48 | 19
EDGE Pau Cubarsí | Raphinha | 46 | 48 | 53
EDGE Pau Cubarsí | Lamine Yamal | 41 | 48 | 51
EDGE Pau Cubarsí | Robert Lewandowski | 38 | 48 | 47
EDGE Pau Cubarsí | Ronald Araujo | 8 | 48 | 17
EDGE Pau Cubarsí | Gerard Martín | 14 | 48 | 19
EDGE Pau Cubarsí | Frenkie de Jong | 17 | 48 | 23
EDGE Pau Cubarsí | Gavi | 14 | 48 | 20
EDGE Pau Cubarsí | Dani Olmo | 17 | 48 | 22
EDGE Pau Cubarsí | Marc-André ter Stegen | 7 | 48 | 9
EDGE Pau Cubarsí | Ferran Torres | 17 | 48 | 19
EDGE Pau Cubarsí | Wojciech Szczesny | 21 | 48 | 30
EDGE Pau Cubarsí | Eric García | 10 | 48 | 19
EDGE Pau Cubarsí | Héctor Fort | 3 | 48 | 5
EDGE Pau Cubarsí | Ansu Fati | 1 | 48 | 3
EDGE Pau Cubarsí | Sergi Domínguez | 1 | 48 | 2
EDGE Pau Cubarsí | Pablo Torre | 3 | 48 | 5
EDGE Pau Cubarsí | Pau Víctor | 1 | 48 | 2
EDGE Pau Cubarsí | Marc Bernal | 3 | 48 | 3
EDGE Alejandro Balde | Jules Koundé | 36 | 40 | 50
EDGE Alejandro Balde | Marc Casadó | 25 | 40 | 29
EDGE Alejandro Balde | Pedri | 37 | 40 | 56
EDGE Alejandro Balde | Fermín López | 12 | 40 | 19
EDGE Alejandro Balde | Raphinha | 38 | 40 | 53
EDGE Alejandro Balde | Lamine Yamal | 37 | 40 | 51
EDGE Alejandro Balde | Robert Lewandowski | 34 | 40 | 47
EDGE Alejandro Balde | Marc-André ter Stegen | 5 | 40 | 9
EDGE Alejandro Balde | Dani Olmo | 12 | 40 | 22
EDGE Alejandro Balde | Ferran Torres | 11 | 40 | 19
EDGE Alejandro Balde | Eric García | 10 | 40 | 19
EDGE Alejandro Balde | Wojciech Szczesny | 19 | 40 | 30
EDGE Alejandro Balde | Frenkie de Jong | 13 | 40 | 23
EDGE Alejandro Balde | Héctor Fort | 3 | 40 | 5
EDGE Alejandro Balde | Ronald Araujo | 9 | 40 | 17
EDGE Alejandro Balde | Gavi | 13 | 40 | 20
EDGE Alejandro Balde | Ansu Fati | 1 | 40 | 3
EDGE Alejandro Balde | Marc Bernal | 2 | 40 | 3
EDGE Alejandro Balde | Pablo Torre | 2 | 40 | 5
EDGE Jules Koundé | Marc Casadó | 27 | 50 | 29
