# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Sergio Ramos | 40 | 47 | 45
EDGE Iker Casillas | Iván Helguera | 24 | 47 | 25
EDGE Iker Casillas | Roberto Carlos | 44 | 47 | 45
EDGE Iker Casillas | Míchel Salgado | 30 | 47 | 33
EDGE Iker Casillas | Pablo García | 20 | 47 | 21
EDGE Iker Casillas | David Beckham | 39 | 47 | 42
EDGE Iker Casillas | Guti | 33 | 47 | 37
EDGE Iker Casillas | Júlio Baptista | 31 | 47 | 35
EDGE Iker Casillas | Robinho | 39 | 47 | 44
EDGE Iker Casillas | Raúl | 24 | 47 | 25
EDGE Iker Casillas | Francisco Pavón | 11 | 47 | 12
EDGE Iker Casillas | Carlos Diogo | 10 | 47 | 12
EDGE Iker Casillas | Zinédine Zidane | 30 | 47 | 30
EDGE Iker Casillas | Ronaldo | 25 | 47 | 25
EDGE Iker Casillas | Jonathan Woodgate | 11 | 47 | 11
EDGE Iker Casillas | Thomas Gravesen | 16 | 47 | 20
EDGE Iker Casillas | Cicinho | 18 | 47 | 19
EDGE Iker Casillas | Álvaro Mejía | 12 | 47 | 15
EDGE Iker Casillas | Antonio Cassano | 4 | 47 | 4
EDGE Iker Casillas | Raúl Bravo | 9 | 47 | 13
EDGE Sergio Ramos | Iván Helguera | 20 | 45 | 25
EDGE Sergio Ramos | Roberto Carlos | 38 | 45 | 45
EDGE Sergio Ramos | Míchel Salgado | 28 | 45 | 33
EDGE Sergio Ramos | Pablo García | 18 | 45 | 21
EDGE Sergio Ramos | David Beckham | 35 | 45 | 42
EDGE Sergio Ramos | Guti | 33 | 45 | 37
EDGE Sergio Ramos | Júlio Baptista | 31 | 45 | 35
EDGE Sergio Ramos | Robinho | 39 | 45 | 44
EDGE Sergio Ramos | Raúl | 22 | 45 | 25
EDGE Sergio Ramos | Francisco Pavón | 8 | 45 | 12
EDGE Sergio Ramos | Carlos Diogo | 11 | 45 | 12
EDGE Sergio Ramos | Zinédine Zidane | 25 | 45 | 30
EDGE Sergio Ramos | Ronaldo | 20 | 45 | 25
EDGE Sergio Ramos | Jonathan Woodgate | 8 | 45 | 11
EDGE Sergio Ramos | Cicinho | 18 | 45 | 19
EDGE Sergio Ramos | Álvaro Mejía | 14 | 45 | 15
EDGE Sergio Ramos | Antonio Cassano | 3 | 45 | 4
EDGE Sergio Ramos | Thomas Gravesen | 15 | 45 | 20
EDGE Sergio Ramos | Raúl Bravo | 12 | 45 | 13
EDGE Sergio Ramos | Diego López | 5 | 45 | 5
EDGE Sergio Ramos | Roberto Soldado | 5 | 45 | 5
EDGE Sergio Ramos | Rubén de la Red | 1 | 45 | 1
EDGE Sergio Ramos | Javier Balboa | 1 | 45 | 1
EDGE Iván Helguera | Roberto Carlos | 24 | 25 | 45
EDGE Iván Helguera | Míchel Salgado | 17 | 25 | 33
EDGE Iván Helguera | Pablo García | 15 | 25 | 21
EDGE Iván Helguera | David Beckham | 21 | 25 | 42
EDGE Iván Helguera | Guti | 17 | 25 | 37
EDGE Iván Helguera | Júlio Baptista | 17 | 25 | 35
EDGE Iván Helguera | Robinho | 20 | 25 | 44
EDGE Iván Helguera | Raúl | 12 | 25 | 25
EDGE Iván Helguera | Francisco Pavón | 8 | 25 | 12
EDGE Iván Helguera | Carlos Diogo | 7 | 25 | 12
EDGE Iván Helguera | Zinédine Zidane | 14 | 25 | 30
EDGE Iván Helguera | Ronaldo | 13 | 25 | 25
EDGE Iván Helguera | Thomas Gravesen | 8 | 25 | 20
EDGE Iván Helguera | Cicinho | 3 | 25 | 19
EDGE Iván Helguera | Raúl Bravo | 2 | 25 | 13
EDGE Iván Helguera | Antonio Cassano | 2 | 25 | 4
EDGE Iván Helguera | Diego López | 1 | 25 | 5
EDGE Iván Helguera | Roberto Soldado | 1 | 25 | 5
EDGE Iván Helguera | Jonathan Woodgate | 4 | 25 | 11
EDGE Roberto Carlos | Míchel Salgado | 29 | 45 | 33
EDGE Roberto Carlos | Pablo García | 21 | 45 | 21
EDGE Roberto Carlos | David Beckham | 39 | 45 | 42
EDGE Roberto Carlos | Guti | 31 | 45 | 37
EDGE Roberto Carlos | Júlio Baptista | 28 | 45 | 35
EDGE Roberto Carlos | Robinho | 38 | 45 | 44
