# Graph for Java/GraphStream
# Nodes: 28
# Edges: 287

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Fabio Cannavaro | 38 | 45 | 38
EDGE Iker Casillas | Sergio Ramos | 39 | 45 | 42
EDGE Iker Casillas | Roberto Carlos | 29 | 45 | 31
EDGE Iker Casillas | Miguel Torres | 19 | 45 | 23
EDGE Iker Casillas | Mahamadou Diarra | 36 | 45 | 41
EDGE Iker Casillas | Fernando Gago | 15 | 45 | 17
EDGE Iker Casillas | David Beckham | 16 | 45 | 19
EDGE Iker Casillas | Robinho | 23 | 45 | 25
EDGE Iker Casillas | Raúl | 39 | 45 | 39
EDGE Iker Casillas | Ruud van Nistelrooy | 43 | 45 | 46
EDGE Iker Casillas | Míchel Salgado | 15 | 45 | 16
EDGE Iker Casillas | Emerson | 33 | 45 | 33
EDGE Iker Casillas | José Antonio Reyes | 15 | 45 | 19
EDGE Iker Casillas | Antonio Cassano | 6 | 45 | 8
EDGE Iker Casillas | Iván Helguera | 26 | 45 | 28
EDGE Iker Casillas | Guti | 26 | 45 | 26
EDGE Iker Casillas | Gonzalo Higuaín | 15 | 45 | 17
EDGE Iker Casillas | Raúl Bravo | 3 | 45 | 6
EDGE Iker Casillas | Cicinho | 6 | 45 | 6
EDGE Iker Casillas | Ronaldo | 3 | 45 | 6
EDGE Iker Casillas | Álvaro Mejía | 4 | 45 | 7
EDGE Iker Casillas | Marcelo | 1 | 45 | 1
EDGE Fabio Cannavaro | Sergio Ramos | 33 | 38 | 42
EDGE Fabio Cannavaro | Roberto Carlos | 25 | 38 | 31
EDGE Fabio Cannavaro | Miguel Torres | 14 | 38 | 23
EDGE Fabio Cannavaro | Mahamadou Diarra | 30 | 38 | 41
EDGE Fabio Cannavaro | Fernando Gago | 11 | 38 | 17
EDGE Fabio Cannavaro | David Beckham | 14 | 38 | 19
EDGE Fabio Cannavaro | Robinho | 21 | 38 | 25
EDGE Fabio Cannavaro | Raúl | 34 | 38 | 39
EDGE Fabio Cannavaro | Ruud van Nistelrooy | 36 | 38 | 46
EDGE Fabio Cannavaro | Míchel Salgado | 11 | 38 | 16
EDGE Fabio Cannavaro | Emerson | 30 | 38 | 33
EDGE Fabio Cannavaro | José Antonio Reyes | 12 | 38 | 19
EDGE Fabio Cannavaro | Antonio Cassano | 5 | 38 | 8
EDGE Fabio Cannavaro | Iván Helguera | 20 | 38 | 28
EDGE Fabio Cannavaro | Guti | 22 | 38 | 26
EDGE Fabio Cannavaro | Gonzalo Higuaín | 10 | 38 | 17
EDGE Fabio Cannavaro | Raúl Bravo | 2 | 38 | 6
EDGE Fabio Cannavaro | Cicinho | 6 | 38 | 6
EDGE Fabio Cannavaro | Ronaldo | 3 | 38 | 6
EDGE Fabio Cannavaro | Álvaro Mejía | 2 | 38 | 7
EDGE Fabio Cannavaro | Marcelo | 1 | 38 | 1
EDGE Sergio Ramos | Roberto Carlos | 27 | 42 | 31
EDGE Sergio Ramos | Miguel Torres | 17 | 42 | 23
EDGE Sergio Ramos | Mahamadou Diarra | 35 | 42 | 41
EDGE Sergio Ramos | Fernando Gago | 14 | 42 | 17
EDGE Sergio Ramos | David Beckham | 14 | 42 | 19
EDGE Sergio Ramos | Robinho | 25 | 42 | 25
EDGE Sergio Ramos | Raúl | 34 | 42 | 39
EDGE Sergio Ramos | Ruud van Nistelrooy | 41 | 42 | 46
EDGE Sergio Ramos | Míchel Salgado | 12 | 42 | 16
EDGE Sergio Ramos | Emerson | 30 | 42 | 33
EDGE Sergio Ramos | José Antonio Reyes | 16 | 42 | 19
EDGE Sergio Ramos | Antonio Cassano | 3 | 42 | 8
EDGE Sergio Ramos | Iván Helguera | 23 | 42 | 28
EDGE Sergio Ramos | Gonzalo Higuaín | 13 | 42 | 17
EDGE Sergio Ramos | Guti | 22 | 42 | 26
EDGE Sergio Ramos | Cicinho | 6 | 42 | 6
EDGE Sergio Ramos | Ronaldo | 4 | 42 | 6
EDGE Sergio Ramos | Álvaro Mejía | 4 | 42 | 7
EDGE Sergio Ramos | Diego López | 3 | 42 | 5
EDGE Sergio Ramos | Francisco Pavón | 1 | 42 | 2
EDGE Sergio Ramos | Raúl Bravo | 2 | 42 | 6
EDGE Sergio Ramos | Javi García | 1 | 42 | 2
EDGE Sergio Ramos | Marcelo | 1 | 42 | 1
EDGE Roberto Carlos | Miguel Torres | 7 | 31 | 23
EDGE Roberto Carlos | Mahamadou Diarra | 26 | 31 | 41
