# Graph for Java/GraphStream
# Nodes: 25
# Edges: 273

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Pepe | 21 | 46 | 23
EDGE Iker Casillas | Fabio Cannavaro | 39 | 46 | 42
EDGE Iker Casillas | Miguel Torres | 16 | 46 | 18
EDGE Iker Casillas | Sergio Ramos | 40 | 46 | 45
EDGE Iker Casillas | Mahamadou Diarra | 31 | 46 | 33
EDGE Iker Casillas | Royston Drenthe | 8 | 46 | 10
EDGE Iker Casillas | Wesley Sneijder | 31 | 46 | 34
EDGE Iker Casillas | Raúl | 45 | 46 | 47
EDGE Iker Casillas | Robinho | 32 | 46 | 35
EDGE Iker Casillas | Ruud van Nistelrooy | 28 | 46 | 30
EDGE Iker Casillas | Míchel Salgado | 8 | 46 | 12
EDGE Iker Casillas | Guti | 32 | 46 | 38
EDGE Iker Casillas | Marcelo | 28 | 46 | 32
EDGE Iker Casillas | Fernando Gago | 28 | 46 | 32
EDGE Iker Casillas | Júlio Baptista | 15 | 46 | 16
EDGE Iker Casillas | Arjen Robben | 14 | 46 | 16
EDGE Iker Casillas | Gabriel Heinze | 21 | 46 | 23
EDGE Iker Casillas | Javier Saviola | 5 | 46 | 7
EDGE Iker Casillas | Christoph Metzelder | 9 | 46 | 11
EDGE Iker Casillas | Gonzalo Higuaín | 7 | 46 | 12
EDGE Iker Casillas | Javier Balboa | 1 | 46 | 2
EDGE Iker Casillas | Roberto Soldado | 1 | 46 | 2
EDGE Pepe | Fabio Cannavaro | 17 | 23 | 42
EDGE Pepe | Miguel Torres | 9 | 23 | 18
EDGE Pepe | Sergio Ramos | 18 | 23 | 45
EDGE Pepe | Mahamadou Diarra | 17 | 23 | 33
EDGE Pepe | Royston Drenthe | 3 | 23 | 10
EDGE Pepe | Wesley Sneijder | 18 | 23 | 34
EDGE Pepe | Raúl | 23 | 23 | 47
EDGE Pepe | Robinho | 20 | 23 | 35
EDGE Pepe | Ruud van Nistelrooy | 12 | 23 | 30
EDGE Pepe | Gabriel Heinze | 9 | 23 | 23
EDGE Pepe | Fernando Gago | 13 | 23 | 32
EDGE Pepe | Arjen Robben | 4 | 23 | 16
EDGE Pepe | Marcelo | 12 | 23 | 32
EDGE Pepe | Guti | 14 | 23 | 38
