# Graph for Java/GraphStream
# Nodes: 27
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Gabriel Heinze | 33 | 47 | 34
EDGE Iker Casillas | Pepe | 32 | 47 | 32
EDGE Iker Casillas | Marcelo | 27 | 47 | 30
EDGE Iker Casillas | Sergio Ramos | 40 | 47 | 41
EDGE Iker Casillas | Mahamadou Diarra | 11 | 47 | 12
EDGE Iker Casillas | Rubén de la Red | 7 | 47 | 8
EDGE Iker Casillas | Rafael van der Vaart | 20 | 47 | 22
EDGE Iker Casillas | Raúl | 43 | 47 | 45
EDGE Iker Casillas | Arjen Robben | 30 | 47 | 31
EDGE Iker Casillas | Ruud van Nistelrooy | 12 | 47 | 12
EDGE Iker Casillas | Fabio Cannavaro | 35 | 47 | 37
EDGE Iker Casillas | Fernando Gago | 29 | 47 | 31
EDGE Iker Casillas | Wesley Sneijder | 22 | 47 | 23
EDGE Iker Casillas | Gonzalo Higuaín | 35 | 47 | 37
EDGE Iker Casillas | Lassana Diarra | 21 | 47 | 21
EDGE Iker Casillas | Klaas-Jan Huntelaar | 13 | 47 | 13
EDGE Iker Casillas | Miguel Torres | 12 | 47 | 12
EDGE Iker Casillas | Christoph Metzelder | 9 | 47 | 11
EDGE Iker Casillas | Guti | 17 | 47 | 19
EDGE Iker Casillas | Royston Drenthe | 7 | 47 | 9
EDGE Iker Casillas | Javier Saviola | 2 | 47 | 4
EDGE Iker Casillas | Javi García | 4 | 47 | 4
EDGE Iker Casillas | Míchel Salgado | 7 | 47 | 10
EDGE Iker Casillas | Gary Kagelmacher | 1 | 47 | 1
EDGE Iker Casillas | Robinho | 1 | 47 | 1
EDGE Gabriel Heinze | Pepe | 24 | 34 | 32
EDGE Gabriel Heinze | Marcelo | 16 | 34 | 30
EDGE Gabriel Heinze | Sergio Ramos | 30 | 34 | 41
EDGE Gabriel Heinze | Mahamadou Diarra | 10 | 34 | 12
EDGE Gabriel Heinze | Rubén de la Red | 6 | 34 | 8
EDGE Gabriel Heinze | Rafael van der Vaart | 12 | 34 | 22
EDGE Gabriel Heinze | Raúl | 31 | 34 | 45
EDGE Gabriel Heinze | Arjen Robben | 23 | 34 | 31
EDGE Gabriel Heinze | Ruud van Nistelrooy | 10 | 34 | 12
EDGE Gabriel Heinze | Fabio Cannavaro | 26 | 34 | 37
EDGE Gabriel Heinze | Fernando Gago | 19 | 34 | 31
EDGE Gabriel Heinze | Wesley Sneijder | 17 | 34 | 23
EDGE Gabriel Heinze | Gonzalo Higuaín | 23 | 34 | 37
EDGE Gabriel Heinze | Miguel Torres | 5 | 34 | 12
EDGE Gabriel Heinze | Guti | 10 | 34 | 19
EDGE Gabriel Heinze | Royston Drenthe | 4 | 34 | 9
EDGE Gabriel Heinze | Javier Saviola | 2 | 34 | 4
EDGE Gabriel Heinze | Javi García | 4 | 34 | 4
EDGE Gabriel Heinze | Christoph Metzelder | 4 | 34 | 11
EDGE Gabriel Heinze | Lassana Diarra | 17 | 34 | 21
EDGE Gabriel Heinze | Klaas-Jan Huntelaar | 9 | 34 | 13
EDGE Gabriel Heinze | Míchel Salgado | 3 | 34 | 10
EDGE Gabriel Heinze | Jerzy Dudek | 1 | 34 | 3
EDGE Gabriel Heinze | Robinho | 1 | 34 | 1
EDGE Pepe | Marcelo | 15 | 32 | 30
EDGE Pepe | Sergio Ramos | 28 | 32 | 41
EDGE Pepe | Mahamadou Diarra | 9 | 32 | 12
EDGE Pepe | Rubén de la Red | 6 | 32 | 8
EDGE Pepe | Rafael van der Vaart | 11 | 32 | 22
EDGE Pepe | Raúl | 30 | 32 | 45
EDGE Pepe | Arjen Robben | 21 | 32 | 31
EDGE Pepe | Ruud van Nistelrooy | 9 | 32 | 12
EDGE Pepe | Fabio Cannavaro | 22 | 32 | 37
EDGE Pepe | Fernando Gago | 19 | 32 | 31
EDGE Pepe | Wesley Sneijder | 19 | 32 | 23
EDGE Pepe | Gonzalo Higuaín | 25 | 32 | 37
EDGE Pepe | Lassana Diarra | 15 | 32 | 21
EDGE Pepe | Klaas-Jan Huntelaar | 10 | 32 | 13
EDGE Pepe | Miguel Torres | 7 | 32 | 12
EDGE Pepe | Christoph Metzelder | 3 | 32 | 11
EDGE Pepe | Guti | 8 | 32 | 19
EDGE Pepe | Royston Drenthe | 3 | 32 | 9
EDGE Pepe | Javier Saviola | 2 | 32 | 4
EDGE Pepe | Míchel Salgado | 2 | 32 | 10
EDGE Marcelo | Sergio Ramos | 23 | 30 | 41
EDGE Marcelo | Mahamadou Diarra | 6 | 30 | 12
EDGE Marcelo | Rubén de la Red | 4 | 30 | 8
EDGE Marcelo | Rafael van der Vaart | 14 | 30 | 22
EDGE Marcelo | Raúl | 26 | 30 | 45
EDGE Marcelo | Arjen Robben | 18 | 30 | 31
EDGE Marcelo | Ruud van Nistelrooy | 6 | 30 | 12
EDGE Marcelo | Fabio Cannavaro | 21 | 30 | 37
EDGE Marcelo | Lassana Diarra | 11 | 30 | 21
EDGE Marcelo | Fernando Gago | 20 | 30 | 31
