# Graph for Java/GraphStream
# Nodes: 23
# Edges: 230

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Raúl Albiol | 40 | 46 | 42
EDGE Iker Casillas | Ezequiel Garay | 20 | 46 | 20
EDGE Iker Casillas | Marcelo | 40 | 46 | 40
EDGE Iker Casillas | Sergio Ramos | 40 | 46 | 40
EDGE Iker Casillas | Fernando Gago | 15 | 46 | 16
EDGE Iker Casillas | Xabi Alonso | 41 | 46 | 41
EDGE Iker Casillas | Esteban Granero | 24 | 46 | 25
EDGE Iker Casillas | Rafael van der Vaart | 17 | 46 | 18
EDGE Iker Casillas | Cristiano Ronaldo | 33 | 46 | 33
EDGE Iker Casillas | Gonzalo Higuaín | 34 | 46 | 35
EDGE Iker Casillas | Pepe | 16 | 46 | 17
EDGE Iker Casillas | Álvaro Arbeloa | 36 | 46 | 38
EDGE Iker Casillas | Lassana Diarra | 25 | 46 | 26
EDGE Iker Casillas | Kaká | 28 | 46 | 29
EDGE Iker Casillas | Karim Benzema | 17 | 46 | 18
EDGE Iker Casillas | Raúl | 11 | 46 | 13
EDGE Iker Casillas | Guti | 12 | 46 | 13
EDGE Iker Casillas | Royston Drenthe | 4 | 46 | 5
EDGE Iker Casillas | Mahamadou Diarra | 5 | 46 | 7
EDGE Iker Casillas | Christoph Metzelder | 2 | 46 | 3
EDGE Raúl Albiol | Ezequiel Garay | 14 | 42 | 20
EDGE Raúl Albiol | Marcelo | 34 | 42 | 40
EDGE Raúl Albiol | Sergio Ramos | 35 | 42 | 40
EDGE Raúl Albiol | Fernando Gago | 15 | 42 | 16
EDGE Raúl Albiol | Xabi Alonso | 35 | 42 | 41
EDGE Raúl Albiol | Esteban Granero | 21 | 42 | 25
EDGE Raúl Albiol | Rafael van der Vaart | 16 | 42 | 18
EDGE Raúl Albiol | Cristiano Ronaldo | 30 | 42 | 33
EDGE Raúl Albiol | Gonzalo Higuaín | 30 | 42 | 35
EDGE Raúl Albiol | Pepe | 14 | 42 | 17
EDGE Raúl Albiol | Álvaro Arbeloa | 33 | 42 | 38
EDGE Raúl Albiol | Lassana Diarra | 23 | 42 | 26
EDGE Raúl Albiol | Kaká | 25 | 42 | 29
EDGE Raúl Albiol | Karim Benzema | 16 | 42 | 18
EDGE Raúl Albiol | Raúl | 12 | 42 | 13
EDGE Raúl Albiol | Guti | 12 | 42 | 13
EDGE Raúl Albiol | Royston Drenthe | 3 | 42 | 5
EDGE Raúl Albiol | Mahamadou Diarra | 6 | 42 | 7
EDGE Raúl Albiol | Christoph Metzelder | 3 | 42 | 3
EDGE Raúl Albiol | Jerzy Dudek | 2 | 42 | 2
EDGE Raúl Albiol | Ruud van Nistelrooy | 1 | 42 | 1
EDGE Ezequiel Garay | Marcelo | 16 | 20 | 40
EDGE Ezequiel Garay | Sergio Ramos | 17 | 20 | 40
EDGE Ezequiel Garay | Fernando Gago | 7 | 20 | 16
EDGE Ezequiel Garay | Xabi Alonso | 17 | 20 | 41
EDGE Ezequiel Garay | Esteban Granero | 9 | 20 | 25
EDGE Ezequiel Garay | Rafael van der Vaart | 8 | 20 | 18
EDGE Ezequiel Garay | Cristiano Ronaldo | 17 | 20 | 33
EDGE Ezequiel Garay | Gonzalo Higuaín | 15 | 20 | 35
EDGE Ezequiel Garay | Álvaro Arbeloa | 16 | 20 | 38
EDGE Ezequiel Garay | Lassana Diarra | 12 | 20 | 26
EDGE Ezequiel Garay | Kaká | 13 | 20 | 29
EDGE Ezequiel Garay | Raúl | 3 | 20 | 13
EDGE Ezequiel Garay | Karim Benzema | 6 | 20 | 18
