# Graph for Java/GraphStream
# Nodes: 24
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Ricardo Carvalho | 11 | 53 | 12
EDGE Iker Casillas | Sergio Ramos | 49 | 53 | 50
EDGE Iker Casillas | Fábio Coentrão | 21 | 53 | 23
EDGE Iker Casillas | Hamit Altıntop | 3 | 53 | 5
EDGE Iker Casillas | Pepe | 44 | 53 | 45
EDGE Iker Casillas | Xabi Alonso | 49 | 53 | 50
EDGE Iker Casillas | Lassana Diarra | 20 | 53 | 21
EDGE Iker Casillas | Cristiano Ronaldo | 52 | 53 | 54
EDGE Iker Casillas | Gonzalo Higuaín | 25 | 53 | 28
EDGE Iker Casillas | Karim Benzema | 36 | 53 | 40
EDGE Iker Casillas | Marcelo | 37 | 53 | 39
EDGE Iker Casillas | Esteban Granero | 7 | 53 | 10
EDGE Iker Casillas | Mesut Özil | 42 | 53 | 44
EDGE Iker Casillas | Kaká | 22 | 53 | 25
EDGE Iker Casillas | Álvaro Arbeloa | 36 | 53 | 37
EDGE Iker Casillas | Sami Khedira | 31 | 53 | 33
EDGE Iker Casillas | Raúl Albiol | 5 | 53 | 8
EDGE Iker Casillas | José Callejón | 7 | 53 | 11
EDGE Iker Casillas | Nuri Şahin | 3 | 53 | 8
EDGE Iker Casillas | Raphaël Varane | 8 | 53 | 13
EDGE Iker Casillas | Ángel Di María | 22 | 53 | 23
EDGE Ricardo Carvalho | Sergio Ramos | 9 | 12 | 50
EDGE Ricardo Carvalho | Fábio Coentrão | 6 | 12 | 23
EDGE Ricardo Carvalho | Hamit Altıntop | 2 | 12 | 5
EDGE Ricardo Carvalho | Pepe | 8 | 12 | 45
EDGE Ricardo Carvalho | Xabi Alonso | 11 | 12 | 50
EDGE Ricardo Carvalho | Lassana Diarra | 2 | 12 | 21
EDGE Ricardo Carvalho | Cristiano Ronaldo | 11 | 12 | 54
EDGE Ricardo Carvalho | Gonzalo Higuaín | 2 | 12 | 28
EDGE Ricardo Carvalho | Karim Benzema | 11 | 12 | 40
EDGE Ricardo Carvalho | Marcelo | 9 | 12 | 39
EDGE Ricardo Carvalho | Esteban Granero | 2 | 12 | 10
EDGE Ricardo Carvalho | Mesut Özil | 9 | 12 | 44
EDGE Ricardo Carvalho | Kaká | 5 | 12 | 25
EDGE Ricardo Carvalho | Álvaro Arbeloa | 3 | 12 | 37
EDGE Ricardo Carvalho | Sami Khedira | 5 | 12 | 33
EDGE Ricardo Carvalho | Ángel Di María | 7 | 12 | 23
EDGE Ricardo Carvalho | Raphaël Varane | 3 | 12 | 13
EDGE Ricardo Carvalho | José Callejón | 1 | 12 | 11
EDGE Ricardo Carvalho | Antonio Adán | 1 | 12 | 5
EDGE Ricardo Carvalho | Raúl Albiol | 1 | 12 | 8
EDGE Ricardo Carvalho | Nuri Şahin | 1 | 12 | 8
EDGE Sergio Ramos | Fábio Coentrão | 22 | 50 | 23
EDGE Sergio Ramos | Hamit Altıntop | 2 | 50 | 5
EDGE Sergio Ramos | Pepe | 41 | 50 | 45
EDGE Sergio Ramos | Xabi Alonso | 46 | 50 | 50
EDGE Sergio Ramos | Lassana Diarra | 19 | 50 | 21
EDGE Sergio Ramos | Cristiano Ronaldo | 48 | 50 | 54
EDGE Sergio Ramos | Gonzalo Higuaín | 24 | 50 | 28
EDGE Sergio Ramos | Karim Benzema | 34 | 50 | 40
EDGE Sergio Ramos | Marcelo | 33 | 50 | 39
EDGE Sergio Ramos | Álvaro Arbeloa | 33 | 50 | 37
EDGE Sergio Ramos | Mesut Özil | 40 | 50 | 44
EDGE Sergio Ramos | Kaká | 20 | 50 | 25
EDGE Sergio Ramos | Sami Khedira | 30 | 50 | 33
EDGE Sergio Ramos | Nuri Şahin | 4 | 50 | 8
EDGE Sergio Ramos | José Callejón | 6 | 50 | 11
EDGE Sergio Ramos | Raphaël Varane | 8 | 50 | 13
EDGE Sergio Ramos | Ángel Di María | 22 | 50 | 23
EDGE Sergio Ramos | Raúl Albiol | 3 | 50 | 8
EDGE Sergio Ramos | Esteban Granero | 6 | 50 | 10
EDGE Sergio Ramos | Antonio Adán | 1 | 50 | 5
EDGE Fábio Coentrão | Hamit Altıntop | 1 | 23 | 5
EDGE Fábio Coentrão | Pepe | 21 | 23 | 45
EDGE Fábio Coentrão | Xabi Alonso | 20 | 23 | 50
EDGE Fábio Coentrão | Lassana Diarra | 9 | 23 | 21
EDGE Fábio Coentrão | Cristiano Ronaldo | 20 | 23 | 54
EDGE Fábio Coentrão | Gonzalo Higuaín | 11 | 23 | 28
EDGE Fábio Coentrão | Karim Benzema | 17 | 23 | 40
EDGE Fábio Coentrão | Álvaro Arbeloa | 13 | 23 | 37
EDGE Fábio Coentrão | Sami Khedira | 12 | 23 | 33
EDGE Fábio Coentrão | Mesut Özil | 18 | 23 | 44
EDGE Fábio Coentrão | José Callejón | 4 | 23 | 11
EDGE Fábio Coentrão | Ángel Di María | 13 | 23 | 23
EDGE Fábio Coentrão | Marcelo | 6 | 23 | 39
EDGE Fábio Coentrão | Kaká | 6 | 23 | 25
EDGE Fábio Coentrão | Esteban Granero | 2 | 23 | 10
EDGE Fábio Coentrão | Nuri Şahin | 3 | 23 | 8
EDGE Fábio Coentrão | Antonio Adán | 2 | 23 | 5
EDGE Fábio Coentrão | Raphaël Varane | 2 | 23 | 13
EDGE Fábio Coentrão | Raúl Albiol | 1 | 23 | 8
EDGE Hamit Altıntop | Pepe | 4 | 5 | 45
EDGE Hamit Altıntop | Xabi Alonso | 2 | 5 | 50
EDGE Hamit Altıntop | Lassana Diarra | 1 | 5 | 21
EDGE Hamit Altıntop | Cristiano Ronaldo | 4 | 5 | 54
EDGE Hamit Altıntop | Gonzalo Higuaín | 3 | 5 | 28
