# Graph for Java/GraphStream
# Nodes: 24
# Edges: 243

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Keylor Navas | Raphaël Varane | 26 | 45 | 29
EDGE Keylor Navas | Nacho Fernández | 10 | 45 | 16
EDGE Keylor Navas | Marcelo | 36 | 45 | 38
EDGE Keylor Navas | Daniel Carvajal | 25 | 45 | 27
EDGE Keylor Navas | Toni Kroos | 40 | 45 | 43
EDGE Keylor Navas | Luka Modrić | 38 | 45 | 41
EDGE Keylor Navas | Isco | 24 | 45 | 30
EDGE Keylor Navas | Cristiano Ronaldo | 42 | 45 | 48
EDGE Keylor Navas | Jesé | 8 | 45 | 11
EDGE Keylor Navas | Karim Benzema | 32 | 45 | 34
EDGE Keylor Navas | Pepe | 25 | 45 | 30
EDGE Keylor Navas | Danilo | 24 | 45 | 28
EDGE Keylor Navas | James Rodríguez | 17 | 45 | 21
EDGE Keylor Navas | Sergio Ramos | 31 | 45 | 33
EDGE Keylor Navas | Casemiro | 21 | 45 | 28
EDGE Keylor Navas | Gareth Bale | 27 | 45 | 29
EDGE Keylor Navas | Lucas Vázquez | 10 | 45 | 13
EDGE Keylor Navas | Borja Mayoral | 3 | 45 | 3
EDGE Keylor Navas | Álvaro Arbeloa | 2 | 45 | 5
EDGE Keylor Navas | Mateo Kovacic | 9 | 45 | 11
EDGE Raphaël Varane | Nacho Fernández | 8 | 29 | 16
EDGE Raphaël Varane | Marcelo | 23 | 29 | 38
EDGE Raphaël Varane | Daniel Carvajal | 14 | 29 | 27
EDGE Raphaël Varane | Toni Kroos | 27 | 29 | 43
EDGE Raphaël Varane | Luka Modrić | 22 | 29 | 41
EDGE Raphaël Varane | Isco | 20 | 29 | 30
EDGE Raphaël Varane | Cristiano Ronaldo | 27 | 29 | 48
EDGE Raphaël Varane | Jesé | 7 | 29 | 11
EDGE Raphaël Varane | Karim Benzema | 20 | 29 | 34
EDGE Raphaël Varane | Pepe | 8 | 29 | 30
EDGE Raphaël Varane | Danilo | 17 | 29 | 28
EDGE Raphaël Varane | James Rodríguez | 12 | 29 | 21
EDGE Raphaël Varane | Sergio Ramos | 16 | 29 | 33
EDGE Raphaël Varane | Casemiro | 13 | 29 | 28
EDGE Raphaël Varane | Lucas Vázquez | 7 | 29 | 13
EDGE Raphaël Varane | Gareth Bale | 11 | 29 | 29
EDGE Raphaël Varane | Borja Mayoral | 2 | 29 | 3
EDGE Raphaël Varane | Mateo Kovacic | 6 | 29 | 11
EDGE Raphaël Varane | Álvaro Arbeloa | 1 | 29 | 5
EDGE Raphaël Varane | Kiko Casilla | 3 | 29 | 7
EDGE Nacho Fernández | Marcelo | 6 | 16 | 38
EDGE Nacho Fernández | Daniel Carvajal | 6 | 16 | 27
EDGE Nacho Fernández | Toni Kroos | 11 | 16 | 43
EDGE Nacho Fernández | Luka Modrić | 10 | 16 | 41
EDGE Nacho Fernández | Isco | 10 | 16 | 30
EDGE Nacho Fernández | Cristiano Ronaldo | 14 | 16 | 48
EDGE Nacho Fernández | Jesé | 5 | 16 | 11
EDGE Nacho Fernández | Karim Benzema | 6 | 16 | 34
EDGE Nacho Fernández | Sergio Ramos | 3 | 16 | 33
EDGE Nacho Fernández | Danilo | 10 | 16 | 28
EDGE Nacho Fernández | Casemiro | 11 | 16 | 28
EDGE Nacho Fernández | James Rodríguez | 8 | 16 | 21
EDGE Nacho Fernández | Lucas Vázquez | 5 | 16 | 13
EDGE Nacho Fernández | Gareth Bale | 8 | 16 | 29
EDGE Nacho Fernández | Borja Mayoral | 2 | 16 | 3
EDGE Nacho Fernández | Kiko Casilla | 6 | 16 | 7
EDGE Nacho Fernández | Pepe | 9 | 16 | 30
EDGE Nacho Fernández | Álvaro Arbeloa | 4 | 16 | 5
EDGE Nacho Fernández | Marcos Llorente | 1 | 16 | 1
EDGE Nacho Fernández | Denis Cheryshev | 1 | 16 | 1
EDGE Nacho Fernández | Mateo Kovacic | 6 | 16 | 11
EDGE Marcelo | Daniel Carvajal | 19 | 38 | 27
EDGE Marcelo | Toni Kroos | 36 | 38 | 43
EDGE Marcelo | Luka Modrić | 33 | 38 | 41
EDGE Marcelo | Isco | 21 | 38 | 30
EDGE Marcelo | Cristiano Ronaldo | 36 | 38 | 48
EDGE Marcelo | Jesé | 9 | 38 | 11
EDGE Marcelo | Karim Benzema | 29 | 38 | 34
EDGE Marcelo | Pepe | 20 | 38 | 30
EDGE Marcelo | Danilo | 19 | 38 | 28
EDGE Marcelo | James Rodríguez | 12 | 38 | 21
EDGE Marcelo | Sergio Ramos | 27 | 38 | 33
EDGE Marcelo | Casemiro | 18 | 38 | 28
EDGE Marcelo | Gareth Bale | 23 | 38 | 29
EDGE Marcelo | Lucas Vázquez | 6 | 38 | 13
EDGE Marcelo | Mateo Kovacic | 5 | 38 | 11
EDGE Marcelo | Kiko Casilla | 2 | 38 | 7
