# Graph for Java/GraphStream
# Nodes: 25
# Edges: 260

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Keylor Navas | Pepe | 11 | 41 | 17
EDGE Keylor Navas | Raphaël Varane | 27 | 41 | 38
EDGE Keylor Navas | Marcelo | 33 | 41 | 43
EDGE Keylor Navas | Danilo | 14 | 41 | 24
EDGE Keylor Navas | Toni Kroos | 33 | 41 | 46
EDGE Keylor Navas | James Rodríguez | 12 | 41 | 20
EDGE Keylor Navas | Marco Asensio | 5 | 41 | 19
EDGE Keylor Navas | Cristiano Ronaldo | 38 | 41 | 46
EDGE Keylor Navas | Gareth Bale | 17 | 41 | 24
EDGE Keylor Navas | Karim Benzema | 33 | 41 | 38
EDGE Keylor Navas | Sergio Ramos | 31 | 41 | 44
EDGE Keylor Navas | Daniel Carvajal | 28 | 41 | 38
EDGE Keylor Navas | Mateo Kovacic | 14 | 41 | 23
EDGE Keylor Navas | Luka Modrić | 29 | 41 | 37
EDGE Keylor Navas | Isco | 19 | 41 | 27
EDGE Keylor Navas | Lucas Vázquez | 11 | 41 | 20
EDGE Keylor Navas | Nacho Fernández | 21 | 41 | 33
EDGE Keylor Navas | Fábio Coentrão | 1 | 41 | 3
EDGE Keylor Navas | Álvaro Morata | 7 | 41 | 19
EDGE Keylor Navas | Casemiro | 26 | 41 | 37
EDGE Pepe | Raphaël Varane | 7 | 17 | 38
EDGE Pepe | Marcelo | 8 | 17 | 43
EDGE Pepe | Danilo | 9 | 17 | 24
EDGE Pepe | Toni Kroos | 13 | 17 | 46
EDGE Pepe | James Rodríguez | 7 | 17 | 20
EDGE Pepe | Marco Asensio | 6 | 17 | 19
EDGE Pepe | Cristiano Ronaldo | 12 | 17 | 46
EDGE Pepe | Gareth Bale | 10 | 17 | 24
EDGE Pepe | Karim Benzema | 12 | 17 | 38
EDGE Pepe | Kiko Casilla | 6 | 17 | 19
EDGE Pepe | Nacho Fernández | 8 | 17 | 33
EDGE Pepe | Daniel Carvajal | 10 | 17 | 38
EDGE Pepe | Isco | 9 | 17 | 27
EDGE Pepe | Lucas Vázquez | 5 | 17 | 20
EDGE Pepe | Álvaro Morata | 4 | 17 | 19
EDGE Pepe | Sergio Ramos | 8 | 17 | 44
EDGE Pepe | Casemiro | 7 | 17 | 37
EDGE Pepe | Luka Modrić | 8 | 17 | 37
EDGE Pepe | Mateo Kovacic | 7 | 17 | 23
EDGE Pepe | Álvaro Tejero | 1 | 17 | 1
EDGE Pepe | Martin Ødegaard | 1 | 17 | 1
EDGE Pepe | Mariano Díaz | 1 | 17 | 2
EDGE Raphaël Varane | Marcelo | 30 | 38 | 43
EDGE Raphaël Varane | Danilo | 14 | 38 | 24
EDGE Raphaël Varane | Toni Kroos | 31 | 38 | 46
EDGE Raphaël Varane | James Rodríguez | 9 | 38 | 20
EDGE Raphaël Varane | Marco Asensio | 9 | 38 | 19
EDGE Raphaël Varane | Cristiano Ronaldo | 33 | 38 | 46
EDGE Raphaël Varane | Gareth Bale | 16 | 38 | 24
EDGE Raphaël Varane | Karim Benzema | 26 | 38 | 38
EDGE Raphaël Varane | Sergio Ramos | 24 | 38 | 44
EDGE Raphaël Varane | Daniel Carvajal | 25 | 38 | 38
EDGE Raphaël Varane | Mateo Kovacic | 16 | 38 | 23
EDGE Raphaël Varane | Luka Modrić | 24 | 38 | 37
EDGE Raphaël Varane | Isco | 19 | 38 | 27
EDGE Raphaël Varane | Lucas Vázquez | 12 | 38 | 20
EDGE Raphaël Varane | Nacho Fernández | 15 | 38 | 33
EDGE Raphaël Varane | Fábio Coentrão | 1 | 38 | 3
EDGE Raphaël Varane | Álvaro Morata | 10 | 38 | 19
EDGE Raphaël Varane | Casemiro | 21 | 38 | 37
EDGE Raphaël Varane | Kiko Casilla | 11 | 38 | 19
EDGE Marcelo | Danilo | 11 | 43 | 24
EDGE Marcelo | Toni Kroos | 34 | 43 | 46
EDGE Marcelo | James Rodríguez | 11 | 43 | 20
EDGE Marcelo | Marco Asensio | 10 | 43 | 19
EDGE Marcelo | Cristiano Ronaldo | 35 | 43 | 46
EDGE Marcelo | Gareth Bale | 18 | 43 | 24
EDGE Marcelo | Karim Benzema | 30 | 43 | 38
EDGE Marcelo | Sergio Ramos | 33 | 43 | 44
EDGE Marcelo | Daniel Carvajal | 31 | 43 | 38
EDGE Marcelo | Mateo Kovacic | 13 | 43 | 23
EDGE Marcelo | Luka Modrić | 31 | 43 | 37
EDGE Marcelo | Isco | 19 | 43 | 27
EDGE Marcelo | Lucas Vázquez | 13 | 43 | 20
EDGE Marcelo | Nacho Fernández | 18 | 43 | 33
