# Graph for Java/GraphStream
# Nodes: 27
# Edges: 289

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Kiko Casilla | Sergio Ramos | 10 | 17 | 42
EDGE Kiko Casilla | Raphaël Varane | 7 | 17 | 44
EDGE Kiko Casilla | Theo Hernández | 10 | 17 | 17
EDGE Kiko Casilla | Daniel Carvajal | 8 | 17 | 40
EDGE Kiko Casilla | Casemiro | 9 | 17 | 45
EDGE Kiko Casilla | Mateo Kovacic | 6 | 17 | 21
EDGE Kiko Casilla | Isco | 8 | 17 | 36
EDGE Kiko Casilla | Marco Asensio | 12 | 17 | 28
EDGE Kiko Casilla | Lucas Vázquez | 11 | 17 | 27
EDGE Kiko Casilla | Karim Benzema | 12 | 17 | 39
EDGE Kiko Casilla | Nacho Fernández | 11 | 17 | 34
EDGE Kiko Casilla | Achraf Hakimi | 6 | 17 | 14
EDGE Kiko Casilla | Marcos Llorente | 8 | 17 | 11
EDGE Kiko Casilla | Toni Kroos | 8 | 17 | 40
EDGE Kiko Casilla | Marcelo | 8 | 17 | 42
EDGE Kiko Casilla | Luka Modrić | 5 | 17 | 38
EDGE Kiko Casilla | Dani Ceballos | 7 | 17 | 9
EDGE Kiko Casilla | Cristiano Ronaldo | 8 | 17 | 42
EDGE Kiko Casilla | Jesús Vallejo | 8 | 17 | 12
EDGE Kiko Casilla | Borja Mayoral | 5 | 17 | 9
EDGE Kiko Casilla | Gareth Bale | 2 | 17 | 26
EDGE Kiko Casilla | Álvaro Tejero | 1 | 17 | 2
EDGE Sergio Ramos | Raphaël Varane | 31 | 42 | 44
EDGE Sergio Ramos | Theo Hernández | 9 | 42 | 17
EDGE Sergio Ramos | Daniel Carvajal | 28 | 42 | 40
EDGE Sergio Ramos | Casemiro | 33 | 42 | 45
EDGE Sergio Ramos | Mateo Kovacic | 14 | 42 | 21
EDGE Sergio Ramos | Isco | 29 | 42 | 36
EDGE Sergio Ramos | Marco Asensio | 19 | 42 | 28
EDGE Sergio Ramos | Lucas Vázquez | 17 | 42 | 27
EDGE Sergio Ramos | Karim Benzema | 28 | 42 | 39
EDGE Sergio Ramos | Keylor Navas | 31 | 42 | 44
EDGE Sergio Ramos | Nacho Fernández | 18 | 42 | 34
EDGE Sergio Ramos | Marcelo | 30 | 42 | 42
EDGE Sergio Ramos | Luka Modrić | 27 | 42 | 38
EDGE Sergio Ramos | Gareth Bale | 15 | 42 | 26
EDGE Sergio Ramos | Cristiano Ronaldo | 31 | 42 | 42
EDGE Sergio Ramos | Toni Kroos | 29 | 42 | 40
EDGE Sergio Ramos | Achraf Hakimi | 7 | 42 | 14
EDGE Sergio Ramos | Marcos Llorente | 5 | 42 | 11
EDGE Sergio Ramos | Dani Ceballos | 3 | 42 | 9
EDGE Sergio Ramos | Borja Mayoral | 2 | 42 | 9
EDGE Sergio Ramos | Jesús Vallejo | 3 | 42 | 12
EDGE Sergio Ramos | Luca Zidane | 1 | 42 | 1
EDGE Raphaël Varane | Theo Hernández | 7 | 44 | 17
EDGE Raphaël Varane | Daniel Carvajal | 31 | 44 | 40
EDGE Raphaël Varane | Casemiro | 35 | 44 | 45
EDGE Raphaël Varane | Mateo Kovacic | 13 | 44 | 21
EDGE Raphaël Varane | Isco | 28 | 44 | 36
EDGE Raphaël Varane | Marco Asensio | 16 | 44 | 28
EDGE Raphaël Varane | Lucas Vázquez | 17 | 44 | 27
EDGE Raphaël Varane | Karim Benzema | 27 | 44 | 39
EDGE Raphaël Varane | Keylor Navas | 36 | 44 | 44
EDGE Raphaël Varane | Marcelo | 33 | 44 | 42
EDGE Raphaël Varane | Cristiano Ronaldo | 35 | 44 | 42
EDGE Raphaël Varane | Toni Kroos | 33 | 44 | 40
EDGE Raphaël Varane | Luka Modrić | 33 | 44 | 38
EDGE Raphaël Varane | Gareth Bale | 19 | 44 | 26
EDGE Raphaël Varane | Nacho Fernández | 18 | 44 | 34
EDGE Raphaël Varane | Achraf Hakimi | 7 | 44 | 14
EDGE Raphaël Varane | Marcos Llorente | 2 | 44 | 11
EDGE Raphaël Varane | Dani Ceballos | 3 | 44 | 9
EDGE Raphaël Varane | Borja Mayoral | 4 | 44 | 9
EDGE Raphaël Varane | Jesús Vallejo | 4 | 44 | 12
EDGE Raphaël Varane | Luca Zidane | 1 | 44 | 1
EDGE Theo Hernández | Daniel Carvajal | 9 | 17 | 40
EDGE Theo Hernández | Casemiro | 10 | 17 | 45
EDGE Theo Hernández | Mateo Kovacic | 10 | 17 | 21
EDGE Theo Hernández | Isco | 7 | 17 | 36
EDGE Theo Hernández | Marco Asensio | 12 | 17 | 28
EDGE Theo Hernández | Lucas Vázquez | 12 | 17 | 27
EDGE Theo Hernández | Karim Benzema | 9 | 17 | 39
EDGE Theo Hernández | Keylor Navas | 7 | 17 | 44
EDGE Theo Hernández | Nacho Fernández | 12 | 17 | 34
