# Graph for Java/GraphStream
# Nodes: 26
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Keylor Navas | Sergio Ramos | 13 | 21 | 42
EDGE Keylor Navas | Javi Sánchez | 2 | 21 | 3
EDGE Keylor Navas | Sergio Reguilón | 8 | 21 | 21
EDGE Keylor Navas | Álvaro Odriozola | 7 | 21 | 21
EDGE Keylor Navas | Marcos Llorente | 5 | 21 | 14
EDGE Keylor Navas | Dani Ceballos | 5 | 21 | 19
EDGE Keylor Navas | Marco Asensio | 11 | 21 | 24
EDGE Keylor Navas | Vinicius Junior | 9 | 21 | 20
EDGE Keylor Navas | Lucas Vázquez | 10 | 21 | 29
EDGE Keylor Navas | Karim Benzema | 19 | 21 | 52
EDGE Keylor Navas | Raphaël Varane | 15 | 21 | 42
EDGE Keylor Navas | Nacho Fernández | 11 | 21 | 27
EDGE Keylor Navas | Federico Valverde | 8 | 21 | 10
EDGE Keylor Navas | Luka Modrić | 11 | 21 | 41
EDGE Keylor Navas | Isco | 11 | 21 | 17
EDGE Keylor Navas | Gareth Bale | 8 | 21 | 29
EDGE Keylor Navas | Marcelo | 13 | 21 | 32
EDGE Keylor Navas | Casemiro | 13 | 21 | 38
EDGE Keylor Navas | Toni Kroos | 12 | 21 | 39
EDGE Keylor Navas | Daniel Carvajal | 14 | 21 | 35
EDGE Keylor Navas | Brahim Díaz | 2 | 21 | 5
EDGE Keylor Navas | Jesús Vallejo | 2 | 21 | 6
EDGE Keylor Navas | Mariano Díaz | 1 | 21 | 4
EDGE Sergio Ramos | Javi Sánchez | 1 | 42 | 3
EDGE Sergio Ramos | Sergio Reguilón | 14 | 42 | 21
EDGE Sergio Ramos | Álvaro Odriozola | 16 | 42 | 21
EDGE Sergio Ramos | Marcos Llorente | 10 | 42 | 14
EDGE Sergio Ramos | Dani Ceballos | 16 | 42 | 19
EDGE Sergio Ramos | Marco Asensio | 16 | 42 | 24
EDGE Sergio Ramos | Vinicius Junior | 14 | 42 | 20
EDGE Sergio Ramos | Lucas Vázquez | 23 | 42 | 29
