# Graph for Java/GraphStream
# Nodes: 28
# Edges: 300

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Thibaut Courtois | Sergio Ramos | 21 | 51 | 21
EDGE Thibaut Courtois | Raphaël Varane | 41 | 51 | 41
EDGE Thibaut Courtois | Ferland Mendy | 36 | 51 | 36
EDGE Thibaut Courtois | Lucas Vázquez | 30 | 51 | 31
EDGE Thibaut Courtois | Casemiro | 42 | 51 | 43
EDGE Thibaut Courtois | Toni Kroos | 36 | 51 | 36
EDGE Thibaut Courtois | Federico Valverde | 20 | 51 | 21
EDGE Thibaut Courtois | Vinicius Junior | 30 | 51 | 31
EDGE Thibaut Courtois | Marco Asensio | 29 | 51 | 29
EDGE Thibaut Courtois | Karim Benzema | 43 | 51 | 43
EDGE Thibaut Courtois | Nacho Fernández | 30 | 51 | 30
EDGE Thibaut Courtois | Luka Modrić | 43 | 51 | 43
EDGE Thibaut Courtois | Martin Ødegaard | 5 | 51 | 5
EDGE Thibaut Courtois | Rodrygo | 13 | 51 | 13
EDGE Thibaut Courtois | Éder Militão | 18 | 51 | 19
EDGE Thibaut Courtois | Daniel Carvajal | 13 | 51 | 13
EDGE Thibaut Courtois | Isco | 9 | 51 | 10
EDGE Thibaut Courtois | Álvaro Odriozola | 9 | 51 | 10
EDGE Thibaut Courtois | Eden Hazard | 11 | 51 | 11
EDGE Thibaut Courtois | Marvin Park | 2 | 51 | 2
EDGE Thibaut Courtois | Marcelo | 14 | 51 | 15
EDGE Thibaut Courtois | Mariano Díaz | 6 | 51 | 7
EDGE Thibaut Courtois | Luka Jović | 3 | 51 | 3
EDGE Thibaut Courtois | Miguel Gutiérrez | 3 | 51 | 3
EDGE Thibaut Courtois | Antonio Blanco | 2 | 51 | 2
EDGE Thibaut Courtois | Víctor Chust | 1 | 51 | 2
EDGE Sergio Ramos | Raphaël Varane | 19 | 21 | 41
EDGE Sergio Ramos | Ferland Mendy | 16 | 21 | 36
EDGE Sergio Ramos | Lucas Vázquez | 15 | 21 | 31
EDGE Sergio Ramos | Casemiro | 16 | 21 | 43
EDGE Sergio Ramos | Toni Kroos | 16 | 21 | 36
EDGE Sergio Ramos | Federico Valverde | 12 | 21 | 21
EDGE Sergio Ramos | Vinicius Junior | 12 | 21 | 31
EDGE Sergio Ramos | Marco Asensio | 9 | 21 | 29
EDGE Sergio Ramos | Karim Benzema | 21 | 21 | 43
EDGE Sergio Ramos | Daniel Carvajal | 7 | 21 | 13
EDGE Sergio Ramos | Luka Modrić | 15 | 21 | 43
EDGE Sergio Ramos | Rodrygo | 4 | 21 | 13
