# Graph for Java/GraphStream
# Nodes: 26
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Thibaut Courtois | David Alaba | 44 | 52 | 46
EDGE Thibaut Courtois | Éder Militão | 47 | 52 | 50
EDGE Thibaut Courtois | Ferland Mendy | 32 | 52 | 32
EDGE Thibaut Courtois | Daniel Carvajal | 29 | 52 | 29
EDGE Thibaut Courtois | Casemiro | 43 | 52 | 46
EDGE Thibaut Courtois | Toni Kroos | 37 | 52 | 40
EDGE Thibaut Courtois | Luka Modrić | 40 | 52 | 40
EDGE Thibaut Courtois | Vinicius Junior | 46 | 52 | 47
EDGE Thibaut Courtois | Rodrygo | 21 | 52 | 25
EDGE Thibaut Courtois | Karim Benzema | 45 | 52 | 45
EDGE Thibaut Courtois | Nacho Fernández | 22 | 52 | 26
EDGE Thibaut Courtois | Lucas Vázquez | 23 | 52 | 26
EDGE Thibaut Courtois | Eduardo Camavinga | 13 | 52 | 16
EDGE Thibaut Courtois | Federico Valverde | 26 | 52 | 29
EDGE Thibaut Courtois | Jesús Vallejo | 2 | 52 | 4
EDGE Thibaut Courtois | Marcelo | 5 | 52 | 7
EDGE Thibaut Courtois | Dani Ceballos | 2 | 52 | 2
EDGE Thibaut Courtois | Marco Asensio | 21 | 52 | 23
EDGE Thibaut Courtois | Mariano Díaz | 2 | 52 | 4
EDGE Thibaut Courtois | Eden Hazard | 8 | 52 | 9
EDGE Thibaut Courtois | Miguel Gutiérrez | 4 | 52 | 4
EDGE Thibaut Courtois | Isco | 3 | 52 | 3
EDGE Thibaut Courtois | Gareth Bale | 4 | 52 | 4
EDGE Thibaut Courtois | Luka Jović | 1 | 52 | 3
EDGE David Alaba | Éder Militão | 42 | 46 | 50
EDGE David Alaba | Ferland Mendy | 26 | 46 | 32
EDGE David Alaba | Daniel Carvajal | 24 | 46 | 29
EDGE David Alaba | Casemiro | 38 | 46 | 46
EDGE David Alaba | Toni Kroos | 33 | 46 | 40
EDGE David Alaba | Luka Modrić | 33 | 46 | 40
EDGE David Alaba | Vinicius Junior | 40 | 46 | 47
EDGE David Alaba | Rodrygo | 20 | 46 | 25
EDGE David Alaba | Karim Benzema | 38 | 46 | 45
EDGE David Alaba | Nacho Fernández | 17 | 46 | 26
EDGE David Alaba | Lucas Vázquez | 21 | 46 | 26
EDGE David Alaba | Eduardo Camavinga | 12 | 46 | 16
EDGE David Alaba | Federico Valverde | 24 | 46 | 29
EDGE David Alaba | Andriy Lunin | 2 | 46 | 4
EDGE David Alaba | Marcelo | 6 | 46 | 7
EDGE David Alaba | Luka Jović | 2 | 46 | 3
EDGE David Alaba | Marco Asensio | 18 | 46 | 23
EDGE David Alaba | Miguel Gutiérrez | 3 | 46 | 4
EDGE David Alaba | Isco | 3 | 46 | 3
EDGE David Alaba | Gareth Bale | 4 | 46 | 4
EDGE David Alaba | Eden Hazard | 7 | 46 | 9
EDGE David Alaba | Mariano Díaz | 2 | 46 | 4
EDGE David Alaba | Dani Ceballos | 1 | 46 | 2
EDGE Éder Militão | Ferland Mendy | 28 | 50 | 32
