# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Kepa Arrizabalaga | David Alaba | 10 | 19 | 17
EDGE Kepa Arrizabalaga | Antonio Rüdiger | 16 | 19 | 42
EDGE Kepa Arrizabalaga | Fran García | 10 | 19 | 18
EDGE Kepa Arrizabalaga | Lucas Vázquez | 4 | 19 | 17
EDGE Kepa Arrizabalaga | Eduardo Camavinga | 11 | 19 | 32
EDGE Kepa Arrizabalaga | Toni Kroos | 8 | 19 | 33
EDGE Kepa Arrizabalaga | Federico Valverde | 15 | 19 | 46
EDGE Kepa Arrizabalaga | Luka Modrić | 10 | 19 | 23
EDGE Kepa Arrizabalaga | Jude Bellingham | 16 | 19 | 39
EDGE Kepa Arrizabalaga | Rodrygo | 14 | 19 | 41
EDGE Kepa Arrizabalaga | Nacho Fernández | 11 | 19 | 31
EDGE Kepa Arrizabalaga | Daniel Carvajal | 13 | 19 | 36
EDGE Kepa Arrizabalaga | Aurélien Tchouaméni | 13 | 19 | 29
EDGE Kepa Arrizabalaga | Vinicius Junior | 10 | 19 | 33
EDGE Kepa Arrizabalaga | Joselu | 10 | 19 | 18
EDGE Kepa Arrizabalaga | Ferland Mendy | 6 | 19 | 31
EDGE Kepa Arrizabalaga | Dani Ceballos | 3 | 19 | 8
EDGE Kepa Arrizabalaga | Éder Militão | 1 | 19 | 6
EDGE Kepa Arrizabalaga | Brahim Díaz | 4 | 19 | 22
EDGE Kepa Arrizabalaga | Arda Güler | 2 | 19 | 5
EDGE Kepa Arrizabalaga | Álvaro Carrillo | 1 | 19 | 1
EDGE Kepa Arrizabalaga | Vinícius Tobias | 1 | 19 | 1
EDGE Kepa Arrizabalaga | Nico Paz | 1 | 19 | 1
EDGE David Alaba | Antonio Rüdiger | 14 | 17 | 42
EDGE David Alaba | Fran García | 8 | 17 | 18
EDGE David Alaba | Lucas Vázquez | 5 | 17 | 17
EDGE David Alaba | Eduardo Camavinga | 8 | 17 | 32
EDGE David Alaba | Toni Kroos | 10 | 17 | 33
EDGE David Alaba | Federico Valverde | 15 | 17 | 46
EDGE David Alaba | Luka Modrić | 7 | 17 | 23
EDGE David Alaba | Jude Bellingham | 15 | 17 | 39
EDGE David Alaba | Rodrygo | 16 | 17 | 41
EDGE David Alaba | Andriy Lunin | 7 | 17 | 29
EDGE David Alaba | Ferland Mendy | 8 | 17 | 31
EDGE David Alaba | Brahim Díaz | 6 | 17 | 22
EDGE David Alaba | Daniel Carvajal | 11 | 17 | 36
EDGE David Alaba | Aurélien Tchouaméni | 9 | 17 | 29
EDGE David Alaba | Joselu | 7 | 17 | 18
EDGE David Alaba | Nacho Fernández | 4 | 17 | 31
EDGE David Alaba | Dani Ceballos | 2 | 17 | 8
EDGE David Alaba | Vinicius Junior | 7 | 17 | 33
EDGE David Alaba | Éder Militão | 1 | 17 | 6
EDGE Antonio Rüdiger | Fran García | 12 | 42 | 18
EDGE Antonio Rüdiger | Lucas Vázquez | 13 | 42 | 17
EDGE Antonio Rüdiger | Eduardo Camavinga | 23 | 42 | 32
EDGE Antonio Rüdiger | Toni Kroos | 28 | 42 | 33
EDGE Antonio Rüdiger | Federico Valverde | 38 | 42 | 46
EDGE Antonio Rüdiger | Luka Modrić | 19 | 42 | 23
EDGE Antonio Rüdiger | Jude Bellingham | 34 | 42 | 39
EDGE Antonio Rüdiger | Rodrygo | 34 | 42 | 41
EDGE Antonio Rüdiger | Nacho Fernández | 22 | 42 | 31
