# Graph for Java/GraphStream
# Nodes: 30
# Edges: 311

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Thibaut Courtois | Antonio Rüdiger | 40 | 52 | 49
EDGE Thibaut Courtois | Aurélien Tchouaméni | 44 | 52 | 56
EDGE Thibaut Courtois | Fran García | 26 | 52 | 35
EDGE Thibaut Courtois | Raúl Asencio | 27 | 52 | 35
EDGE Thibaut Courtois | Federico Valverde | 50 | 52 | 61
EDGE Thibaut Courtois | Dani Ceballos | 19 | 52 | 22
EDGE Thibaut Courtois | Jude Bellingham | 44 | 52 | 55
EDGE Thibaut Courtois | Rodrygo | 36 | 52 | 40
EDGE Thibaut Courtois | Brahim Díaz | 16 | 52 | 22
EDGE Thibaut Courtois | Kylian Mbappé | 42 | 52 | 52
EDGE Thibaut Courtois | Dean Huijsen | 5 | 52 | 5
EDGE Thibaut Courtois | Arda Güler | 16 | 52 | 22
EDGE Thibaut Courtois | Trent Alexander-Arnold | 5 | 52 | 5
EDGE Thibaut Courtois | Gonzalo García | 6 | 52 | 6
EDGE Thibaut Courtois | Vinicius Junior | 39 | 52 | 49
EDGE Thibaut Courtois | Ferland Mendy | 22 | 52 | 27
EDGE Thibaut Courtois | Luka Modrić | 16 | 52 | 26
EDGE Thibaut Courtois | Daniel Carvajal | 7 | 52 | 9
EDGE Thibaut Courtois | Lucas Vázquez | 28 | 52 | 37
EDGE Thibaut Courtois | Eduardo Camavinga | 14 | 52 | 22
EDGE Thibaut Courtois | David Alaba | 5 | 52 | 7
EDGE Thibaut Courtois | Éder Militão | 10 | 52 | 14
EDGE Thibaut Courtois | Endrick | 2 | 52 | 8
EDGE Thibaut Courtois | Jacobo Ramón | 1 | 52 | 3
EDGE Antonio Rüdiger | Aurélien Tchouaméni | 40 | 49 | 56
EDGE Antonio Rüdiger | Fran García | 21 | 49 | 35
EDGE Antonio Rüdiger | Raúl Asencio | 19 | 49 | 35
EDGE Antonio Rüdiger | Federico Valverde | 45 | 49 | 61
EDGE Antonio Rüdiger | Dani Ceballos | 16 | 49 | 22
EDGE Antonio Rüdiger | Jude Bellingham | 42 | 49 | 55
EDGE Antonio Rüdiger | Rodrygo | 31 | 49 | 40
EDGE Antonio Rüdiger | Brahim Díaz | 15 | 49 | 22
EDGE Antonio Rüdiger | Kylian Mbappé | 40 | 49 | 52
EDGE Antonio Rüdiger | Dean Huijsen | 3 | 49 | 5
EDGE Antonio Rüdiger | Arda Güler | 12 | 49 | 22
EDGE Antonio Rüdiger | Trent Alexander-Arnold | 3 | 49 | 5
EDGE Antonio Rüdiger | Gonzalo García | 4 | 49 | 6
EDGE Antonio Rüdiger | Vinicius Junior | 38 | 49 | 49
EDGE Antonio Rüdiger | Ferland Mendy | 24 | 49 | 27
EDGE Antonio Rüdiger | Luka Modrić | 17 | 49 | 26
EDGE Antonio Rüdiger | Daniel Carvajal | 8 | 49 | 9
EDGE Antonio Rüdiger | Lucas Vázquez | 28 | 49 | 37
EDGE Antonio Rüdiger | Andriy Lunin | 8 | 49 | 14
EDGE Antonio Rüdiger | Eduardo Camavinga | 17 | 49 | 22
EDGE Antonio Rüdiger | Endrick | 2 | 49 | 8
EDGE Antonio Rüdiger | David Alaba | 3 | 49 | 7
