# Graph for Java/GraphStream
# Nodes: 29
# Edges: 328

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mariano Barbosa | César Arzo | 5 | 16 | 10
EDGE Mariano Barbosa | Juan Manuel Peña | 11 | 16 | 32
EDGE Mariano Barbosa | Josemi | 2 | 16 | 9
EDGE Mariano Barbosa | Javi Venta | 13 | 16 | 36
EDGE Mariano Barbosa | Josico | 8 | 16 | 35
EDGE Mariano Barbosa | Alessio Tacchinardi | 7 | 16 | 24
EDGE Mariano Barbosa | José Mari | 9 | 16 | 37
EDGE Mariano Barbosa | Juan Román Riquelme | 11 | 16 | 38
EDGE Mariano Barbosa | Diego Forlán | 11 | 16 | 44
EDGE Mariano Barbosa | Guillermo Franco | 6 | 16 | 9
EDGE Mariano Barbosa | Gonzalo Rodríguez | 8 | 16 | 40
EDGE Mariano Barbosa | Quique Álvarez | 11 | 16 | 30
EDGE Mariano Barbosa | Rodolfo Arruabarrena | 14 | 16 | 46
EDGE Mariano Barbosa | Marcos Senna | 14 | 16 | 42
EDGE Mariano Barbosa | Juan Pablo Sorín | 8 | 16 | 28
EDGE Mariano Barbosa | Luciano Figueroa | 7 | 16 | 13
EDGE Mariano Barbosa | Roger García | 4 | 16 | 11
EDGE Mariano Barbosa | Santi Cazorla | 4 | 16 | 15
EDGE Mariano Barbosa | Jan Kromkamp | 2 | 16 | 10
EDGE Mariano Barbosa | Carlos Alcántara | 1 | 16 | 5
EDGE Mariano Barbosa | Héctor Font | 2 | 16 | 10
EDGE Mariano Barbosa | Antonio Guayre | 2 | 16 | 9
EDGE César Arzo | Juan Manuel Peña | 5 | 10 | 32
EDGE César Arzo | Josemi | 4 | 10 | 9
EDGE César Arzo | Javi Venta | 6 | 10 | 36
EDGE César Arzo | Josico | 3 | 10 | 35
EDGE César Arzo | Alessio Tacchinardi | 3 | 10 | 24
EDGE César Arzo | José Mari | 6 | 10 | 37
EDGE César Arzo | Juan Román Riquelme | 5 | 10 | 38
EDGE César Arzo | Diego Forlán | 6 | 10 | 44
EDGE César Arzo | Guillermo Franco | 4 | 10 | 9
EDGE César Arzo | Javier López Vallejo | 1 | 10 | 1
EDGE César Arzo | Gonzalo Rodríguez | 5 | 10 | 40
EDGE César Arzo | Quique Álvarez | 4 | 10 | 30
EDGE César Arzo | Carlos Alcántara | 3 | 10 | 5
EDGE César Arzo | Javi Rubio | 2 | 10 | 2
EDGE César Arzo | Roger García | 5 | 10 | 11
EDGE César Arzo | Luciano Figueroa | 3 | 10 | 13
EDGE César Arzo | Rodolfo Arruabarrena | 5 | 10 | 46
EDGE César Arzo | Marcos Senna | 5 | 10 | 42
EDGE César Arzo | Juan Pablo Sorín | 4 | 10 | 28
EDGE César Arzo | Sebastián Viera | 4 | 10 | 37
EDGE César Arzo | Jan Kromkamp | 1 | 10 | 10
EDGE César Arzo | Santi Cazorla | 2 | 10 | 15
EDGE César Arzo | Héctor Font | 3 | 10 | 10
EDGE César Arzo | Antonio Guayre | 3 | 10 | 9
EDGE César Arzo | Oscar López | 1 | 10 | 1
EDGE César Arzo | Javier Calleja | 2 | 10 | 3
EDGE Juan Manuel Peña | Josemi | 3 | 32 | 9
EDGE Juan Manuel Peña | Javi Venta | 25 | 32 | 36
EDGE Juan Manuel Peña | Josico | 19 | 32 | 35
EDGE Juan Manuel Peña | Alessio Tacchinardi | 15 | 32 | 24
EDGE Juan Manuel Peña | José Mari | 25 | 32 | 37
EDGE Juan Manuel Peña | Juan Román Riquelme | 23 | 32 | 38
