# Graph for Java/GraphStream
# Nodes: 26
# Edges: 292

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sebastián Viera | Gonzalo Rodríguez | 6 | 30 | 7
EDGE Sebastián Viera | Fabricio Fuentes | 23 | 30 | 35
EDGE Sebastián Viera | José Enrique | 20 | 30 | 24
EDGE Sebastián Viera | Javi Venta | 15 | 30 | 21
EDGE Sebastián Viera | Alessio Tacchinardi | 12 | 30 | 16
EDGE Sebastián Viera | Marcos Senna | 24 | 30 | 35
EDGE Sebastián Viera | Robert Pirès | 9 | 30 | 10
EDGE Sebastián Viera | Marquitos | 16 | 30 | 23
EDGE Sebastián Viera | Cani | 20 | 30 | 32
EDGE Sebastián Viera | Diego Forlán | 27 | 30 | 40
EDGE Sebastián Viera | Pascal Cygan | 15 | 30 | 20
EDGE Sebastián Viera | Josemi | 15 | 30 | 24
EDGE Sebastián Viera | Josico | 14 | 30 | 25
EDGE Sebastián Viera | Matías Fernández | 12 | 30 | 16
EDGE Sebastián Viera | Quique Álvarez | 10 | 30 | 18
EDGE Sebastián Viera | Leandro Somoza | 11 | 30 | 13
EDGE Sebastián Viera | José Mari | 5 | 30 | 8
EDGE Sebastián Viera | Juan Manuel Peña | 6 | 30 | 8
EDGE Sebastián Viera | Rodolfo Arruabarrena | 9 | 30 | 17
EDGE Sebastián Viera | Juan Román Riquelme | 9 | 30 | 13
EDGE Sebastián Viera | Nihat Kahveci | 6 | 30 | 11
EDGE Sebastián Viera | Jon Dahl Tomasson | 5 | 30 | 7
EDGE Sebastián Viera | Guillermo Franco | 10 | 30 | 15
EDGE Sebastián Viera | Carlos Alcántara | 1 | 30 | 2
EDGE Gonzalo Rodríguez | Fabricio Fuentes | 5 | 7 | 35
EDGE Gonzalo Rodríguez | José Enrique | 6 | 7 | 24
EDGE Gonzalo Rodríguez | Javi Venta | 5 | 7 | 21
EDGE Gonzalo Rodríguez | Alessio Tacchinardi | 6 | 7 | 16
EDGE Gonzalo Rodríguez | Marcos Senna | 5 | 7 | 35
EDGE Gonzalo Rodríguez | Robert Pirès | 6 | 7 | 10
EDGE Gonzalo Rodríguez | Marquitos | 3 | 7 | 23
EDGE Gonzalo Rodríguez | Cani | 6 | 7 | 32
EDGE Gonzalo Rodríguez | Diego Forlán | 6 | 7 | 40
EDGE Gonzalo Rodríguez | Pascal Cygan | 1 | 7 | 20
EDGE Gonzalo Rodríguez | Josemi | 2 | 7 | 24
EDGE Gonzalo Rodríguez | Leandro Somoza | 1 | 7 | 13
EDGE Gonzalo Rodríguez | Matías Fernández | 1 | 7 | 16
EDGE Gonzalo Rodríguez | Jon Dahl Tomasson | 1 | 7 | 7
EDGE Gonzalo Rodríguez | Guillermo Franco | 4 | 7 | 15
EDGE Gonzalo Rodríguez | Josico | 2 | 7 | 25
EDGE Gonzalo Rodríguez | Mariano Barbosa | 1 | 7 | 14
EDGE Gonzalo Rodríguez | Quique Álvarez | 1 | 7 | 18
EDGE Gonzalo Rodríguez | Carlos Alcántara | 1 | 7 | 2
EDGE Gonzalo Rodríguez | Nihat Kahveci | 1 | 7 | 11
EDGE Fabricio Fuentes | José Enrique | 22 | 35 | 24
EDGE Fabricio Fuentes | Javi Venta | 17 | 35 | 21
EDGE Fabricio Fuentes | Alessio Tacchinardi | 10 | 35 | 16
EDGE Fabricio Fuentes | Marcos Senna | 30 | 35 | 35
EDGE Fabricio Fuentes | Robert Pirès | 8 | 35 | 10
EDGE Fabricio Fuentes | Marquitos | 21 | 35 | 23
EDGE Fabricio Fuentes | Cani | 25 | 35 | 32
EDGE Fabricio Fuentes | Diego Forlán | 33 | 35 | 40
EDGE Fabricio Fuentes | Pascal Cygan | 19 | 35 | 20
EDGE Fabricio Fuentes | Josemi | 19 | 35 | 24
EDGE Fabricio Fuentes | Josico | 22 | 35 | 25
EDGE Fabricio Fuentes | Matías Fernández | 15 | 35 | 16
EDGE Fabricio Fuentes | Quique Álvarez | 10 | 35 | 18
EDGE Fabricio Fuentes | Leandro Somoza | 8 | 35 | 13
EDGE Fabricio Fuentes | José Mari | 6 | 35 | 8
EDGE Fabricio Fuentes | Rodolfo Arruabarrena | 12 | 35 | 17
EDGE Fabricio Fuentes | Juan Román Riquelme | 8 | 35 | 13
EDGE Fabricio Fuentes | Nihat Kahveci | 5 | 35 | 11
EDGE Fabricio Fuentes | Mariano Barbosa | 12 | 35 | 14
EDGE Fabricio Fuentes | Guillermo Franco | 13 | 35 | 15
EDGE Fabricio Fuentes | Jon Dahl Tomasson | 6 | 35 | 7
EDGE Fabricio Fuentes | Juan Manuel Peña | 1 | 35 | 8
EDGE José Enrique | Javi Venta | 10 | 24 | 21
EDGE José Enrique | Alessio Tacchinardi | 8 | 24 | 16
EDGE José Enrique | Marcos Senna | 19 | 24 | 35
EDGE José Enrique | Robert Pirès | 8 | 24 | 10
EDGE José Enrique | Marquitos | 17 | 24 | 23
EDGE José Enrique | Cani | 16 | 24 | 32
EDGE José Enrique | Diego Forlán | 21 | 24 | 40
EDGE José Enrique | Pascal Cygan | 15 | 24 | 20
EDGE José Enrique | Josemi | 14 | 24 | 24
EDGE José Enrique | Josico | 17 | 24 | 25
EDGE José Enrique | Matías Fernández | 14 | 24 | 16
EDGE José Enrique | Quique Álvarez | 4 | 24 | 18
EDGE José Enrique | Leandro Somoza | 4 | 24 | 13
EDGE José Enrique | José Mari | 3 | 24 | 8
EDGE José Enrique | Mariano Barbosa | 4 | 24 | 14
EDGE José Enrique | Juan Manuel Peña | 1 | 24 | 8
EDGE José Enrique | Nihat Kahveci | 1 | 24 | 11
EDGE José Enrique | Jon Dahl Tomasson | 7 | 24 | 7
EDGE José Enrique | Guillermo Franco | 8 | 24 | 15
EDGE José Enrique | Juan Román Riquelme | 1 | 24 | 13
EDGE Javi Venta | Alessio Tacchinardi | 10 | 21 | 16
EDGE Javi Venta | Marcos Senna | 18 | 21 | 35
EDGE Javi Venta | Robert Pirès | 9 | 21 | 10
EDGE Javi Venta | Marquitos | 10 | 21 | 23
EDGE Javi Venta | Cani | 17 | 21 | 32
EDGE Javi Venta | Diego Forlán | 18 | 21 | 40
EDGE Javi Venta | Pascal Cygan | 7 | 21 | 20
EDGE Javi Venta | Rodolfo Arruabarrena | 9 | 21 | 17
EDGE Javi Venta | Leandro Somoza | 6 | 21 | 13
EDGE Javi Venta | Juan Román Riquelme | 7 | 21 | 13
EDGE Javi Venta | Nihat Kahveci | 9 | 21 | 11
EDGE Javi Venta | Mariano Barbosa | 6 | 21 | 14
EDGE Javi Venta | Josico | 9 | 21 | 25
EDGE Javi Venta | Matías Fernández | 2 | 21 | 16
EDGE Javi Venta | Jon Dahl Tomasson | 3 | 21 | 7
EDGE Javi Venta | José Mari | 3 | 21 | 8
EDGE Javi Venta | Quique Álvarez | 9 | 21 | 18
EDGE Javi Venta | Guillermo Franco | 5 | 21 | 15
EDGE Javi Venta | Juan Manuel Peña | 4 | 21 | 8
EDGE Javi Venta | Josemi | 1 | 21 | 24
EDGE Javi Venta | Carlos Alcántara | 1 | 21 | 2
EDGE Alessio Tacchinardi | Marcos Senna | 9 | 16 | 35
EDGE Alessio Tacchinardi | Robert Pirès | 8 | 16 | 10
EDGE Alessio Tacchinardi | Marquitos | 7 | 16 | 23
EDGE Alessio Tacchinardi | Cani | 13 | 16 | 32
EDGE Alessio Tacchinardi | Diego Forlán | 15 | 16 | 40
EDGE Alessio Tacchinardi | Quique Álvarez | 10 | 16 | 18
EDGE Alessio Tacchinardi | Josemi | 7 | 16 | 24
EDGE Alessio Tacchinardi | Leandro Somoza | 3 | 16 | 13
EDGE Alessio Tacchinardi | Matías Fernández | 1 | 16 | 16
EDGE Alessio Tacchinardi | José Mari | 4 | 16 | 8
EDGE Alessio Tacchinardi | Juan Manuel Peña | 5 | 16 | 8
EDGE Alessio Tacchinardi | Rodolfo Arruabarrena | 5 | 16 | 17
EDGE Alessio Tacchinardi | Juan Román Riquelme | 5 | 16 | 13
EDGE Alessio Tacchinardi | Mariano Barbosa | 4 | 16 | 14
