# Graph for Java/GraphStream
# Nodes: 23
# Edges: 247

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Diego López | Diego Godín | 26 | 34 | 32
EDGE Diego López | Fabricio Fuentes | 8 | 34 | 25
EDGE Diego López | Joan Capdevila | 25 | 34 | 43
EDGE Diego López | Ángel López | 17 | 34 | 26
EDGE Diego López | Josico | 10 | 34 | 16
EDGE Diego López | Marcos Senna | 23 | 34 | 41
EDGE Diego López | Cani | 15 | 34 | 22
EDGE Diego López | Matías Fernández | 15 | 34 | 19
EDGE Diego López | Giuseppe Rossi | 18 | 34 | 29
EDGE Diego López | Jon Dahl Tomasson | 14 | 34 | 19
EDGE Diego López | Javi Venta | 21 | 34 | 30
EDGE Diego López | Bruno Soriano | 13 | 34 | 22
EDGE Diego López | Nihat Kahveci | 23 | 34 | 31
EDGE Diego López | Pascal Cygan | 16 | 34 | 28
EDGE Diego López | Josemi | 6 | 34 | 7
EDGE Diego López | Rio Mavuba | 8 | 34 | 9
EDGE Diego López | Santi Cazorla | 25 | 34 | 38
EDGE Diego López | Robert Pirès | 16 | 34 | 31
EDGE Diego López | Guillermo Franco | 10 | 34 | 19
EDGE Diego López | Gonzalo Rodríguez | 18 | 34 | 19
EDGE Diego López | Sebastián Eguren | 13 | 34 | 14
EDGE Diego Godín | Fabricio Fuentes | 8 | 32 | 25
EDGE Diego Godín | Joan Capdevila | 28 | 32 | 43
EDGE Diego Godín | Ángel López | 17 | 32 | 26
EDGE Diego Godín | Josico | 8 | 32 | 16
EDGE Diego Godín | Marcos Senna | 26 | 32 | 41
EDGE Diego Godín | Cani | 14 | 32 | 22
EDGE Diego Godín | Matías Fernández | 12 | 32 | 19
EDGE Diego Godín | Giuseppe Rossi | 17 | 32 | 29
EDGE Diego Godín | Jon Dahl Tomasson | 12 | 32 | 19
EDGE Diego Godín | Sebastián Viera | 6 | 32 | 18
EDGE Diego Godín | Bruno Soriano | 13 | 32 | 22
EDGE Diego Godín | Robert Pirès | 19 | 32 | 31
EDGE Diego Godín | Guillermo Franco | 10 | 32 | 19
EDGE Diego Godín | Javi Venta | 18 | 32 | 30
EDGE Diego Godín | Nihat Kahveci | 23 | 32 | 31
EDGE Diego Godín | Rio Mavuba | 5 | 32 | 9
EDGE Diego Godín | Pascal Cygan | 8 | 32 | 28
EDGE Diego Godín | Josemi | 2 | 32 | 7
EDGE Diego Godín | Santi Cazorla | 21 | 32 | 38
EDGE Diego Godín | Gonzalo Rodríguez | 16 | 32 | 19
EDGE Diego Godín | Sebastián Eguren | 11 | 32 | 14
EDGE Fabricio Fuentes | Joan Capdevila | 20 | 25 | 43
EDGE Fabricio Fuentes | Ángel López | 14 | 25 | 26
EDGE Fabricio Fuentes | Josico | 8 | 25 | 16
EDGE Fabricio Fuentes | Marcos Senna | 21 | 25 | 41
EDGE Fabricio Fuentes | Cani | 13 | 25 | 22
EDGE Fabricio Fuentes | Matías Fernández | 10 | 25 | 19
EDGE Fabricio Fuentes | Giuseppe Rossi | 14 | 25 | 29
EDGE Fabricio Fuentes | Jon Dahl Tomasson | 10 | 25 | 19
EDGE Fabricio Fuentes | Sebastián Viera | 17 | 25 | 18
EDGE Fabricio Fuentes | Bruno Soriano | 13 | 25 | 22
EDGE Fabricio Fuentes | Robert Pirès | 16 | 25 | 31
EDGE Fabricio Fuentes | Guillermo Franco | 12 | 25 | 19
EDGE Fabricio Fuentes | Javi Venta | 13 | 25 | 30
EDGE Fabricio Fuentes | Nihat Kahveci | 9 | 25 | 31
EDGE Fabricio Fuentes | Rio Mavuba | 6 | 25 | 9
EDGE Fabricio Fuentes | Pascal Cygan | 17 | 25 | 28
EDGE Fabricio Fuentes | Josemi | 5 | 25 | 7
EDGE Fabricio Fuentes | Santi Cazorla | 16 | 25 | 38
EDGE Joan Capdevila | Ángel López | 19 | 43 | 26
EDGE Joan Capdevila | Josico | 14 | 43 | 16
EDGE Joan Capdevila | Marcos Senna | 37 | 43 | 41
EDGE Joan Capdevila | Cani | 18 | 43 | 22
EDGE Joan Capdevila | Matías Fernández | 13 | 43 | 19
EDGE Joan Capdevila | Giuseppe Rossi | 24 | 43 | 29
EDGE Joan Capdevila | Jon Dahl Tomasson | 14 | 43 | 19
EDGE Joan Capdevila | Sebastián Viera | 18 | 43 | 18
EDGE Joan Capdevila | Bruno Soriano | 18 | 43 | 22
EDGE Joan Capdevila | Robert Pirès | 29 | 43 | 31
EDGE Joan Capdevila | Guillermo Franco | 18 | 43 | 19
EDGE Joan Capdevila | Rio Mavuba | 3 | 43 | 9
EDGE Joan Capdevila | Pascal Cygan | 21 | 43 | 28
EDGE Joan Capdevila | Javi Venta | 23 | 43 | 30
EDGE Joan Capdevila | Nihat Kahveci | 26 | 43 | 31
EDGE Joan Capdevila | Santi Cazorla | 30 | 43 | 38
EDGE Joan Capdevila | Josemi | 2 | 43 | 7
EDGE Joan Capdevila | Gonzalo Rodríguez | 17 | 43 | 19
EDGE Joan Capdevila | Sebastián Eguren | 13 | 43 | 14
EDGE Ángel López | Josico | 9 | 26 | 16
EDGE Ángel López | Marcos Senna | 20 | 26 | 41
EDGE Ángel López | Cani | 10 | 26 | 22
EDGE Ángel López | Matías Fernández | 12 | 26 | 19
