# Graph for Java/GraphStream
# Nodes: 28
# Edges: 286

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Diego López | Iván Marcano | 22 | 49 | 25
EDGE Diego López | Diego Godín | 44 | 49 | 44
EDGE Diego López | Joan Capdevila | 47 | 49 | 48
EDGE Diego López | Javi Venta | 18 | 49 | 18
EDGE Diego López | Bruno Soriano | 37 | 49 | 40
EDGE Diego López | Marcos Senna | 32 | 49 | 33
EDGE Diego López | Robert Pirès | 19 | 49 | 20
EDGE Diego López | Damián Escudero | 5 | 49 | 8
EDGE Diego López | Giuseppe Rossi | 33 | 49 | 34
EDGE Diego López | Nilmar | 34 | 49 | 36
EDGE Diego López | Cani | 36 | 49 | 37
EDGE Diego López | Joseba Llorente | 26 | 49 | 28
EDGE Diego López | Gonzalo Rodríguez | 25 | 49 | 28
EDGE Diego López | Ángel López | 31 | 49 | 34
EDGE Diego López | Ariel Ibagaza | 19 | 49 | 19
EDGE Diego López | Mateo Musacchio | 5 | 49 | 5
EDGE Diego López | David Fuster | 14 | 49 | 14
EDGE Diego López | Sebastián Eguren | 15 | 49 | 16
EDGE Diego López | Santi Cazorla | 20 | 49 | 20
EDGE Diego López | Kiko Olivas | 2 | 49 | 4
EDGE Diego López | Fabricio Fuentes | 1 | 49 | 1
EDGE Diego López | Javier Matilla | 2 | 49 | 2
EDGE Diego López | Joan Oriol | 1 | 49 | 1
EDGE Diego López | Jonathan Pereira | 1 | 49 | 3
EDGE Diego López | Marco Ruben | 1 | 49 | 1
EDGE Iván Marcano | Diego Godín | 18 | 25 | 44
EDGE Iván Marcano | Joan Capdevila | 21 | 25 | 48
EDGE Iván Marcano | Javi Venta | 12 | 25 | 18
EDGE Iván Marcano | Bruno Soriano | 19 | 25 | 40
EDGE Iván Marcano | Marcos Senna | 16 | 25 | 33
EDGE Iván Marcano | Robert Pirès | 13 | 25 | 20
EDGE Iván Marcano | Damián Escudero | 7 | 25 | 8
EDGE Iván Marcano | Giuseppe Rossi | 16 | 25 | 34
EDGE Iván Marcano | Nilmar | 14 | 25 | 36
EDGE Iván Marcano | Cani | 16 | 25 | 37
EDGE Iván Marcano | Joseba Llorente | 13 | 25 | 28
EDGE Iván Marcano | Ángel López | 13 | 25 | 34
EDGE Iván Marcano | Ariel Ibagaza | 4 | 25 | 19
EDGE Iván Marcano | Sebastián Eguren | 11 | 25 | 16
EDGE Iván Marcano | Santi Cazorla | 9 | 25 | 20
EDGE Iván Marcano | Gonzalo Rodríguez | 6 | 25 | 28
EDGE Iván Marcano | Xavier Oliva | 3 | 25 | 3
EDGE Iván Marcano | Kiko Olivas | 2 | 25 | 4
EDGE Iván Marcano | Marcos Gullón | 1 | 25 | 1
EDGE Iván Marcano | Jonathan Pereira | 3 | 25 | 3
EDGE Iván Marcano | David Fuster | 6 | 25 | 14
EDGE Iván Marcano | Joan Oriol | 1 | 25 | 1
EDGE Iván Marcano | Mateo Musacchio | 2 | 25 | 5
EDGE Iván Marcano | Javier Matilla | 1 | 25 | 2
EDGE Iván Marcano | Marco Ruben | 1 | 25 | 1
