# Graph for Java/GraphStream
# Nodes: 27
# Edges: 277

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Diego López | Carlos Marchena | 36 | 54 | 36
EDGE Diego López | Mateo Musacchio | 42 | 54 | 47
EDGE Diego López | Joan Capdevila | 39 | 54 | 42
EDGE Diego López | Ángel López | 23 | 54 | 25
EDGE Diego López | Bruno Soriano | 51 | 54 | 53
EDGE Diego López | Marcos Senna | 19 | 54 | 19
EDGE Diego López | Santi Cazorla | 45 | 54 | 48
EDGE Diego López | Borja Valero | 47 | 54 | 51
EDGE Diego López | Giuseppe Rossi | 49 | 54 | 52
EDGE Diego López | Nilmar | 33 | 54 | 35
EDGE Diego López | Gonzalo Rodríguez | 31 | 54 | 35
EDGE Diego López | Cani | 36 | 54 | 40
EDGE Diego López | Jozy Altidore | 4 | 54 | 7
EDGE Diego López | José Manuel Catalá | 17 | 54 | 22
EDGE Diego López | Marco Ruben | 20 | 54 | 23
EDGE Diego López | Mario Gaspar | 30 | 54 | 34
EDGE Diego López | Javier Matilla | 5 | 54 | 9
EDGE Diego López | Mubarak Wakaso | 3 | 54 | 3
EDGE Diego López | Carlos Tomás | 1 | 54 | 1
EDGE Diego López | Joan Oriol | 2 | 54 | 5
EDGE Diego López | Cristóbal Márquez | 1 | 54 | 3
EDGE Diego López | Marcos Gullón | 1 | 54 | 1
EDGE Diego López | Jefferson Montero | 2 | 54 | 5
EDGE Diego López | Kiko Olivas | 2 | 54 | 3
EDGE Diego López | Cicinho | 1 | 54 | 1
EDGE Carlos Marchena | Mateo Musacchio | 27 | 36 | 47
EDGE Carlos Marchena | Joan Capdevila | 23 | 36 | 42
EDGE Carlos Marchena | Ángel López | 17 | 36 | 25
EDGE Carlos Marchena | Bruno Soriano | 34 | 36 | 53
EDGE Carlos Marchena | Marcos Senna | 13 | 36 | 19
EDGE Carlos Marchena | Santi Cazorla | 30 | 36 | 48
EDGE Carlos Marchena | Borja Valero | 33 | 36 | 51
EDGE Carlos Marchena | Giuseppe Rossi | 32 | 36 | 52
EDGE Carlos Marchena | Nilmar | 24 | 36 | 35
EDGE Carlos Marchena | Gonzalo Rodríguez | 16 | 36 | 35
EDGE Carlos Marchena | Cani | 21 | 36 | 40
EDGE Carlos Marchena | Jozy Altidore | 2 | 36 | 7
EDGE Carlos Marchena | José Manuel Catalá | 12 | 36 | 22
