# Graph for Java/GraphStream
# Nodes: 31
# Edges: 335

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Juan Carlos | Chechu Dorado | 11 | 32 | 11
EDGE Juan Carlos | Mateo Musacchio | 29 | 32 | 40
EDGE Juan Carlos | Joan Oriol | 14 | 32 | 22
EDGE Juan Carlos | Mario Gaspar | 26 | 32 | 27
EDGE Juan Carlos | Bruno Soriano | 27 | 32 | 36
EDGE Juan Carlos | Javier Farinós | 8 | 32 | 8
EDGE Juan Carlos | Cani | 27 | 32 | 35
EDGE Juan Carlos | Moi Gómez | 10 | 32 | 17
EDGE Juan Carlos | Jérémy Perbet | 15 | 32 | 15
EDGE Juan Carlos | Jonathan Pereira | 11 | 32 | 11
EDGE Juan Carlos | Jaume Costa | 19 | 32 | 25
EDGE Juan Carlos | Javier Aquino | 10 | 32 | 10
EDGE Juan Carlos | Ikechukwu Uche | 15 | 32 | 23
EDGE Juan Carlos | Olof Mellberg | 21 | 32 | 26
EDGE Juan Carlos | Marcos Senna | 16 | 32 | 25
EDGE Juan Carlos | Manu Trigueros | 13 | 32 | 21
EDGE Juan Carlos | Hernán Pérez | 4 | 32 | 8
EDGE Juan Carlos | Fernando Cavenaghi | 11 | 32 | 16
EDGE Juan Carlos | Gerard Bordas | 2 | 32 | 2
EDGE Juan Carlos | Héctor Canteros | 10 | 32 | 10
EDGE Juan Carlos | Gerard Moreno | 8 | 32 | 8
EDGE Juan Carlos | Javi Venta | 6 | 32 | 16
EDGE Juan Carlos | Juanma | 1 | 32 | 1
EDGE Juan Carlos | Florian Lejeune | 1 | 32 | 2
EDGE Juan Carlos | Pablo Iñiguez | 4 | 32 | 6
EDGE Juan Carlos | Dani Toribio | 1 | 32 | 3
EDGE Chechu Dorado | Mateo Musacchio | 11 | 11 | 40
EDGE Chechu Dorado | Joan Oriol | 2 | 11 | 22
EDGE Chechu Dorado | Mario Gaspar | 11 | 11 | 27
EDGE Chechu Dorado | Bruno Soriano | 9 | 11 | 36
EDGE Chechu Dorado | Javier Farinós | 7 | 11 | 8
EDGE Chechu Dorado | Cani | 7 | 11 | 35
EDGE Chechu Dorado | Moi Gómez | 7 | 11 | 17
EDGE Chechu Dorado | Jérémy Perbet | 8 | 11 | 15
EDGE Chechu Dorado | Jonathan Pereira | 6 | 11 | 11
EDGE Chechu Dorado | Jaume Costa | 7 | 11 | 25
EDGE Chechu Dorado | Javier Aquino | 6 | 11 | 10
EDGE Chechu Dorado | Ikechukwu Uche | 5 | 11 | 23
EDGE Chechu Dorado | Héctor Canteros | 3 | 11 | 10
EDGE Chechu Dorado | Gerard Moreno | 4 | 11 | 8
EDGE Chechu Dorado | Olof Mellberg | 2 | 11 | 26
EDGE Chechu Dorado | Marcos Senna | 3 | 11 | 25
EDGE Chechu Dorado | Manu Trigueros | 1 | 11 | 21
EDGE Mateo Musacchio | Joan Oriol | 21 | 40 | 22
EDGE Mateo Musacchio | Mario Gaspar | 25 | 40 | 27
EDGE Mateo Musacchio | Bruno Soriano | 33 | 40 | 36
EDGE Mateo Musacchio | Javier Farinós | 8 | 40 | 8
EDGE Mateo Musacchio | Cani | 32 | 40 | 35
EDGE Mateo Musacchio | Moi Gómez | 17 | 40 | 17
EDGE Mateo Musacchio | Jérémy Perbet | 14 | 40 | 15
EDGE Mateo Musacchio | Jonathan Pereira | 10 | 40 | 11
EDGE Mateo Musacchio | Diego Mariño | 10 | 40 | 10
EDGE Mateo Musacchio | Javi Venta | 15 | 40 | 16
EDGE Mateo Musacchio | Marcos Senna | 23 | 40 | 25
EDGE Mateo Musacchio | Manu Trigueros | 19 | 40 | 21
EDGE Mateo Musacchio | Jaume Costa | 23 | 40 | 25
EDGE Mateo Musacchio | Ikechukwu Uche | 22 | 40 | 23
EDGE Mateo Musacchio | Javier Aquino | 9 | 40 | 10
EDGE Mateo Musacchio | Hernán Pérez | 7 | 40 | 8
EDGE Mateo Musacchio | Olof Mellberg | 23 | 40 | 26
EDGE Mateo Musacchio | Fernando Cavenaghi | 15 | 40 | 16
EDGE Mateo Musacchio | Gerard Bordas | 2 | 40 | 2
EDGE Mateo Musacchio | Walter Pandiani | 4 | 40 | 4
EDGE Mateo Musacchio | Guillem Truyols | 2 | 40 | 2
EDGE Mateo Musacchio | Dani Toribio | 3 | 40 | 3
EDGE Mateo Musacchio | Héctor Canteros | 9 | 40 | 10
EDGE Mateo Musacchio | Gerard Moreno | 7 | 40 | 8
EDGE Mateo Musacchio | Florian Lejeune | 1 | 40 | 2
EDGE Mateo Musacchio | Juanma | 1 | 40 | 1
EDGE Mateo Musacchio | Pablo Iñiguez | 4 | 40 | 6
EDGE Mateo Musacchio | Jorge Palatsí | 1 | 40 | 1
EDGE Joan Oriol | Mario Gaspar | 10 | 22 | 27
EDGE Joan Oriol | Bruno Soriano | 19 | 22 | 36
EDGE Joan Oriol | Javier Farinós | 2 | 22 | 8
EDGE Joan Oriol | Cani | 19 | 22 | 35
EDGE Joan Oriol | Moi Gómez | 9 | 22 | 17
EDGE Joan Oriol | Jérémy Perbet | 4 | 22 | 15
EDGE Joan Oriol | Jonathan Pereira | 4 | 22 | 11
EDGE Joan Oriol | Diego Mariño | 7 | 22 | 10
EDGE Joan Oriol | Javi Venta | 12 | 22 | 16
EDGE Joan Oriol | Marcos Senna | 16 | 22 | 25
EDGE Joan Oriol | Manu Trigueros | 14 | 22 | 21
EDGE Joan Oriol | Jaume Costa | 6 | 22 | 25
EDGE Joan Oriol | Ikechukwu Uche | 11 | 22 | 23
EDGE Joan Oriol | Hernán Pérez | 6 | 22 | 8
EDGE Joan Oriol | Olof Mellberg | 15 | 22 | 26
EDGE Joan Oriol | Fernando Cavenaghi | 11 | 22 | 16
EDGE Joan Oriol | Gerard Bordas | 1 | 22 | 2
EDGE Joan Oriol | Guillem Truyols | 1 | 22 | 2
EDGE Joan Oriol | Dani Toribio | 2 | 22 | 3
EDGE Joan Oriol | Walter Pandiani | 2 | 22 | 4
EDGE Joan Oriol | Gerard Moreno | 4 | 22 | 8
EDGE Joan Oriol | Pablo Iñiguez | 4 | 22 | 6
EDGE Joan Oriol | Héctor Canteros | 2 | 22 | 10
EDGE Joan Oriol | Javier Aquino | 1 | 22 | 10
EDGE Joan Oriol | Jorge Palatsí | 1 | 22 | 1
EDGE Mario Gaspar | Bruno Soriano | 22 | 27 | 36
EDGE Mario Gaspar | Javier Farinós | 8 | 27 | 8
EDGE Mario Gaspar | Cani | 23 | 27 | 35
EDGE Mario Gaspar | Moi Gómez | 9 | 27 | 17
EDGE Mario Gaspar | Jérémy Perbet | 15 | 27 | 15
EDGE Mario Gaspar | Jonathan Pereira | 9 | 27 | 11
EDGE Mario Gaspar | Jaume Costa | 17 | 27 | 25
EDGE Mario Gaspar | Javier Aquino | 10 | 27 | 10
EDGE Mario Gaspar | Ikechukwu Uche | 12 | 27 | 23
EDGE Mario Gaspar | Olof Mellberg | 15 | 27 | 26
EDGE Mario Gaspar | Marcos Senna | 11 | 27 | 25
EDGE Mario Gaspar | Manu Trigueros | 9 | 27 | 21
EDGE Mario Gaspar | Hernán Pérez | 4 | 27 | 8
EDGE Mario Gaspar | Fernando Cavenaghi | 7 | 27 | 16
EDGE Mario Gaspar | Gerard Bordas | 2 | 27 | 2
EDGE Mario Gaspar | Héctor Canteros | 10 | 27 | 10
EDGE Mario Gaspar | Gerard Moreno | 7 | 27 | 8
EDGE Mario Gaspar | Diego Mariño | 1 | 27 | 10
EDGE Mario Gaspar | Florian Lejeune | 2 | 27 | 2
EDGE Mario Gaspar | Dani Toribio | 1 | 27 | 3
EDGE Mario Gaspar | Juanma | 1 | 27 | 1
EDGE Mario Gaspar | Pablo Iñiguez | 3 | 27 | 6
