# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Asenjo | Mateo Musacchio | 29 | 35 | 35
EDGE Sergio Asenjo | Gabriel Paulista | 15 | 35 | 20
EDGE Sergio Asenjo | Jaume Costa | 26 | 35 | 27
EDGE Sergio Asenjo | Mario Gaspar | 33 | 35 | 36
EDGE Sergio Asenjo | Bruno Soriano | 32 | 35 | 38
EDGE Sergio Asenjo | Manu Trigueros | 20 | 35 | 24
EDGE Sergio Asenjo | Giovani dos Santos | 23 | 35 | 28
EDGE Sergio Asenjo | Javier Aquino | 17 | 35 | 21
EDGE Sergio Asenjo | Hernán Pérez | 9 | 35 | 10
EDGE Sergio Asenjo | Ikechukwu Uche | 17 | 35 | 19
EDGE Sergio Asenjo | Bojan Jokic | 11 | 35 | 18
EDGE Sergio Asenjo | Tomás Pina | 20 | 35 | 25
EDGE Sergio Asenjo | Cani | 23 | 35 | 25
EDGE Sergio Asenjo | Óliver Torres | 6 | 35 | 6
EDGE Sergio Asenjo | Chechu Dorado | 16 | 35 | 19
EDGE Sergio Asenjo | Jonathan Pereira | 15 | 35 | 18
EDGE Sergio Asenjo | Jérémy Perbet | 12 | 35 | 16
EDGE Sergio Asenjo | Moi Gómez | 12 | 35 | 17
EDGE Sergio Asenjo | Aleksandar Pantic | 6 | 35 | 10
EDGE Sergio Asenjo | Matías Nahuel | 2 | 35 | 2
EDGE Sergio Asenjo | Joan Román | 1 | 35 | 1
EDGE Sergio Asenjo | Edu Ramos | 2 | 35 | 2
EDGE Sergio Asenjo | Pablo Iñiguez | 3 | 35 | 3
EDGE Mateo Musacchio | Gabriel Paulista | 13 | 35 | 20
EDGE Mateo Musacchio | Jaume Costa | 23 | 35 | 27
EDGE Mateo Musacchio | Mario Gaspar | 31 | 35 | 36
EDGE Mateo Musacchio | Bruno Soriano | 32 | 35 | 38
EDGE Mateo Musacchio | Manu Trigueros | 20 | 35 | 24
EDGE Mateo Musacchio | Giovani dos Santos | 26 | 35 | 28
EDGE Mateo Musacchio | Javier Aquino | 19 | 35 | 21
EDGE Mateo Musacchio | Hernán Pérez | 10 | 35 | 10
EDGE Mateo Musacchio | Ikechukwu Uche | 16 | 35 | 19
EDGE Mateo Musacchio | Bojan Jokic | 14 | 35 | 18
EDGE Mateo Musacchio | Tomás Pina | 19 | 35 | 25
EDGE Mateo Musacchio | Cani | 23 | 35 | 25
EDGE Mateo Musacchio | Óliver Torres | 4 | 35 | 6
EDGE Mateo Musacchio | Chechu Dorado | 17 | 35 | 19
EDGE Mateo Musacchio | Jonathan Pereira | 15 | 35 | 18
EDGE Mateo Musacchio | Jérémy Perbet | 11 | 35 | 16
EDGE Mateo Musacchio | Moi Gómez | 11 | 35 | 17
EDGE Mateo Musacchio | Juan Carlos | 6 | 35 | 7
EDGE Mateo Musacchio | Aleksandar Pantic | 5 | 35 | 10
EDGE Mateo Musacchio | Matías Nahuel | 1 | 35 | 2
EDGE Mateo Musacchio | Edu Ramos | 2 | 35 | 2
EDGE Mateo Musacchio | Pablo Iñiguez | 3 | 35 | 3
EDGE Gabriel Paulista | Jaume Costa | 9 | 20 | 27
EDGE Gabriel Paulista | Mario Gaspar | 16 | 20 | 36
EDGE Gabriel Paulista | Bruno Soriano | 19 | 20 | 38
EDGE Gabriel Paulista | Manu Trigueros | 11 | 20 | 24
EDGE Gabriel Paulista | Giovani dos Santos | 11 | 20 | 28
EDGE Gabriel Paulista | Javier Aquino | 6 | 20 | 21
EDGE Gabriel Paulista | Hernán Pérez | 5 | 20 | 10
EDGE Gabriel Paulista | Ikechukwu Uche | 11 | 20 | 19
EDGE Gabriel Paulista | Bojan Jokic | 13 | 20 | 18
EDGE Gabriel Paulista | Tomás Pina | 12 | 20 | 25
EDGE Gabriel Paulista | Cani | 10 | 20 | 25
EDGE Gabriel Paulista | Óliver Torres | 4 | 20 | 6
EDGE Gabriel Paulista | Juan Carlos | 5 | 20 | 7
EDGE Gabriel Paulista | Chechu Dorado | 2 | 20 | 19
