# Graph for Java/GraphStream
# Nodes: 29
# Edges: 333

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Asenjo | Chechu Dorado | 15 | 48 | 20
EDGE Sergio Asenjo | Eric Bailly | 10 | 48 | 12
EDGE Sergio Asenjo | Jaume Costa | 35 | 48 | 41
EDGE Sergio Asenjo | Antonio Rukavina | 19 | 48 | 25
EDGE Sergio Asenjo | Sergio Marcos | 5 | 48 | 5
EDGE Sergio Asenjo | Tomás Pina | 27 | 48 | 32
EDGE Sergio Asenjo | Moi Gómez | 23 | 48 | 25
EDGE Sergio Asenjo | Joel Campbell | 14 | 48 | 18
EDGE Sergio Asenjo | Giovani dos Santos | 19 | 48 | 21
EDGE Sergio Asenjo | Gerard Moreno | 21 | 48 | 30
EDGE Sergio Asenjo | Jonathan dos Santos | 22 | 48 | 28
EDGE Sergio Asenjo | Víctor Ruiz | 28 | 48 | 34
EDGE Sergio Asenjo | Mateo Musacchio | 21 | 48 | 22
EDGE Sergio Asenjo | Mario Gaspar | 41 | 48 | 46
EDGE Sergio Asenjo | Manu Trigueros | 34 | 48 | 40
EDGE Sergio Asenjo | Denis Cheryshev | 27 | 48 | 27
EDGE Sergio Asenjo | Luciano Vietto | 24 | 48 | 29
EDGE Sergio Asenjo | Ikechukwu Uche | 27 | 48 | 27
EDGE Sergio Asenjo | Gabriel Paulista | 24 | 48 | 28
EDGE Sergio Asenjo | Bruno Soriano | 25 | 48 | 30
EDGE Sergio Asenjo | Cani | 8 | 48 | 10
EDGE Sergio Asenjo | Adrián Marín | 4 | 48 | 8
EDGE Sergio Asenjo | Javier Espinosa | 3 | 48 | 9
EDGE Sergio Asenjo | Bojan Jokic | 3 | 48 | 6
EDGE Sergio Asenjo | Matías Nahuel | 1 | 48 | 3
EDGE Chechu Dorado | Eric Bailly | 5 | 20 | 12
EDGE Chechu Dorado | Jaume Costa | 16 | 20 | 41
EDGE Chechu Dorado | Antonio Rukavina | 15 | 20 | 25
EDGE Chechu Dorado | Sergio Marcos | 5 | 20 | 5
EDGE Chechu Dorado | Tomás Pina | 13 | 20 | 32
EDGE Chechu Dorado | Moi Gómez | 13 | 20 | 25
EDGE Chechu Dorado | Joel Campbell | 11 | 20 | 18
EDGE Chechu Dorado | Giovani dos Santos | 11 | 20 | 21
EDGE Chechu Dorado | Gerard Moreno | 17 | 20 | 30
EDGE Chechu Dorado | Jonathan dos Santos | 5 | 20 | 28
EDGE Chechu Dorado | Juan Carlos | 5 | 20 | 10
EDGE Chechu Dorado | Víctor Ruiz | 5 | 20 | 34
EDGE Chechu Dorado | Bojan Jokic | 4 | 20 | 6
EDGE Chechu Dorado | Mario Gaspar | 12 | 20 | 46
EDGE Chechu Dorado | Bruno Soriano | 7 | 20 | 30
EDGE Chechu Dorado | Manu Trigueros | 12 | 20 | 40
EDGE Chechu Dorado | Gabriel Paulista | 5 | 20 | 28
EDGE Chechu Dorado | Denis Cheryshev | 2 | 20 | 27
EDGE Chechu Dorado | Ikechukwu Uche | 5 | 20 | 27
